Antonio Adán,es ESP,1987,2018,Betis,es La Liga,53,3,0,6,4,38.5,0.28,-10.5,177,459,38.6,905,95,41.1,36.3,130,66.9,48.8,289,30,10.4,18,14.7
René Adler,de GER,1985,2018,Mainz 05,de Bundesliga,18,1,0,5,0,18.6,0.36,0.6,84,218,38.5,296,40,48,40.7,90,84.4,61.3,130,9,6.9,12,15.9
Adrián,es ESP,1987,2018,West Ham,eng Premier League,29,1,1,8,1,26.5,0.28,-1.5,118,355,33.2,309,31,77,52.8,121,96.7,65,224,14,6.3,17,14.7
Alisson,br BRA,1992,2018,Roma,it Serie A,28,3,0,2,0,38.8,0.26,10.8,245,443,55.3,994,198,35.7,35.2,181,48.6,45.3,306,25,8.2,49,17.5
Sergio Álvarez,es ESP,1986,2018,Celta Vigo,es La Liga,29,1,0,4,1,26.5,0.34,-1.5,96,255,37.6,435,32,43.2,37.6,83,80.7,58,143,15,10.5,12,14.5
Jon Ander Serantes,es ESP,1989,2018,Leganés,es La Liga,2,0,0,0,0,2.5,0.28,0.5,5,24,20.8,21,1,85.7,61.5,6,100,77.5,9,2,22.2,0,15.5
Nícolas Andrade,br BRA,1988,2018,Hellas Verona,it Serie A,71,6,4,9,2,75.3,0.3,6.3,371,904,41,995,222,59.2,44.5,362,87,59.9,466,48,10.3,22,13.9
Miguel Ángel Moyá,es ESP,1984,2018,Real Sociedad,es La Liga,8,2,0,2,0,9.8,0.25,1.8,69,131,52.7,241,10,46.5,38.9,31,61.3,44.8,88,12,13.6,7,16.4
Alphonse Areola,fr FRA,1993,2018,Paris S-G,fr Ligue 1,25,1,2,6,0,26.2,0.23,1.2,48,95,50.5,504,90,13.9,24.3,80,31.3,34.4,299,24,8,31,16.8
Kepa Arrizabalaga,es ESP,1994,2018,Athletic Club,es La Liga,43,1,3,5,3,42.9,0.3,2.9,280,587,47.7,728,67,64,46.9,134,90.3,64.1,271,24,8.9,14,15.3
Sergio Asenjo,es ESP,1989,2018,Villarreal,es La Liga,30,3,1,3,0,32.5,0.32,2.5,102,282,36.2,360,86,52.2,41.5,109,86.2,61.3,284,24,8.5,16,14.3
Mariano Barbosa,ar ARG,1984,2018,Villarreal,es La Liga,14,1,0,2,0,13.6,0.27,-0.4,35,123,28.5,190,40,34.7,34.7,63,90.5,62.4,150,15,10,3,13.7
Oliver Baumann,de GER,1990,2018,Hoffenheim,de Bundesliga,48,3,1,9,3,41.2,0.26,-3.8,219,620,35.3,1175,173,40.8,35.9,230,61.3,48.7,311,20,6.4,37,15.6
