,,,,,,,,,,Goals,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Adrián\Adrian,es ESP,GK,eng Liverpool,32,1987,3.3,8,1,0,0,0,6.4,0.37,-1.6,-0.49,19,35,54.3,83,14,33.7,35.5,15,46.7,39.1,15,0,0.0,0,0.00,11.8,Matches
2,Alisson\Alisson,br BRA,GK,eng Liverpool,26,1992,5.0,4,0,0,2,0,4.1,0.26,+0.1,+0.01,25,41,61.0,147,25,23.8,30.7,27,22.2,31.7,31,3,9.7,12,2.40,19.6,Matches
3,Alphonse Areola\Alphonse-Areola,fr FRA,GK,es Real Madrid,26,1993,1.5,1,0,0,0,0,1.6,0.52,+0.6,+0.38,6,16,37.5,47,7,29.8,33.9,11,18.2,30.3,10,2,20.0,1,0.67,15.1,Matches
4,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,eng Chelsea,24,1994,6.0,9,0,0,1,2,7.3,0.37,+0.3,+0.05,37,71,52.1,130,27,37.7,36.0,45,48.9,44.3,43,3,7.0,5,0.83,16.3,Matches
5,Milan Borjan\Milan-Borjan,ca CAN,GK,rs Red Star,31,1987,6.0,20,2,0,4,0,18.8,0.33,-1.2,-0.19,47,133,35.3,135,24,61.5,46.3,71,70.4,49.6,85,14,16.5,4,0.67,10.9,Matches
6,Claudio Bravo\Claudio-Bravo,cl CHI,GK,eng Manchester City,36,1983,1.4,2,0,0,0,0,1.1,0.35,-0.9,-0.68,5,11,45.5,40,5,22.5,29.5,8,25.0,26.9,10,2,20.0,2,1.44,15.9,Matches
7,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,it Juventus,41,1978,1.0,0,0,0,0,0,0.0,0.03,0.0,+0.03,8,14,57.1,28,7,35.7,32.1,11,36.4,33.2,15,0,0.0,0,0.00,9.4,Matches
8,Roman Bürki\Roman-Burki,ch SUI,GK,de Dortmund,28,1990,8.0,11,0,0,1,0,12.6,0.33,+1.6,+0.19,29,99,29.3,202,43,40.6,36.8,40,42.5,46.2,41,4,9.8,4,0.50,13.5,Matches
9,Willy Caballero\Willy-Caballero,ar ARG,GK,eng Chelsea,37,1981,2.0,7,1,0,1,0,6.6,0.47,-0.4,-0.20,15,35,42.9,55,11,45.5,37.3,24,41.7,37.3,14,0,0.0,1,0.50,11.4,Matches
10,Leonardo César Jardim\Leonardo-Cesar-Jardim,br BRA,GK,fr Lille,24,1995,0.2,0,0,0,0,0,0.0,0.02,0.0,+0.11,1,4,25.0,4,0,50.0,46.0,2,100.0,68.0,1,0,0.0,1,4.74,19.5,Matches
11,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,es Valencia,30,1989,6.0,11,2,0,1,0,10.2,0.29,-0.8,-0.13,37,115,32.2,143,29,50.3,41.1,58,74.1,56.1,68,1,1.5,3,0.50,13.0,Matches
12,Carlos Coronel\Carlos-Coronel,br BRA,GK,at RB Salzburg,22,1996,2.6,4,0,0,0,0,2.9,0.33,-1.1,-0.41,10,41,24.4,40,9,45.0,38.6,33,69.7,52.5,30,3,10.0,0,0.00,9.4,Matches
13,Gaëtan Coucke\Gaetan-Coucke,be BEL,GK,be Genk,20,1998,5.0,16,0,0,0,0,13.4,0.39,-2.6,-0.53,53,124,42.7,173,24,52.0,40.8,51,66.7,48.9,50,3,6.0,9,1.80,16.7,Matches
14,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,es Real Madrid,27,1992,6.5,11,1,0,0,0,12.1,0.36,+1.1,+0.18,17,48,35.4,186,37,19.4,28.8,43,27.9,33.3,38,4,10.5,5,0.77,15.9,Matches
15,Jaume Doménech\Jaume-Domenech,es ESP,GK,es Valencia,28,1990,2.0,4,0,0,0,0,2.9,0.42,-1.1,-0.53,21,60,35.0,51,6,76.5,48.9,22,95.5,63.7,21,1,4.8,1,0.50,14.1,Matches
16,Ederson\Ederson,br BRA,GK,eng Manchester City,25,1993,7.5,7,1,0,0,0,6.8,0.28,-0.2,-0.02,51,98,52.0,225,27,36.0,37.2,29,58.6,49.1,31,4,12.9,15,2.00,18.6,Matches
17,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,eng Tottenham,27,1992,4.0,5,0,0,1,0,6.4,0.30,+1.4,+0.35,20,60,33.3,89,18,41.6,39.0,41,56.1,48.7,34,1,2.9,1,0.25,15.3,Matches
18,Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,it Atalanta,24,1995,7.0,13,1,0,1,0,12.7,0.39,-0.3,-0.05,33,77,42.9,130,26,36.9,37.3,36,80.6,60.7,48,5,10.4,9,1.29,16.3,Matches
19,Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,de RB Leipzig,29,1990,9.7,12,1,0,0,0,12.9,0.28,+0.9,+0.09,62,125,49.6,295,46,35.6,34.7,69,29.0,34.6,72,5,6.9,10,1.03,16.8,Matches
20,Samir Handanović\Samir-Handanovic,si SVN,GK,it Inter,35,1984,6.0,9,1,0,1,0,8.9,0.29,-0.1,-0.02,28,58,48.3,176,35,21.0,27.7,46,45.7,37.8,37,4,10.8,2,0.33,12.2,Matches
21,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,de Leverkusen,29,1989,6.0,9,0,0,0,0,9.2,0.33,+0.2,+0.03,48,121,39.7,235,25,45.5,39.9,31,45.2,41.6,33,2,6.1,8,1.33,19.1,Matches
22,Mikhail Kerzhakov\Mikhail-Kerzhakov,ru RUS,GK,ru Zenit,32,1987,4.0,7,1,0,0,1,6.7,0.24,+0.7,+0.19,47,85,55.3,107,20,61.7,43.5,32,59.4,46.5,65,6,9.2,1,0.25,12.8,Matches
23,Anton Kochenkov\Anton-Kochenkov,ru RUS,GK,ru Loko Moscow,32,1987,1.0,2,1,0,1,0,2.2,0.07,+0.2,+0.16,7,24,29.2,15,1,66.7,53.6,16,87.5,59.2,10,0,0.0,0,0.00,9.0,Matches
24,Ondřej Kolář\Ondrej-Kolar,cz CZE,GK,cz Slavia Prague,24,1994,6.0,10,0,0,0,1,11.8,0.34,+2.8,+0.47,59,126,46.8,216,32,48.1,40.8,48,45.8,42.5,23,2,8.7,11,1.83,18.1,Matches
25,Dominik Livaković\Dominik-Livakovic,hr CRO,GK,hr Dinamo Zagreb,24,1995,6.0,13,2,0,1,0,13.6,0.37,+0.6,+0.09,51,141,36.2,121,20,68.6,51.6,61,95.1,68.8,47,5,10.6,4,0.67,13.7,Matches
26,Hugo Lloris\Hugo-Lloris,fr FRA,GK,eng Tottenham,32,1986,4.0,13,2,0,0,0,9.6,0.33,-3.4,-0.85,17,36,47.2,65,11,36.9,36.6,26,46.2,36.4,27,0,0.0,1,0.25,13.0,Matches
27,Anthony Lopes\Anthony-Lopes,pt POR,GK,fr Lyon,28,1990,10.0,14,3,0,1,0,12.0,0.27,-2.0,-0.20,64,154,41.6,241,55,44.0,38.4,91,52.7,44.7,106,7,6.6,2,0.20,12.4,Matches
28,Andrey Lunyov\Andrey-Lunyov,ru RUS,GK,ru Zenit,27,1991,2.0,2,1,0,0,0,2.2,0.10,+0.2,+0.12,11,32,34.4,49,13,51.0,43.2,15,46.7,40.3,26,6,23.1,0,0.00,9.2,Matches
29,Mike Maignan\Mike-Maignan,fr FRA,GK,fr Lille,23,1995,5.8,14,1,0,2,1,11.2,0.33,-1.8,-0.31,28,103,27.2,141,32,53.9,43.2,35,77.1,59.0,55,7,12.7,3,0.52,15.7,Matches
30,Guilherme Marinato\Guilherme-Marinato,ru RUS,GK,ru Loko Moscow,33,1985,5.0,9,0,0,0,2,7.7,0.23,+0.7,+0.14,50,107,46.7,104,28,57.7,44.1,58,81.0,51.4,53,4,7.5,1,0.20,11.8,Matches
31,Alex Meret\Alex-Meret,it ITA,GK,it Napoli,22,1997,6.0,4,2,0,2,0,5.3,0.21,+1.3,+0.21,35,69,50.7,114,16,28.1,31.1,66,56.1,42.7,70,8,11.4,1,0.17,11.2,Matches
32,Simon Mignolet\Simon-Mignolet,be BEL,GK,be Club Brugge,31,1988,6.0,12,0,0,1,0,10.5,0.44,-1.5,-0.25,49,103,47.6,136,19,50.0,39.1,59,59.3,46.0,53,5,9.4,3,0.50,16.1,Matches
33,Fernando Muslera\Fernando-Muslera,uy URU,GK,tr Galatasaray,33,1986,6.0,14,2,0,0,0,16.1,0.31,+2.1,+0.35,66,178,37.1,213,37,62.4,46.0,55,81.8,59.5,55,9,16.4,5,0.83,13.8,Matches
34,Yvon Mvogo\Yvon-Mvogo,ch SUI,GK,de RB Leipzig,25,1994,0.3,0,0,0,0,0,0.2,0.09,+0.2,+0.62,0,1,0.0,8,2,12.5,25.0,2,0.0,18.5,1,0,0.0,0,0.00,15.0,Matches
35,Keylor Navas\Keylor-Navas,cr CRC,GK,fr Paris S-G,32,1986,8.9,6,0,0,0,0,8.1,0.26,+2.1,+0.24,42,120,35.0,202,42,43.1,36.9,71,46.5,37.6,71,3,4.2,3,0.34,11.2,Matches
