,,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,34-092,1987,3,3,270,3.0,9,3.00,19,10,52.6,1,1,1,1,33.3,0,0,0,0,,Matches
2,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,eng Premier League,26-046,1995,1,0,16,0.2,0,0.00,2,2,100.0,0,0,0,0,,0,0,0,0,,Matches
3,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,28-185,1992,25,25,2250,25.0,26,1.04,80,57,72.5,12,6,7,7,28.0,8,4,1,3,20.0,Matches
4,Saturnin Allagbé\Saturnin-Allagbe,bj BEN,GK,Dijon,fr Ligue 1,27-134,1993,5,5,450,5.0,10,2.00,24,14,58.3,0,2,3,1,20.0,1,0,0,1,,Matches
5,Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Udinese,it Serie A,32-358,1988,2,2,180,2.0,5,2.50,7,2,28.6,1,0,1,0,0.0,0,0,0,0,,Matches
6,Ángel\Angel,es ESP,GK,Granada,es La Liga,18-287,2002,1,1,90,1.0,2,2.00,7,6,85.7,0,0,1,0,0.0,2,1,1,0,50.0,Matches
7,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,eng Premier League,28-037,1993,30,30,2700,30.0,38,1.27,126,94,74.6,5,11,14,9,30.0,6,6,0,0,0.0,Matches
8,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26-184,1994,4,4,360,4.0,6,1.50,18,12,66.7,2,1,1,1,25.0,0,0,0,0,,Matches
9,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,31-281,1989,29,29,2610,29.0,32,1.10,88,64,69.3,11,13,5,7,24.1,7,5,1,1,16.7,Matches
10,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,24-077,1997,29,29,2610,29.0,43,1.48,126,88,70.6,10,6,13,3,10.3,7,6,1,0,14.3,Matches
11,Édgar Badía\Edgar-Badia,es ESP,GK,Elche,es La Liga,29-052,1992,29,29,2610,29.0,43,1.48,131,91,70.2,5,11,13,5,17.2,8,4,3,1,42.9,Matches
12,Stefan Bajic\Stefan-Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19-103,2001,1,1,90,1.0,4,4.00,4,0,0.0,0,0,1,0,0.0,1,0,0,1,,Matches
13,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,de Bundesliga,30-307,1990,26,26,2340,26.0,46,1.77,110,69,62.7,8,5,13,4,15.4,8,5,2,1,28.6,Matches
14,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,fr Ligue 1,28-017,1993,31,31,2790,31.0,42,1.35,145,107,75.2,12,6,13,8,25.8,6,6,0,0,0.0,Matches
15,Paul Bernardoni\Paul-Bernardoni,fr FRA,GK,Angers,fr Ligue 1,23-352,1997,31,31,2790,31.0,44,1.42,107,67,62.6,11,8,12,8,25.8,5,4,1,0,20.0,Matches
16,Dimitry Bertaud\Dimitry-Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,22-303,1998,6,4,475,5.3,8,1.52,21,13,66.7,2,1,1,2,50.0,1,1,0,0,0.0,Matches
17,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,es La Liga,25-254,1995,19,19,1637,18.2,27,1.48,60,34,56.7,7,6,6,4,21.1,1,1,0,0,0.0,Matches
18,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Sevilla,es La Liga,30-000,1991,25,25,2250,25.0,16,0.64,77,65,81.8,16,4,5,13,52.0,4,2,2,0,50.0,Matches
19,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Betis,es La Liga,37-357,1983,11,11,990,11.0,17,1.55,41,26,63.4,5,2,4,4,36.4,3,2,1,0,33.3,Matches
20,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,it Serie A,43-067,1978,5,5,450,5.0,2,0.40,11,10,90.9,4,1,0,3,60.0,1,1,0,0,0.0,Matches
21,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,de Bundesliga,30-142,1990,16,16,1440,16.0,26,1.62,72,48,66.7,7,2,7,4,25.0,2,2,0,0,0.0,Matches
22,David Button\David-Button,eng ENG,GK,West Brom,eng Premier League,32-037,1989,1,1,90,1.0,2,2.00,7,5,71.4,1,0,0,0,0.0,0,0,0,0,,Matches
23,Marcin Bułka\Marcin-Bulka,pl POL,GK,Paris S-G,fr Ligue 1,21-183,1999,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
24,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,eng Premier League,39-189,1981,1,1,90,1.0,3,3.00,3,0,0.0,0,1,0,0,0.0,0,0,0,0,,Matches
25,Marc-Aurèle Caillard\Marc-Aurele-Caillard,fr FRA,GK,Metz,fr Ligue 1,26-328,1994,5,4,361,4.0,10,2.49,20,13,65.0,0,1,3,0,0.0,3,3,0,0,0.0,Matches
26,Cárdenas\Cardenas,es ESP,GK,Levante,es La Liga,24-008,1997,3,3,270,3.0,2,0.67,22,18,90.9,1,1,1,1,33.3,1,0,0,1,,Matches
27,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,eng Premier League,34-185,1986,1,1,90,1.0,1,1.00,2,1,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
28,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,de Bundesliga,28-284,1992,26,26,2340,26.0,21,0.81,79,61,75.9,15,8,3,13,50.0,3,2,1,0,33.3,Matches
29,Sébastien Cibois\Sebastien-Cibois,fr FRA,GK,Brest,fr Ligue 1,23-034,1998,3,3,270,3.0,4,1.33,10,7,70.0,1,1,1,1,33.3,1,1,0,0,0.0,Matches
