Player,Nation,Pos,Secondary_Pos,Squad,Comp,Season,Born,90s,,Goals,Shots,SoT,SoT_Pct,Sh_per_90,SoT_per_90,Goals_per_Shot,Goals_per_SoT,avg_dist_of_shots_from_goal,shots_from_fk,pk_made,pk_att,xG,npxG,npxG_per_Shot,G_minus_xG,npG_minus_xG,,passes_completed,passes_attempted,pass_comp_pct,tot_dist_traveled_by_comp_passes,progressive_distance,short_passes_comp,short_pass_att,short_pass_comp_pct,med_passes_comp,med_pass_att,med_pass_comp_pct,long_passes_comp,long_pass_att,long_pass_comp_pct,assists,xA,A_minus_xA,assisted_shots,comp_passes_leading_to_final_third,comp_passes_into_18_yd_box,comp_crosses_into_18_yd_box,prog_passes,,live_ball_passes,dead_ball_passes,fk_pass_attempts,pass_tb,passes_under_pressure,pass_sw,crosses,corner_kick_passes,inswing_corner_kicks,outswing_corner_kicks,straight_corner_kicks,ground_passes,low_passes,high_passes,left_foot_pass_attempts,right_foot_pass_attempts,head_pass_attempts,throw_ins,other_body_part_pass_attempts,offside_passes,passes_out_of_bounds,passes_intercepted,passes_blocked,,shot_creating_actions,shot_creating_actions_per_90,live_pass_sca,dead_pass_sca,dribble_sca,shots_sca,fouls_drawn_sca,def_actions_sca,goal_creating_actions,gca_per_90,live_pass_gca,dead_pass_gca,dribble_gca,shots_gca,fouls_drawn_gca,def_actions_gca,og_gca,,tackles,tackles_won,tackles_in_def_3rd,tackles_in_mid_3rd,tackles_in_att_3rd,dribblers_tackled,attempts_to_tackle_dribblers,pct_of_dribblers_tackled,number_of_times_dribbled_past,pressures_attempted,succ_pressures,succ_pressure_pct,pressures_in_def_3rd,pressures_in_mid_3rd,pressures_in_att_3rd,blocks,shots_blocked,sot_blocked,passes_minus_Blocked,interceptions,players_tackled_plus_interceptions,clearances,errors_leading_to_shot_attempts,,touches,touches_in_def_pen,touches_in_def_3rd,touches_in_mid_3rd,touches_in_att_3rd,touches_in_att_pen,live_ball_touches,succ_dribbles,dribbles_att,dribble_succ_pct,num_players_dribbled_past,nutmegs,carries,tot_dist_carried,prog_dist_carried,prog_carries,att_3rd_carries,carries_into_18yd_box,carries_failed,carries_lost_the_ball,targeted_receptions,succ_receptions,reception_pct,prog_receptions,,yellow_cards,red_cards,2nd_yellow_cards,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,pks_won,pks_conceded,own_goals,loose_balls_recovered,aerials_won,aerials_lost,aerials_won_pct
Ismael Aaneba,fr FRA,DF,,Strasbourg,fr Ligue 1,2019,1999,2.3,,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,,80,122,65.6,1603,786,33,40,82.5,36,59,61,11,18,61.1,0,0.5,-0.5,1,6,2,2,12,,92,30,4,0,16,5,5,0,0,0,0,67,11,44,9,83,2,26,1,0,6,0,10,,2,0.88,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,4,8,6,0,3,7,42.9,4,66,12,18.2,36,24,6,7,0,0,7,5,19,9,0,,157,8,56,68,39,0,128,2,3,66.7,2,0,85,449,273,11,2,0,2,2,76,70,92.1,4,,3,0,0,6,0,0,5,5,4,0,0,0,22,1,4,20
Patrick van Aanholt,nl NED,DF,,Crystal Palace,eng Premier League,2019,1990,35.5,,3,44,12,27.3,1.24,0.34,0.07,0.25,19.7,0,0,0,2.7,2.7,0.06,0.3,0.3,,1587,1962,80.9,26851,11857,792,912,86.8,623,752,82.8,149,248,60.1,2,3.9,-1.9,34,115,63,9,224,,1608,354,47,4,274,29,54,1,0,0,0,1322,307,333,1299,310,40,306,4,3,34,57,52,,71,2,59,7,1,2,2,0,6,0.17,5,1,0,0,0,0,0,,46,32,32,11,3,18,45,40,27,421,115,27.3,300,86,35,61,10,0,51,36,82,98,1,,2298,138,678,1071,682,78,1950,27,43,62.8,28,1,1471,7317,4114,208,62,20,27,19,1467,1351,92.1,71,,3,0,0,12,14,11,54,36,32,0,0,0,331,9,10,47.4
Ignazio Abate,it ITA,DF,,Milan,it Serie A,2019,1986,14.5,,0,1,1,100,0.07,0.07,0,0,14.8,0,0,0,0,0,0.03,0,0,,766,918,83.4,14840,5802,301,325,92.6,358,401,89.3,100,167,59.9,0,0.3,-0.3,7,73,13,4,77,,804,114,19,3,144,14,20,0,0,0,0,625,139,154,59,736,21,95,2,1,12,14,23,,18,1.24,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,37,21,19,14,4,13,30,43.3,17,199,56,28.1,102,77,20,34,5,0,29,14,51,53,1,,1056,74,351,587,165,9,946,5,9,55.6,8,2,700,2708,1465,56,14,2,6,3,709,687,96.9,10,,4,0,0,13,7,0,20,14,21,0,1,0,113,10,7,58.8
Issah Abbas,gh GHA,FW,,Mainz 05,de Bundesliga,2019,1998,0.1,,0,1,0,0,10,0,0,,30.2,0,0,0,0,0,0.02,0,0,,1,2,50,32,9,0,1,0,0,0,,1,1,100,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,5,0,1,2,4,0,5,1,1,100,1,0,6,26,4,0,0,0,1,0,2,2,100,0,,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,
Yunis Abdelhamid,ma MAR,DF,,Reims,fr Ligue 1,2019,1987,38,,0,18,4,22.2,0.47,0.11,0,0,13.1,0,0,0,1.8,1.8,0.1,-1.8,-1.8,,1318,1576,83.6,30166,10127,286,339,84.4,758,818,92.7,269,394,68.3,0,0.1,-0.1,3,51,3,0,59,,1522,54,52,1,187,53,0,0,0,0,0,1173,119,284,1007,436,90,2,5,4,36,9,22,,20,0.53,15,0,3,2,0,0,1,0.03,1,0,0,0,0,0,0,,67,35,51,15,1,26,43,60.5,17,359,128,35.7,271,80,8,78,24,0,54,46,113,240,2,,2023,310,1347,754,46,26,1972,22,24,91.7,22,0,1227,6642,3350,41,4,0,10,5,1210,1179,97.4,15,,2,0,0,33,21,1,0,46,35,0,1,1,327,88,47,65.2
Mehdi Abeid,dz ALG,MF,,Dijon,fr Ligue 1,2019,1992,22.5,,3,35,11,31.4,1.56,0.49,0.06,0.18,22.9,0,1,1,3.1,2.3,0.07,-0.1,-0.3,,919,1081,85,17137,3889,403,438,92,377,431,87.5,121,183,66.1,0,1.5,-1.5,23,87,11,2,72,,1048,33,16,2,198,32,13,10,0,0,1,828,96,157,101,912,46,4,4,4,26,7,15,,43,1.91,32,5,3,1,1,1,2,0.09,2,0,0,0,0,0,0,,58,40,28,22,8,13,41,31.7,28,449,117,26.1,137,237,75,37,10,0,27,24,82,22,0,,1356,34,302,883,267,27,1327,38,61,62.3,40,2,1016,5129,2566,95,20,1,33,36,1007,897,89.1,64,,6,0,0,57,29,1,13,24,40,0,0,0,256,16,14,53.3
Charles Abi,fr FRA,FW,MF,Saint-Étienne,fr Ligue 1,2019,2000,0.4,,0,1,0,0,2.81,0,0,,12,0,0,0,0.2,0.2,0.16,-0.2,-0.2,,6,16,37.5,58,15,5,7,71.4,1,4,25,0,3,0,0,0,0,0,0,2,0,2,,16,0,0,0,5,0,0,0,0,0,0,9,2,5,13,0,1,0,0,0,1,2,1,,2,5.63,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,6,4,3,1,2,4,5,80,1,11,2,18.2,4,1,6,0,0,0,0,1,7,0,0,,29,1,7,11,14,3,29,2,3,66.7,2,0,20,80,52,1,1,0,1,2,23,15,65.2,3,,0,0,0,2,1,0,0,1,4,0,0,0,6,2,1,66.7
David Abraham,ar ARG,DF,,Eint Frankfurt,de Bundesliga,2019,1986,15.8,,0,5,1,20,0.32,0.06,0,0,12.7,0,0,0,0.4,0.4,0.08,-0.4,-0.4,,520,671,77.5,12124,4564,141,171,82.5,243,288,84.4,132,199,66.3,0,0.1,-0.1,3,58,7,3,66,,648,23,20,0,101,24,4,0,0,0,0,427,73,171,72,518,60,3,0,2,12,12,12,,11,0.7,8,0,0,1,1,1,1,0.06,0,0,0,1,0,0,0,,28,19,17,9,2,8,26,30.8,18,181,68,37.6,112,60,9,40,11,1,29,15,43,65,0,,828,90,374,459,57,8,806,4,5,80,4,0,475,3056,1660,57,15,0,3,2,452,442,97.8,10,,2,0,0,11,9,0,4,15,19,0,0,0,197,27,16,62.8
Amir Abrashi,al ALB,MF,,Freiburg,de Bundesliga,2019,1990,8.8,,0,7,2,28.6,0.8,0.23,0,0,25.9,0,0,0,0.2,0.2,0.02,-0.2,-0.2,,333,384,86.7,5636,968,153,174,87.9,150,162,92.6,26,34,76.5,0,0.1,-0.1,2,22,1,0,16,,374,10,6,0,77,4,1,0,0,0,0,291,47,46,25,321,28,2,4,0,4,4,10,,4,0.46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,12,8,8,3,4,20,20,16,202,48,23.8,71,106,25,11,2,0,9,12,31,10,0,,463,20,105,314,67,4,455,6,7,85.7,6,0,339,1574,632,25,9,1,1,11,291,277,95.2,11,,5,0,0,19,16,0,1,12,12,0,0,0,117,5,6,45.5
Francesco Acerbi,it ITA,DF,,Lazio,it Serie A,2019,1988,36.8,,3,19,7,36.8,0.52,0.19,0.16,0.43,8.6,0,0,0,3,3,0.16,0,0,,1554,1787,87,33525,10694,443,500,88.6,810,875,92.6,287,389,73.8,1,0.6,0.4,8,112,6,2,94,,1721,66,51,1,262,48,8,0,0,0,0,1284,184,319,1278,318,121,15,7,3,32,16,9,,22,0.6,17,0,0,1,3,1,2,0.05,1,0,0,1,0,0,0,,51,30,29,16,6,14,26,53.8,12,259,96,37.1,173,71,15,63,31,0,32,43,94,181,2,,2162,279,1117,1108,127,27,2104,9,11,81.8,9,0,1360,9514,5046,137,36,2,7,14,1344,1307,97.2,26,,4,1,1,26,42,4,8,43,30,0,2,0,424,78,36,68.4
