Player,Nation,Born,Season,Squad,Comp,passes_completed,passes_attempted,pass_comp_pct,tot_dist_traveled_by_comp_passes,progressive_distance,short_passes_comp,short_pass_att,short_pass_comp_pct,med_passes_comp,med_pass_att,med_pass_comp_pct,long_passes_comp,long_pass_att,long_pass_comp_pct,assists,xA,A_minus_xA,assisted_shots,comp_passes_leading_to_final_third,comp_passes_into_18_yd_box,comp_crosses_into_18_yd_box,prog_passes
Patrick van Aanholt,nl NED,1990.0,2018.0,Crystal Palace,eng Premier League,845.0,1116.0,75.7,15182.0,7109.0,363.0,411.0,88.3,377.0,471.0,80.0,88.0,183.0,48.1,1.0,1.5,-0.5,17.0,58.0,28.0,7.0,101.0
Rolando Aarons,eng ENG,1995.0,2018.0,Newcastle Utd,eng Premier League,27.0,41.0,65.9,408.0,88.0,17.0,22.0,77.3,8.0,11.0,72.7,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Rolando Aarons,eng ENG,1995.0,2018.0,Hellas Verona,it Serie A,81.0,115.0,70.4,1095.0,304.0,50.0,63.0,79.4,22.0,34.0,64.7,3.0,8.0,37.5,0.0,0.2,-0.2,3.0,5.0,6.0,1.0,9.0
Ignazio Abate,it ITA,1986.0,2018.0,Milan,it Serie A,625.0,774.0,80.7,11501.0,4742.0,255.0,280.0,91.1,294.0,337.0,87.2,69.0,133.0,51.9,0.0,0.6,-0.6,11.0,58.0,20.0,8.0,62.0
Aymen Abdennour,tn TUN,1989.0,2018.0,Marseille,fr Ligue 1,304.0,336.0,90.5,6306.0,1794.0,90.0,99.0,90.9,166.0,174.0,95.4,45.0,56.0,80.4,0.0,0.0,0.0,0.0,11.0,0.0,0.0,7.0
Aly Abeid,mr MTN,1997.0,2018.0,Levante,es La Liga,29.0,38.0,76.3,521.0,188.0,15.0,16.0,93.8,10.0,11.0,90.9,4.0,9.0,44.4,0.0,0.2,-0.2,2.0,0.0,2.0,1.0,2.0
Mehdi Abeid,dz ALG,1992.0,2018.0,Dijon,fr Ligue 1,519.0,611.0,84.9,10250.0,2390.0,177.0,196.0,90.3,250.0,281.0,89.0,81.0,109.0,74.3,1.0,0.2,0.8,6.0,48.0,2.0,0.0,47.0
David Abraham,ar ARG,1986.0,2018.0,Eint Frankfurt,de Bundesliga,1081.0,1313.0,82.3,25128.0,7959.0,241.0,275.0,87.6,588.0,655.0,89.8,243.0,369.0,65.9,2.0,0.4,1.6,6.0,66.0,3.0,2.0,91.0
Tammy Abraham,eng ENG,1997.0,2018.0,Swansea City,eng Premier League,208.0,309.0,67.3,3094.0,683.0,123.0,159.0,77.4,63.0,95.0,66.3,13.0,28.0,46.4,1.0,0.7,0.3,10.0,19.0,7.0,3.0,19.0
Amir Abrashi,al ALB,1990.0,2018.0,Freiburg,de Bundesliga,260.0,335.0,77.6,4482.0,1183.0,124.0,157.0,79.0,104.0,124.0,83.9,26.0,42.0,61.9,0.0,0.5,-0.5,4.0,20.0,4.0,1.0,30.0
