Player,Nation,Pos,Secondary_Pos,Squad,Comp,Season,Born,90s,,Goals,Shots,SoT,SoT_Pct,Sh_per_90,SoT_per_90,Goals_per_Shot,Goals_per_SoT,avg_dist_of_shots_from_goal,shots_from_fk,pk_made,pk_att,xG,npxG,npxG_per_Shot,G_minus_xG,npG_minus_xG,,passes_completed,passes_attempted,pass_comp_pct,tot_dist_traveled_by_comp_passes,progressive_distance,short_passes_comp,short_pass_att,short_pass_comp_pct,med_passes_comp,med_pass_att,med_pass_comp_pct,long_passes_comp,long_pass_att,long_pass_comp_pct,assists,xA,A_minus_xA,assisted_shots,comp_passes_leading_to_final_third,comp_passes_into_18_yd_box,comp_crosses_into_18_yd_box,prog_passes,,live_ball_passes,dead_ball_passes,fk_pass_attempts,pass_tb,passes_under_pressure,pass_sw,crosses,corner_kick_passes,inswing_corner_kicks,outswing_corner_kicks,straight_corner_kicks,ground_passes,low_passes,high_passes,left_foot_pass_attempts,right_foot_pass_attempts,head_pass_attempts,throw_ins,other_body_part_pass_attempts,offside_passes,passes_out_of_bounds,passes_intercepted,passes_blocked,,shot_creating_actions,shot_creating_actions_per_90,live_pass_sca,dead_pass_sca,dribble_sca,shots_sca,fouls_drawn_sca,def_actions_sca,goal_creating_actions,gca_per_90,live_pass_gca,dead_pass_gca,dribble_gca,shots_gca,fouls_drawn_gca,def_actions_gca,og_gca,,tackles,tackles_won,tackles_in_def_3rd,tackles_in_mid_3rd,tackles_in_att_3rd,dribblers_tackled,attempts_to_tackle_dribblers,pct_of_dribblers_tackled,number_of_times_dribbled_past,pressures_attempted,succ_pressures,succ_pressure_pct,pressures_in_def_3rd,pressures_in_mid_3rd,pressures_in_att_3rd,blocks,shots_blocked,sot_blocked,passes_minus_Blocked,interceptions,players_tackled_plus_interceptions,clearances,errors_leading_to_shot_attempts,,touches,touches_in_def_pen,touches_in_def_3rd,touches_in_mid_3rd,touches_in_att_3rd,touches_in_att_pen,live_ball_touches,succ_dribbles,dribbles_att,dribble_succ_pct,num_players_dribbled_past,nutmegs,carries,tot_dist_carried,prog_dist_carried,prog_carries,att_3rd_carries,carries_into_18yd_box,carries_failed,carries_lost_the_ball,targeted_receptions,succ_receptions,reception_pct,prog_receptions,,yellow_cards,red_cards,2nd_yellow_cards,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,pks_won,pks_conceded,own_goals,loose_balls_recovered,aerials_won,aerials_lost,aerials_won_pct
Vincent Aboubakar,cm CMR,FW,,Porto,UCL,2019,1992,0.7,,0,3,1,33.3,4.58,1.53,0,0,18.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,,6,15,40,62,5,4,10,40,1,3,33.3,0,0,,0,0,0,1,0,1,0,1,,15,0,0,0,0,0,0,0,0,0,0,8,6,1,1,8,4,0,2,0,1,2,1,,2,3.05,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,6,1,16.7,0,3,3,0,0,0,0,0,0,1,0,,23,1,3,7,14,5,23,1,2,50,2,0,15,76,22,1,0,0,1,0,27,19,70.4,10,,0,0,0,0,2,0,0,0,0,0,0,0,2,0,4,0
Michel Aebischer,ch SUI,MF,,Young Boys,UCL,2019,1997,2.5,,0,2,0,0,0.79,0,0,,22.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,,110,129,85.3,2069,658,41,44,93.2,51,57,89.5,15,20,75,0,0,0,1,18,0,0,14,,119,10,4,0,14,5,0,4,0,0,0,104,8,17,14,111,3,0,1,0,0,3,4,,3,1.18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,7,3,4,0,1,11,9.1,10,103,28,27.2,46,49,8,5,2,0,3,3,10,1,0,,151,7,33,99,27,6,142,0,1,0,0,0,112,477,282,8,2,3,2,2,105,101,96.2,3,,0,0,0,5,4,0,0,3,7,0,0,0,23,0,1,0
Sergio Agüero,ar ARG,FW,,Manchester City,UCL,2019,1988,5.6,,6,26,13,50,4.62,2.31,0.19,0.38,16,0,1,2,5.8,4.2,0.16,0.2,0.8,,142,167,85,1877,297,97,108,89.8,38,46,82.6,3,4,75,1,0.3,0.7,5,4,10,1,12,,153,14,0,2,32,1,5,0,0,0,0,133,23,11,25,134,3,1,4,0,2,4,7,,14,2.49,11,0,3,0,0,0,2,0.36,2,0,0,0,0,0,0,,5,5,0,2,3,0,4,0,4,96,23,24,3,44,49,1,0,0,1,1,6,1,0,,256,0,4,102,169,49,240,11,21,52.4,13,0,210,867,434,28,10,6,16,17,304,209,68.8,83,,3,0,0,5,3,3,5,1,5,0,0,0,15,2,4,33.3
Jean-Eudes Aholou,ci CIV,MF,FW,Monaco,UCL,2019,1994,2,,0,2,1,50,1.02,0.51,0,0,16,0,0,0,0.1,0.1,0.06,-0.1,-0.1,,53,62,85.5,1034,297,23,27,85.2,22,26,84.6,7,8,87.5,0,0.1,-0.1,2,9,3,0,8,,60,2,2,1,4,1,0,0,0,0,0,47,6,9,42,13,6,0,0,0,2,0,0,,2,1.02,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,0,1,0,1,45,7,15.6,13,28,4,4,0,0,4,4,5,0,0,,79,1,15,57,13,2,77,1,2,50,2,0,49,253,172,8,3,0,2,3,58,50,86.2,3,,0,0,0,3,1,0,0,4,0,0,0,0,17,2,1,66.7
Youssef Aït Bennasser,ma MAR,MF,,Monaco,UCL,2019,1996,2.7,,0,1,1,100,0.36,0.36,0,0,28,0,0,0,0,0,0.02,0,0,,172,198,86.9,3678,889,47,53,88.7,87,95,91.6,37,46,80.4,0,0,0,1,16,1,0,19,,195,3,3,0,32,6,1,0,0,0,0,171,12,15,31,160,7,0,0,0,5,2,3,,3,1.09,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,5,5,3,0,2,9,22.2,7,71,16,22.5,26,41,4,4,1,0,3,1,9,10,1,,226,12,64,157,24,0,224,2,3,66.7,3,0,179,829,396,11,4,0,2,2,166,164,98.8,1,,0,0,0,1,3,0,1,1,5,0,0,0,38,1,0,100
Manuel Akanji,ch SUI,DF,,Dortmund,UCL,2019,1995,5,,0,2,0,0,0.4,0,0,,36.4,0,0,0,0,0,0.01,0,0,,539,568,94.9,11316,3016,151,158,95.6,307,314,97.8,79,94,84,0,0.2,-0.2,1,47,2,0,30,,561,7,7,1,49,18,0,0,0,0,0,517,19,32,110,435,18,0,1,1,5,3,0,,3,0.6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,5,5,3,1,4,7,57.1,3,33,8,24.2,20,11,2,9,1,0,8,6,15,14,0,,614,34,224,419,20,0,608,5,5,100,5,0,508,3246,1921,78,9,0,2,2,516,513,99.4,0,,1,0,0,1,2,0,0,6,5,0,0,0,51,4,1,80
Emre Akbaba,tr TUR,FW,,Galatasaray,UCL,2019,1992,1,,0,4,1,25,4,1,0,0,12,0,0,0,0.5,0.5,0.12,-0.5,-0.5,,19,31,61.3,363,89,7,10,70,9,13,69.2,3,6,50,1,0.2,0.8,4,0,0,0,1,,25,6,2,0,2,2,3,4,0,0,0,20,4,7,24,4,3,0,0,0,0,1,1,,8,8,2,2,0,1,3,0,3,3,1,0,0,0,2,0,0,,3,1,1,2,0,0,2,0,2,25,5,20,8,15,2,1,0,0,1,0,3,0,0,,47,0,5,19,23,5,42,1,2,50,1,0,32,94,35,3,0,0,1,2,44,29,65.9,9,,0,0,0,0,4,0,3,0,1,1,0,0,7,0,2,0
Yunus Akgün,tr TUR,MF,,Galatasaray,UCL,2019,2000,0.1,,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,,1,1,100,18,0,0,0,,1,1,100,0,0,,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,4,1,25,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ilzat Akhmetov,ru RUS,MF,,CSKA Moscow,UCL,2019,1997,3.3,,0,4,1,25,1.2,0.3,0,0,22.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,,149,184,81,2492,608,74,94,78.7,56,63,88.9,15,20,75,1,0.2,0.8,4,6,3,0,14,,183,1,1,0,34,6,1,0,0,0,0,145,26,13,39,137,7,0,1,2,4,3,6,,7,2.1,6,0,0,1,0,0,1,0.3,1,0,0,0,0,0,0,,10,4,6,3,1,3,7,42.9,4,61,17,27.9,34,24,3,5,1,0,4,0,10,3,0,,216,10,61,120,50,1,215,10,11,90.9,10,1,174,781,359,10,4,0,2,4,176,161,91.5,9,,1,0,0,4,2,0,1,0,4,0,0,0,33,0,1,0
Kevin Akpoguma,ng NGA,DF,,Hoffenheim,UCL,2019,1995,2,,0,1,0,0,0.5,0,0,,34.2,0,0,0,0,0,0.02,0,0,,83,96,86.5,1718,775,25,26,96.2,46,52,88.5,12,16,75,0,0,0,0,8,1,0,12,,95,1,1,0,17,3,0,0,0,0,0,80,8,8,9,82,4,0,1,0,2,3,2,,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,3,5,1,0,1,5,20,4,28,10,35.7,18,10,0,3,1,0,2,2,8,3,0,,112,11,53,64,2,0,111,0,0,,0,0,76,365,212,7,2,0,0,0,79,79,100,0,,0,0,0,1,2,0,0,2,3,0,0,0,17,0,2,0
