Player,Nation,Pos,Secondary_Pos,Squad,Comp,Season,Born,90s,,Goals,Shots,SoT,SoT_Pct,Sh_per_90,SoT_per_90,Goals_per_Shot,Goals_per_SoT,avg_dist_of_shots_from_goal,shots_from_fk,pk_made,pk_att,xG,npxG,npxG_per_Shot,G_minus_xG,npG_minus_xG,,passes_completed,passes_attempted,pass_comp_pct,tot_dist_traveled_by_comp_passes,progressive_distance,short_passes_comp,short_pass_att,short_pass_comp_pct,med_passes_comp,med_pass_att,med_pass_comp_pct,long_passes_comp,long_pass_att,long_pass_comp_pct,assists,xA,A_minus_xA,assisted_shots,comp_passes_leading_to_final_third,comp_passes_into_18_yd_box,comp_crosses_into_18_yd_box,prog_passes,,live_ball_passes,dead_ball_passes,fk_pass_attempts,pass_tb,passes_under_pressure,pass_sw,crosses,corner_kick_passes,inswing_corner_kicks,outswing_corner_kicks,straight_corner_kicks,ground_passes,low_passes,high_passes,left_foot_pass_attempts,right_foot_pass_attempts,head_pass_attempts,throw_ins,other_body_part_pass_attempts,offside_passes,passes_out_of_bounds,passes_intercepted,passes_blocked,,shot_creating_actions,shot_creating_actions_per_90,live_pass_sca,dead_pass_sca,dribble_sca,shots_sca,fouls_drawn_sca,def_actions_sca,goal_creating_actions,gca_per_90,live_pass_gca,dead_pass_gca,dribble_gca,shots_gca,fouls_drawn_gca,def_actions_gca,og_gca,,tackles,tackles_won,tackles_in_def_3rd,tackles_in_mid_3rd,tackles_in_att_3rd,dribblers_tackled,attempts_to_tackle_dribblers,pct_of_dribblers_tackled,number_of_times_dribbled_past,pressures_attempted,succ_pressures,succ_pressure_pct,pressures_in_def_3rd,pressures_in_mid_3rd,pressures_in_att_3rd,blocks,shots_blocked,sot_blocked,passes_minus_Blocked,interceptions,players_tackled_plus_interceptions,clearances,errors_leading_to_shot_attempts,,touches,touches_in_def_pen,touches_in_def_3rd,touches_in_mid_3rd,touches_in_att_3rd,touches_in_att_pen,live_ball_touches,succ_dribbles,dribbles_att,dribble_succ_pct,num_players_dribbled_past,nutmegs,carries,tot_dist_carried,prog_dist_carried,prog_carries,att_3rd_carries,carries_into_18yd_box,carries_failed,carries_lost_the_ball,targeted_receptions,succ_receptions,reception_pct,prog_receptions,,yellow_cards,red_cards,2nd_yellow_cards,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,pks_won,pks_conceded,own_goals,loose_balls_recovered,aerials_won,aerials_lost,aerials_won_pct
Hatem Abd Elhamed,il ISR,DF,,Celtic,Europa League,2020,1991,3.8,,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,,151,197,76.6,2215,999,85,97,87.6,53,74,71.6,7,18,38.9,0,0,0,0,12,1,0,15,,152,45,1,0,25,2,6,0,0,0,0,108,47,42,18,126,4,44,2,1,5,3,4,,4,1.05,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,9,4,5,4,0,2,11,18.2,9,45,18,40,21,13,11,9,2,0,7,8,17,27,1,,260,14,84,135,58,3,218,6,10,60,7,0,142,645,363,20,8,1,5,6,138,125,90.6,3,,0,0,0,2,3,1,6,8,4,0,0,0,37,6,8,42.9
Araz Abdullayev,az AZE,MF,FW,Qarabağ Ağdam,Europa League,2020,1992,1.6,,0,1,0,0,0.62,0,0,,17.5,0,0,0,0.1,0.1,0.1,-0.1,-0.1,,38,50,76,645,115,18,20,90,15,17,88.2,3,9,33.3,0,0.2,-0.2,2,0,2,2,1,,43,7,2,0,3,2,6,3,1,1,1,32,7,11,36,11,2,0,1,0,0,0,1,,2,1.23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,1,1,0,0,4,0,4,41,9,22,8,20,13,3,0,0,3,0,2,1,0,,66,1,10,33,28,4,59,0,1,0,0,0,42,290,160,12,3,1,5,2,63,45,71.4,11,,0,0,0,0,2,0,6,0,2,0,0,0,6,0,4,0
Anicet Abel,mg MAD,MF,,Ludogorets,Europa League,2020,1990,6.3,,0,2,1,50,0.32,0.16,0,0,14,0,0,0,0.1,0.1,0.04,-0.1,-0.1,,212,245,86.5,3768,772,99,109,90.8,85,96,88.5,23,31,74.2,0,0.2,-0.2,2,12,1,0,10,,232,13,11,0,55,7,2,1,1,0,0,163,45,37,41,183,10,1,3,0,4,3,2,,6,0.95,6,0,0,0,0,0,1,0.16,1,0,0,0,0,0,0,,11,8,7,4,0,5,13,38.5,8,124,30,24.2,55,56,13,6,1,0,5,7,18,10,0,,297,26,92,180,37,4,287,3,5,60,3,0,176,718,173,5,1,1,6,5,213,187,87.8,7,,3,0,0,13,8,0,2,7,8,0,1,0,60,9,8,52.9
Myenty Abena,sr SUR,DF,,Slovan Bratislava,Europa League,2020,1994,6,,0,3,0,0,0.5,0,0,,7.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,,109,123,88.6,2316,638,32,36,88.9,60,63,95.2,17,23,73.9,0,0,0,0,0,0,0,0,,121,2,2,0,23,2,1,0,0,0,0,97,15,11,21,92,5,0,0,0,3,2,2,,1,0.17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,3,4,3,0,2,3,66.7,1,52,22,42.3,42,9,1,12,7,0,5,4,11,26,0,,177,44,122,56,8,4,175,2,2,100,2,0,90,413,198,3,1,0,0,1,100,95,95,3,,1,0,0,3,2,0,1,4,3,0,1,0,27,13,11,54.2
Charles Abi,fr FRA,FW,,Saint-Étienne,Europa League,2020,2000,0.4,,0,2,1,50,5.45,2.73,0,0,7.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,,8,9,88.9,167,8,3,3,100,2,3,66.7,2,2,100,0,0,0,0,1,0,0,0,,9,0,0,0,0,1,1,0,0,0,0,9,0,0,7,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,1,0,1,0,0,,0,7,2,28.6,3,4,0,0,0,0,0,0,2,0,0,,16,0,3,5,9,3,16,0,2,0,0,0,13,41,3,0,0,0,2,0,20,13,65,10,,0,0,0,2,0,0,1,0,2,0,0,0,0,1,3,25
Pape Abou Cisse,sn SEN,DF,,Olympiacos,Europa League,2020,1995,3,,1,1,1,100,0.34,0.34,1,1,7,0,0,0,0.2,0.2,0.19,0.8,0.8,,113,138,81.9,2596,1022,28,30,93.3,57,61,93.4,27,46,58.7,0,0,0,1,2,0,0,4,,137,1,1,0,17,7,0,0,0,0,0,97,12,29,56,71,4,0,2,1,6,0,0,,2,0.67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,3,4,0,0,2,3,66.7,1,22,6,27.3,18,3,1,2,2,0,0,2,6,19,0,,168,27,117,62,2,1,167,0,0,,0,0,110,714,325,1,0,0,0,1,119,119,100,1,,1,0,0,3,1,1,0,2,3,0,0,0,20,9,1,90
Vincent Aboubakar,cm CMR,FW,,Porto,Europa League,2020,1992,1,,2,4,3,75,4,3,0.5,0.67,24,0,0,0,1.1,1.1,0.28,0.9,0.9,,27,32,84.4,459,42,17,19,89.5,5,6,83.3,5,7,71.4,0,0.1,-0.1,3,2,1,0,2,,31,1,0,0,5,2,0,0,0,0,0,23,6,3,3,25,1,0,1,0,1,0,0,,5,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,1,0,1,2,50,1,16,3,18.8,2,9,5,2,0,0,2,3,4,1,0,,58,1,5,32,24,8,57,3,3,100,3,0,42,133,39,2,0,0,11,3,55,45,81.8,17,,1,0,0,0,1,0,0,3,1,0,0,0,3,2,3,40
Zakaria Aboukhlal,ma MAR,FW,,AZ Alkmaar,Europa League,2020,2000,0.2,,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,,5,5,100,46,8,5,5,100,0,0,,0,0,,0,0,0,0,0,0,0,0,,5,0,0,0,2,0,0,0,0,0,0,5,0,0,3,2,0,0,0,0,0,0,0,,2,12.86,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,1,0,0,1,1,100,0,6,2,33.3,2,2,2,0,0,0,0,0,1,1,0,,9,1,3,4,6,1,9,0,0,,0,0,8,62,45,1,1,0,2,1,9,6,66.7,3,,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
David Abraham,ar ARG,DF,,Eint Frankfurt,Europa League,2020,1986,9,,1,3,1,33.3,0.33,0.11,0.33,1,7.1,0,0,0,0.4,0.4,0.14,0.6,0.6,,347,422,82.2,7419,2549,102,111,91.9,182,205,88.8,61,91,67,0,0.1,-0.1,1,32,2,1,38,,393,29,9,0,81,5,3,0,0,0,0,269,54,99,55,281,46,20,2,1,6,3,10,,6,0.67,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,11,16,3,0,14,35,40,21,140,54,38.6,82,52,6,17,8,0,9,7,26,43,0,,520,51,240,278,32,6,493,1,1,100,1,0,266,1554,732,22,3,0,3,5,292,275,94.2,5,,2,0,0,13,6,1,3,7,11,0,0,0,124,29,11,72.5
Francesco Acerbi,it ITA,DF,,Lazio,Europa League,2020,1988,6,,0,1,0,0,0.17,0,0,,7.1,0,0,0,0.1,0.1,0.08,-0.1,-0.1,,352,408,86.3,7116,2561,140,150,93.3,152,173,87.9,57,79,72.2,0,0.1,-0.1,2,20,4,0,21,,380,28,13,1,61,14,8,0,0,0,0,275,56,77,277,81,24,15,6,1,6,6,4,,5,0.83,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,7,7,6,1,5,6,83.3,1,62,20,32.3,38,18,6,11,3,0,8,8,22,26,2,,472,52,215,251,46,4,444,3,3,100,3,0,306,2232,1370,45,12,0,1,3,320,304,95,6,,0,0,0,6,2,1,8,8,7,0,0,0,73,9,2,81.8
Marcos Acuña,ar ARG,DF,,Sporting CP,Europa League,2020,1991,6.1,,0,4,4,100,0.65,0.65,0,0,22,1,0,0,0.1,0.1,0.04,-0.1,-0.1,,270,348,77.6,6013,2834,85,99,85.9,131,153,85.6,53,91,58.2,2,1.3,0.7,15,18,15,8,28,,271,77,7,1,39,23,22,15,6,9,0,164,49,135,251,28,11,55,2,0,9,7,4,,28,4.57,15,7,2,1,2,1,8,1.3,2,3,1,0,2,0,0,,19,10,16,2,1,7,13,53.8,6,92,33,35.9,55,24,13,14,1,0,13,5,24,34,0,,438,26,153,197,112,8,362,7,12,58.3,7,0,247,1314,837,32,11,2,5,9,257,236,91.8,17,,2,0,0,10,9,0,22,5,10,1,0,0,53,6,5,54.5
Samuel Adegbenro,ng NGA,FW,,Rosenborg,Europa League,2020,1995,5.4,,1,7,1,14.3,1.31,0.19,0.14,1,14.9,0,0,0,1,1,0.14,0,0,,45,79,57,627,140,30,46,65.2,9,19,47.4,4,5,80,0,0.2,-0.2,3,1,3,2,2,,74,5,1,0,30,1,9,0,0,0,0,41,29,9,17,47,4,4,3,2,3,4,9,,6,1.12,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,5,2,0,1,4,1,4,25,3,73,21,28.8,13,28,32,5,0,0,5,2,7,3,0,,174,2,16,62,112,21,170,14,34,41.2,20,2,140,637,350,23,5,5,20,19,221,124,56.1,32,,0,0,0,7,14,5,9,2,2,0,0,0,26,4,7,36.4
Bobby Adekanye,nl NED,FW,MF,Lazio,Europa League,2020,1999,1.1,,0,2,0,0,1.84,0,0,,15.1,0,0,0,0.2,0.2,0.11,-0.2,-0.2,,26,30,86.7,335,49,19,20,95,5,7,71.4,1,2,50,1,0.2,0.8,1,1,0,0,0,,30,0,0,0,1,0,0,0,0,0,0,24,3,3,28,1,0,0,1,0,1,1,0,,2,1.84,1,0,0,0,1,0,1,0.92,1,0,0,0,0,0,0,,1,1,0,1,0,1,1,100,0,21,8,38.1,3,14,4,0,0,0,0,0,1,2,0,,51,1,5,26,23,4,51,3,6,50,3,0,43,208,90,4,3,0,2,4,58,41,70.7,13,,1,0,0,3,5,1,0,0,1,0,0,0,6,0,4,0
Kemal Ademi,ch SUI,FW,,Basel,Europa League,2020,1996,3.5,,0,8,4,50,2.26,1.13,0,0,13.2,0,0,0,0.7,0.7,0.09,-0.7,-0.7,,33,56,58.9,356,34,23,31,74.2,5,16,31.3,1,2,50,1,0.1,0.9,1,0,0,0,1,,54,2,0,0,17,1,2,0,0,0,0,30,19,7,4,40,7,0,1,0,2,1,3,,4,1.13,1,0,1,1,0,1,1,0.28,0,0,0,1,0,0,0,,1,1,0,1,0,0,1,0,1,85,18,21.2,4,37,44,2,0,0,2,1,2,6,0,,99,7,11,51,42,12,97,2,4,50,3,0,54,170,36,2,1,0,15,7,167,75,44.9,28,,0,0,0,7,4,6,2,1,1,0,0,0,11,9,16,36
