Player,Nation,Pos,Secondary_Pos,Born
Patrick van Aanholt,nl NED,DF,,1990
Rolando Aarons,eng ENG,MF,FW,1995
Rolando Aarons,eng ENG,FW,MF,1995
Ignazio Abate,it ITA,DF,,1986
Aymen Abdennour,tn TUN,DF,,1989
Aly Abeid,mr MTN,DF,,1997
Mehdi Abeid,dz ALG,MF,,1992
David Abraham,ar ARG,DF,,1986
Tammy Abraham,eng ENG,FW,MF,1997
Amir Abrashi,al ALB,MF,,1990
Francesco Acerbi,it ITA,DF,,1988
Afriyie Acquah,gh GHA,MF,,1992
Charlie Adam,sco SCO,MF,,1985
Aday,es ESP,DF,MF,1987
Khaled Adénon,bj BEN,DF,,1985
Claud Adjapong,it ITA,DF,MF,1998
Ali Adnan Kadhim,iq IRQ,DF,MF,1993
Aritz Aduriz,es ESP,FW,,1981
Ibrahim Afellay,nl NED,MF,,1986
Benik Afobe,cd COD,FW,MF,1993
Martin Agirregabiria,es ESP,DF,,1996
Imanol Agirretxe,es ESP,FW,,1987
Sergio Agüero,ar ARG,FW,,1988
Ruben Aguilar,fr FRA,DF,MF,1993
Matías Aguirregaray,uy URU,DF,,1989
Jean-Eudes Aholou,ci CIV,MF,,1994
Ailton,br BRA,DF,FW,1995
Youssef Aït Bennasser,ma MAR,MF,,1996
Arlind Ajeti,al ALB,DF,MF,1993
Manuel Akanji,ch SUI,DF,,1995
Nathan Aké,nl NED,DF,,1995
Ager Aketxe,es ESP,MF,,1993
Chadrac Akolo,cd COD,FW,MF,1995
Kevin Akpoguma,ng NGA,DF,,1995
David Alaba,at AUT,DF,,1992
Lucas Alario,ar ARG,FW,,1992
David Alba,es ESP,DF,,1999
Jordi Alba,es ESP,DF,,1989
Raúl Albentosa,es ESP,DF,,1988
Luis Alberto,es ESP,MF,FW,1992
Raúl Albiol,es ESP,DF,,1985
Miiko Albornoz,cl CHI,DF,,1990
Marc Albrighton,eng ENG,MF,FW,1989
Paco Alcácer,es ESP,FW,MF,1993
Pedro Alcalá,es ESP,DF,,1989
Thiago Alcántara,es ESP,MF,FW,1991
David Alcibiade,fr FRA,DF,,1991
Toby Alderweireld,be BEL,DF,,1989
Steve Aldo One,cm CMR,DF,,1995
Álex Alegría,es ESP,FW,,1992
Iván Alejo,es ESP,FW,MF,1995
Alexander,ar ARG,FW,MF,1988
Trent Alexander-Arnold,eng ENG,DF,,1998
Alexis,es ESP,DF,,1985
Allan,br BRA,MF,,1991
Joe Allen,wal WAL,MF,,1990
Dele Alli,eng ENG,MF,FW,1996
José Alonso Lara,es ESP,FW,,2000
Júnior Alonso,py PAR,DF,,1993
Marcos Alonso,es ESP,DF,MF,1990
Ricky Álvarez,ar ARG,MF,FW,1988
Yeray Álvarez,es ESP,DF,,1995
Dani Alves,br BRA,DF,,1983
Ibrahim Amadou,fr FRA,MF,DF,1993
Eloi Amagat,es ESP,FW,MF,1985
Morgan Amalfitano,fr FRA,MF,,1985
Romain Amalfitano,fr FRA,MF,,1989
Daniel Amartey,gh GHA,DF,,1994
Jordi Amat,es ESP,DF,MF,1992
Amath,sn SEN,MF,FW,1996
Jordan Amavi,fr FRA,DF,,1994
Stephan Ambrosius,de GER,DF,,1998
Kelvin Amian,fr FRA,DF,,1998
Nadiem Amiri,de GER,MF,FW,1996
Ethan Ampadu,wal WAL,DF,,2000
Nordin Amrabat,ma MAR,FW,,1987
Nordin Amrabat,ma MAR,FW,MF,1987
Joachim Andersen,dk DEN,DF,,1996
Felipe Anderson,br BRA,MF,FW,1993
Florin Andone,ro ROU,FW,,1993
Benjamin André,fr FRA,MF,,1990
Marco Andreolli,it ITA,DF,,1986
Yoann Andreu,fr FRA,DF,,1989
Miguel Ángel Guerrero,es ESP,FW,,1990
Miguel Ángel Rubio,es ESP,DF,,1998
José Ángel,es ESP,DF,,1989
Gabriele Angella,it ITA,DF,,1989
Cristian Ansaldi,ar ARG,DF,MF,1986
