,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Adrián\Adrian,es ESP,GK,eng Liverpool,32,1987,3,3,300,3.3,8,2.40,15,8,53.3,1,0,2,0,0.0,1,1,0,0,0.0,Matches
2,Alisson\Alisson,br BRA,GK,eng Liverpool,26,1992,5,5,450,5.0,4,0.80,16,12,75.0,3,1,1,1,20.0,0,0,0,0,,Matches
3,Alphonse Areola\Alphonse-Areola,fr FRA,GK,es Real Madrid,26,1993,2,1,135,1.5,1,0.67,3,2,66.7,1,0,0,0,0.0,0,0,0,0,,Matches
4,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,eng Chelsea,24,1994,6,6,540,6.0,9,1.50,18,11,50.0,3,2,1,1,16.7,1,0,1,0,100.0,Matches
5,Milan Borjan\Milan-Borjan,ca CAN,GK,rs Red Star,31,1987,6,6,540,6.0,20,3.33,51,32,64.7,1,0,5,0,0.0,2,2,0,0,0.0,Matches
6,Claudio Bravo\Claudio-Bravo,cl CHI,GK,eng Manchester City,36,1983,2,1,125,1.4,2,1.44,3,1,33.3,1,0,0,0,0.0,0,0,0,0,,Matches
7,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,it Juventus,41,1978,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
8,Roman Bürki\Roman-Burki,ch SUI,GK,de Dortmund,28,1990,8,8,720,8.0,11,1.37,36,25,69.4,4,1,3,2,25.0,1,0,1,0,100.0,Matches
9,Willy Caballero\Willy-Caballero,ar ARG,GK,eng Chelsea,37,1981,2,2,180,2.0,7,3.50,12,6,50.0,0,0,2,0,0.0,1,1,0,0,0.0,Matches
10,Leonardo César Jardim\Leonardo-Cesar-Jardim,br BRA,GK,fr Lille,24,1995,1,0,19,0.2,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,Matches
11,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,es Valencia,30,1989,6,6,540,6.0,11,1.83,30,20,70.0,2,2,2,1,16.7,3,2,0,1,0.0,Matches
12,Carlos Coronel\Carlos-Coronel,br BRA,GK,at RB Salzburg,22,1996,3,2,238,2.6,4,1.51,11,7,63.6,1,1,0,0,0.0,0,0,0,0,,Matches
13,Gaëtan Coucke\Gaetan-Coucke,be BEL,GK,be Genk,20,1998,5,5,450,5.0,16,3.20,35,18,54.3,0,1,4,1,20.0,0,0,0,0,,Matches
14,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,es Real Madrid,27,1992,7,7,585,6.5,11,1.69,31,21,67.7,2,2,3,2,28.6,1,1,0,0,0.0,Matches
15,Jaume Doménech\Jaume-Domenech,es ESP,GK,es Valencia,28,1990,2,2,180,2.0,4,2.00,7,3,42.9,1,0,1,1,50.0,0,0,0,0,,Matches
16,Ederson\Ederson,br BRA,GK,eng Manchester City,25,1993,8,8,675,7.5,7,0.93,22,16,72.7,5,2,1,2,25.0,1,1,0,0,0.0,Matches
17,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,eng Tottenham,27,1992,4,4,360,4.0,5,1.25,22,15,77.3,3,0,1,2,50.0,0,0,0,0,,Matches
18,Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,it Atalanta,24,1995,7,7,630,7.0,13,1.86,31,19,61.3,3,1,3,2,28.6,2,1,0,1,0.0,Matches
19,Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,de RB Leipzig,29,1990,10,10,873,9.7,12,1.24,44,32,75.0,6,2,2,3,30.0,1,1,0,0,0.0,Matches
20,Samir Handanović\Samir-Handanovic,si SVN,GK,it Inter,35,1984,6,6,540,6.0,9,1.50,29,21,72.4,2,1,3,1,16.7,1,1,0,0,0.0,Matches
21,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,de Leverkusen,29,1989,6,6,540,6.0,9,1.50,28,19,67.9,2,0,4,1,16.7,0,0,0,0,,Matches
22,Mikhail Kerzhakov\Mikhail-Kerzhakov,ru RUS,GK,ru Zenit,32,1987,4,4,360,4.0,7,1.75,24,18,75.0,1,0,3,1,25.0,1,1,0,0,0.0,Matches
23,Anton Kochenkov\Anton-Kochenkov,ru RUS,GK,ru Loko Moscow,32,1987,1,1,90,1.0,2,2.00,4,3,75.0,0,0,1,0,0.0,2,1,1,0,50.0,Matches
24,Ondřej Kolář\Ondrej-Kolar,cz CZE,GK,cz Slavia Prague,24,1994,6,6,540,6.0,10,1.67,35,26,71.4,0,2,4,1,16.7,0,0,0,0,,Matches
25,Dominik Livaković\Dominik-Livakovic,hr CRO,GK,hr Dinamo Zagreb,24,1995,6,6,540,6.0,13,2.17,32,21,65.6,1,2,3,1,16.7,2,2,0,0,0.0,Matches
26,Hugo Lloris\Hugo-Lloris,fr FRA,GK,eng Tottenham,32,1986,4,4,360,4.0,13,3.25,24,12,54.2,0,1,3,0,0.0,2,2,0,0,0.0,Matches
27,Anthony Lopes\Anthony-Lopes,pt POR,GK,fr Lyon,28,1990,10,10,900,10.0,14,1.40,37,26,70.3,4,2,4,2,20.0,3,3,0,0,0.0,Matches
28,Andrey Lunyov\Andrey-Lunyov,ru RUS,GK,ru Zenit,27,1991,2,2,180,2.0,2,1.00,14,13,92.9,1,1,0,0,0.0,1,1,0,0,0.0,Matches
29,Mike Maignan\Mike-Maignan,fr FRA,GK,fr Lille,23,1995,6,6,521,5.8,14,2.42,31,19,58.1,0,1,5,0,0.0,1,1,0,0,0.0,Matches
30,Guilherme Marinato\Guilherme-Marinato,ru RUS,GK,ru Loko Moscow,33,1985,5,5,450,5.0,9,1.80,35,28,74.3,1,0,4,0,0.0,0,0,0,0,,Matches
31,Alex Meret\Alex-Meret,it ITA,GK,it Napoli,22,1997,6,6,540,6.0,4,0.67,17,15,88.2,3,3,0,3,50.0,2,2,0,0,0.0,Matches
32,Simon Mignolet\Simon-Mignolet,be BEL,GK,be Club Brugge,31,1988,6,6,540,6.0,12,2.00,24,12,50.0,0,3,3,1,16.7,0,0,0,0,,Matches
33,Fernando Muslera\Fernando-Muslera,uy URU,GK,tr Galatasaray,33,1986,6,6,540,6.0,14,2.33,46,34,73.9,0,2,4,1,16.7,2,2,0,0,0.0,Matches
34,Yvon Mvogo\Yvon-Mvogo,ch SUI,GK,de RB Leipzig,25,1994,1,0,27,0.3,0,0.00,2,2,100.0,0,0,0,0,,0,0,0,0,,Matches
35,Keylor Navas\Keylor-Navas,cr CRC,GK,fr Paris S-G,32,1986,9,9,798,8.9,6,0.68,28,22,78.6,6,1,2,5,55.6,1,0,1,0,100.0,Matches
36,Neto\Neto,br BRA,GK,es Barcelona,30,1989,1,1,90,1.0,1,1.00,7,6,85.7,1,0,0,0,0.0,0,0,0,0,,Matches
37,Manuel Neuer\Manuel-Neuer,de GER,GK,de Bayern Munich,33,1986,11,11,990,11.0,8,0.73,33,27,78.8,11,0,0,6,54.5,1,1,0,0,0.0,Matches
38,Jan Oblak\Jan-Oblak,si SVN,GK,es Atlético Madrid,26,1993,9,9,840,9.3,9,0.96,30,22,70.0,5,1,3,4,44.4,0,0,0,0,,Matches
39,André Onana\Andre-Onana,cm CMR,GK,nl Ajax,23,1996,6,6,540,6.0,6,1.00,28,24,85.7,3,1,2,3,50.0,3,2,0,1,0.0,Matches
40,David Ospina\David-Ospina,co COL,GK,it Napoli,30,1988,2,2,180,2.0,4,2.00,4,1,25.0,0,1,1,0,0.0,1,1,0,0,0.0,Matches
41,Andriy Pyatov\Andriy-Pyatov,ua UKR,GK,ua Shakhtar,35,1984,6,6,540,6.0,13,2.17,32,20,62.5,1,3,2,0,0.0,2,1,1,0,50.0,Matches
42,Sergio Rico\Sergio-Rico,es ESP,GK,fr Paris S-G,25,1993,3,2,192,2.1,0,0.00,3,3,100.0,2,0,0,2,100.0,0,0,0,0,,Matches
43,José Sá\Jose-Sa,pt POR,GK,gr Olympiacos,26,1993,6,6,540,6.0,14,2.33,34,21,61.8,1,1,4,1,16.7,2,1,0,1,0.0,Matches
