,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Rayhaan Tulloch\Rayhaan-Tulloch,eng ENG,MF,West Brom,eng Premier League,16,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
2,Ismael Aaneba\Ismael-Aaneba,fr FRA,MF,Strasbourg,fr Ligue 1,18,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
3,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,28,2184,78,63.9,24.3,25,,21,3,,8,1.21,31,38,-7,-0.29,-0.07,31.8,33.1,-1.3,-0.05,-0.54,Matches
4,Rolando Aarons\Rolando-Aarons,eng ENG,FWMF,Newcastle Utd,eng Premier League,21,1995,4,139,35,4.1,1.5,1,,0,3,,7,0.25,1,2,-1,-0.65,-0.46,0.4,2.8,-2.4,-1.53,-1.35,Matches
5,Rolando Aarons\Rolando-Aarons,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,11,517,47,15.1,5.7,6,,1,5,,4,0.55,2,12,-10,-1.74,-0.56,2.8,11.7,-8.9,-1.54,-0.53,Matches
6,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,30,1986,17,1057,62,30.9,11.7,11,,7,6,,15,1.71,17,10,+7,+0.60,+0.33,14.2,11.3,+2.9,+0.24,-0.21,Matches
7,Aymen Abdennour\Aymen-Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,8,500,63,14.6,5.6,6,,4,2,,18,2.38,10,4,+6,+1.08,+0.25,11.4,4.2,+7.2,+1.29,+0.58,Matches
8,Nura Abdullahi\Nura-Abdullahi,ng NGA,DF,Roma,it Serie A,19,1997,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
9,Aly Abeid\Aly-Abeid,mr MTN,DF,Levante,es La Liga,19,1997,1,76,76,2.2,0.8,1,,0,0,,1,0.00,0,3,-3,-3.55,-3.26,0.6,1.3,-0.7,-0.77,-0.30,Matches
10,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,19,1176,62,34.4,13.1,14,,9,5,,1,1.58,18,25,-7,-0.54,-0.09,14.2,22.4,-8.2,-0.63,+0.10,Matches
