Player,Nation,Pos,Squad,Comp,Born,matches_played,minutes_played,minutes_per_match_played,minutes_played_percent,90s_played,starts,minutes_per_starts,completed_matches,sub_played,minutes_per_sub,unused_sub,points_per_match,team_goals_scored_while_playing,team_goals_against_while_playing,plus_minus_goals_while_playing,plus_minus_goals_while_playing_per_90,net_goals_playing_per_90,season,expected_team_goals_while_playing,expected_team_goals_against_while_playing,xg_difference_while_playing,xg_difference_while_playing_per_90,net_xg_difference
Marius Adamonis,lt LTU,GK,Lazio,it Serie A,1997.0,0,,,,,0,,0.0,0,,12,,,,,,,2017,,,,,
Antonio Adán,es ESP,GK,Betis,es La Liga,1987.0,37,3330.0,90.0,97.4,37.0,37,,37.0,0,,0,1.03,39.0,62.0,-23.0,-0.62,-0.62,2017,,,,,
René Adler,de GER,GK,Hamburger SV,de Bundesliga,1985.0,19,1710.0,90.0,55.9,19.0,19,,19.0,0,,0,1.0,15.0,38.0,-23.0,-1.21,-0.88,2017,,,,,
Adrián,es ESP,GK,West Ham,eng Premier League,1987.0,16,1440.0,90.0,42.1,16.0,16,,16.0,0,,22,1.19,14.0,25.0,-11.0,-0.69,-0.41,2017,,,,,
Gabriele Aldegani,it ITA,GK,Pescara,it Serie A,1976.0,0,,,,,0,,0.0,0,,9,,,,,,,2017,,,,,
Alisson,br BRA,GK,Roma,it Serie A,1992.0,0,,,,,0,,0.0,0,,38,,,,,,,2017,,,,,
Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,1991.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Ryan Allsop,eng ENG,GK,Bournemouth,eng Premier League,1992.0,1,90.0,90.0,2.6,1.0,1,,1.0,0,,17,1.0,1.0,1.0,0.0,0.0,0.32,2017,,,,,
Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,1986.0,26,2340.0,90.0,68.4,26.0,26,,26.0,0,,9,1.0,33.0,52.0,-19.0,-0.73,-0.98,2017,,,,,
Diego Alves,br BRA,GK,Valencia,es La Liga,1985.0,33,2970.0,90.0,86.8,33.0,33,,33.0,0,,3,1.21,48.0,56.0,-8.0,-0.24,-0.04,2017,,,,,
Jon Ander Serantes,es ESP,GK,Leganés,es La Liga,1989.0,13,1108.0,85.0,32.4,12.3,13,,12.0,0,,0,1.0,11.0,22.0,-11.0,-0.89,-0.58,2017,,,,,
Miguel Ángel Moyá,es ESP,GK,Atlético Madrid,es La Liga,1984.0,9,771.0,86.0,22.5,8.6,8,,8.0,1,,14,2.22,15.0,6.0,9.0,1.05,-0.1,2017,,,,,
Markel Areitio,es ESP,GK,Eibar,es La Liga,1996.0,1,47.0,47.0,1.4,0.5,0,,0.0,1,,10,1.0,1.0,0.0,1.0,1.91,1.81,2017,,,,,
Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,1993.0,15,1297.0,86.0,37.9,14.4,14,,14.0,1,,20,2.0,27.0,14.0,13.0,0.9,-0.92,2017,,,,,
Giedrius Arlauskis,lt LTU,GK,Watford,eng Premier League,1987.0,0,,,,,0,,0.0,0,,5,,,,,,,2017,,,,,
Kepa Arrizabalaga,es ESP,GK,Athletic Club,es La Liga,1994.0,23,2015.0,88.0,58.9,22.4,23,,22.0,0,,2,1.96,36.0,22.0,14.0,0.63,0.88,2017,,,,,
Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,1989.0,24,2104.0,88.0,61.5,23.4,24,,23.0,0,,0,1.63,30.0,15.0,15.0,0.64,0.09,2017,,,,,
Emil Audero,it ITA,GK,Juventus,it Serie A,1997.0,1,90.0,90.0,2.6,1.0,1,,1.0,0,,37,3.0,2.0,1.0,1.0,1.0,-0.32,2017,,,,,
Loic Badiashile,fr FRA,GK,Monaco,fr Ligue 1,1998.0,1,45.0,45.0,1.3,0.5,0,,0.0,1,,4,3.0,2.0,2.0,0.0,0.0,-2.03,2017,,,,,
Mariano Barbosa,ar ARG,GK,Villarreal,es La Liga,1984.0,0,,,,,0,,0.0,0,,16,,,,,,,2017,,,,,
Ander Bardají,es ESP,GK,Real Sociedad,es La Liga,1995.0,0,,,,,0,,0.0,0,,5,,,,,,,2017,,,,,
Bernabé Barragán,es ESP,GK,Atlético Madrid,es La Liga,1993.0,0,,,,,0,,0.0,0,,2,,,,,,,2017,,,,,
Diego Barrios,es ESP,GK,Leganés,es La Liga,1994.0,1,63.0,63.0,1.8,0.7,0,,0.0,1,,4,1.0,0.0,1.0,-1.0,-1.43,-0.95,2017,,,,,
Davide Bassi,it ITA,GK,Atalanta,it Serie A,1985.0,0,,,,,0,,0.0,0,,13,,,,,,,2017,,,,,
Leon Bätge,de GER,GK,Eint Frankfurt,de Bundesliga,1997.0,0,,,,,0,,0.0,0,,2,,,,,,,2017,,,,,
Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,1990.0,34,3060.0,90.0,100.0,34.0,34,,34.0,0,,0,1.82,64.0,37.0,27.0,0.79,,2017,,,,,
Asmir Begović,ba BIH,GK,Chelsea,eng Premier League,1987.0,2,180.0,90.0,5.3,2.0,2,,2.0,0,,36,1.5,4.0,5.0,-1.0,-0.5,-1.97,2017,,,,,
Benjamin Bellot,de GER,GK,RB Leipzig,de Bundesliga,1990.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Diego Benaglio,ch SUI,GK,Wolfsburg,de Bundesliga,1983.0,14,1260.0,90.0,41.2,14.0,14,,14.0,0,,14,1.14,15.0,22.0,-7.0,-0.5,0.05,2017,,,,,
Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,1993.0,3,215.0,72.0,6.3,2.4,2,,2.0,1,,25,1.0,1.0,1.0,0.0,0.0,-0.76,2017,,,,,
Ihor Berezovskyi,ua UKR,GK,Darmstadt 98,de Bundesliga,1990.0,0,,,,,0,,0.0,0,,8,,,,,,,2017,,,,,
Etrit Berisha,al ALB,GK,Atalanta,it Serie A,1989.0,26,2340.0,90.0,68.4,26.0,26,,26.0,0,,2,2.0,44.0,26.0,18.0,0.69,0.44,2017,,,,,
Paul Bernardoni,fr FRA,GK,Bordeaux,fr Ligue 1,1997.0,0,,,,,0,,0.0,0,,14,,,,,,,2017,,,,,
Tommaso Berni,it ITA,GK,Inter,it Serie A,1983.0,0,,,,,0,,0.0,0,,3,,,,,,,2017,,,,,
Dimitry Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,1998.0,0,,,,,0,,0.0,0,,2,,,,,,,2017,,,,,
Albano Bizzarri,ar ARG,GK,Pescara,it Serie A,1977.0,29,2610.0,90.0,76.3,29.0,29,,29.0,0,,9,0.41,27.0,68.0,-41.0,-1.41,-1.08,2017,,,,,
Mirko Bizzi,it ITA,GK,Cagliari,it Serie A,1999.0,0,,,,,0,,0.0,0,,2,,,,,,,2017,,,,,
Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,1995.0,11,990.0,90.0,28.9,11.0,11,,11.0,0,,5,1.64,19.0,15.0,4.0,0.36,1.1,2017,,,,,
Hendrik Bonmann,de GER,GK,Dortmund,de Bundesliga,1994.0,0,,,,,0,,0.0,0,,6,,,,,,,2017,,,,,
Luca Borrelli,it ITA,GK,Lazio,it Serie A,1998.0,0,,,,,0,,0.0,0,,6,,,,,,,2017,,,,,
