,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
1,Vincent Aboubakar\Vincent-Aboubakar,cm CMR,FW,pt Porto,25,1992,6,495,83,68.8,5.5,6,,3,0,,0,1.83,12,6,+6,+1.09,+3.49,Matches
2,Marcos Acuña\Marcos-Acuna,ar ARG,MFDF,pt Sporting CP,25,1991,5,433,87,80.2,4.8,5,,4,0,,0,1.14,5,8,-3,-0.62,-2.31,Matches
3,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,eng Manchester City,19,1997,2,91,46,10.1,1.0,1,,1,1,,0,0.00,1,2,-1,-0.99,-1.99,Matches
4,Adriano\Adriano,br BRA,DF,tr Beşiktaş,32,1984,6,486,81,67.5,5.4,5,,4,1,,1,1.83,8,10,-2,-0.37,-0.75,Matches
5,Luiz Adriano\Luiz-Adriano,br BRA,FWMF,ru Spartak Moscow,30,1987,6,540,90,100.0,6.0,6,,6,0,,0,1.00,9,13,-4,-0.67,,Matches
6,Ansi Agolli\Ansi-Agolli,al ALB,DF,az Qarabağ FK,34,1982,4,360,90,66.7,4.0,4,,4,0,,0,1.50,2,7,-5,-1.25,+2.25,Matches
7,Sergio Agüero\Sergio-Aguero,ar ARG,FW,eng Manchester City,29,1988,7,440,63,48.9,4.9,5,,1,2,,2,2.14,13,3,+10,+2.05,+2.44,Matches
8,Karim El Ahmadi\Karim-El-Ahmadi,ma MAR,MF,nl Feyenoord,32,1985,4,360,90,66.7,4.0,4,,4,0,,0,0.00,3,12,-9,-2.25,-2.25,Matches
9,Valon Ahmedi\Valon-Ahmedi,al ALB,MF,si NK Maribor,22,1994,4,226,57,41.9,2.5,3,,1,1,,2,1.40,0,10,-10,-3.98,-3.12,Matches
10,Kristoffer Ajer\Kristoffer-Ajer,no NOR,DF,sco Celtic,19,1998,0,,,,,0,,0,0,,4,,,,,,,Matches
11,Albian Ajeti\Albian-Ajeti,ch SUI,FW,ch Basel,20,1997,3,98,33,13.6,1.1,1,,0,2,,3,1.00,1,1,0,0.00,-0.43,Matches
12,Manuel Akanji\Manuel-Akanji,ch SUI,DF,ch Basel,22,1995,6,540,90,75.0,6.0,6,,6,0,,0,2.00,11,5,+6,+1.00,+2.50,Matches
13,Igor Akinfeev\Igor-Akinfeev,ru RUS,GK,ru CSKA Moscow,31,1986,6,540,90,100.0,6.0,6,,6,0,,0,2.10,8,10,-2,-0.33,,Matches
14,Fatih Aksoy\Fatih-Aksoy,tr TUR,DFMF,tr Beşiktaş,19,1997,0,,,,,0,,0,0,,2,,,,,,,Matches
15,David Alaba\David-Alaba,at AUT,DF,de Bayern Munich,25,1992,7,625,89,57.9,6.9,7,,6,0,,0,2.29,18,8,+10,+1.44,+0.65,Matches
16,Jordi Alba\Jordi-Alba,es ESP,DF,es Barcelona,28,1989,8,638,80,70.9,7.1,7,,7,1,,1,1.88,12,5,+7,+0.99,-0.39,Matches
17,Raúl Albiol\Raul-Albiol,es ESP,DF,it Napoli,31,1985,5,450,90,83.3,5.0,5,,5,0,,0,1.29,8,10,-2,-0.40,-2.40,Matches
18,Paco Alcácer\Paco-Alcacer,es ESP,FW,es Barcelona,23,1993,2,95,48,10.6,1.1,1,,1,1,,5,1.50,2,0,+2,+1.89,+0.89,Matches
19,Thiago Alcántara\Thiago-Alcantara,es ESP,MFFW,de Bayern Munich,26,1991,10,607,61,56.2,6.7,7,,4,3,,0,2.00,12,8,+4,+0.59,-1.31,Matches
20,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,eng Tottenham,28,1989,4,294,74,40.8,3.3,4,,3,0,,0,2.50,7,2,+5,+1.53,+0.47,Matches
21,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,eng Liverpool,18,1998,10,820,82,70.1,9.1,9,,6,1,,2,2.33,30,10,+20,+2.20,+0.91,Matches
22,Nektarios Alexandrou\Nektarios-Alexandrou,cy CYP,DF,cy APOEL FC,33,1983,2,52,26,9.6,0.6,1,,0,1,,4,0.50,0,1,-1,-1.73,+0.85,Matches
23,Alisson\Alisson,br BRA,GK,it Roma,24,1992,12,1080,90,100.0,12.0,12,,12,0,,0,1.67,21,19,+2,+0.17,,Matches
24,Allan\Allan,br BRA,MF,it Napoli,26,1991,6,307,51,56.9,3.4,3,,1,3,,0,1.50,10,5,+5,+1.47,+3.40,Matches
