,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Pape Abou Cisse\Pape-Abou-Cisse,sn SEN,DF,gr Olympiacos,25-209,1995,6,451,75,83.5,5.0,5,90,5,1,1,0,0.50,1,10,-9,-1.80,-2.81,2.7,8.2,-5.5,-1.10,-1.42,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,eng Chelsea,23-191,1997,5,230,46,28.4,2.6,3,73,1,2,6,3,2.20,6,1,+5,+1.96,+0.09,5.7,1.6,+4.1,+1.58,+0.78,Matches
3,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,it Lazio,33-060,1988,8,720,90,100.0,8.0,8,90,8,0,,0,1.25,13,13,0,0.00,,12.2,12.2,0.0,0.00,,Matches
4,Marcos Acuña\Marcos-Acuna,ar ARG,DF,es Sevilla,29-165,1991,4,327,82,45.4,3.6,3,90,3,1,57,0,2.00,6,2,+4,+1.10,+2.02,6.0,3.1,+2.8,+0.78,+1.50,Matches
5,Tyler Adams\Tyler-Adams,us USA,DFMF,de RB Leipzig,22-056,1999,6,289,48,40.1,3.2,2,90,2,4,27,2,2.00,2,8,-6,-1.87,-2.08,3.4,5.5,-2.1,-0.67,-0.75,Matches
6,Karim Adeyemi\Karim-Adeyemi,de GER,FW,at RB Salzburg,19-083,2002,3,52,17,9.6,0.6,0,,0,3,17,0,1.00,2,2,0,0.00,+1.29,2.1,1.3,+0.8,+1.37,+1.03,Matches
7,Adrián\Adrian,es ESP,GK,eng Liverpool,34-098,1987,1,90,90,11.1,1.0,1,90,1,0,,8,3.00,1,0,+1,+1.00,0.00,1.8,1.4,+0.4,+0.38,+0.19,Matches
8,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,fr Rennes,25-012,1996,4,275,69,50.9,3.1,2,90,2,2,48,0,0.25,2,6,-4,-1.31,+0.05,4.6,6.4,-1.8,-0.59,-0.07,Matches
9,Sergio Agüero\Sergio-Aguero,ar ARG,FW,eng Manchester City,32-313,1988,5,132,26,16.3,1.5,1,67,0,4,16,1,3.00,4,1,+3,+2.05,+0.19,2.2,0.7,+1.5,+1.02,-0.47,Matches
10,Manuel Akanji\Manuel-Akanji,ch SUI,DF,de Dortmund,25-266,1995,6,540,90,66.7,6.0,6,90,6,0,,0,2.17,13,5,+8,+1.33,+1.67,9.5,5.3,+4.2,+0.70,+0.36,Matches
