,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
1,Ürfan Abbasov\Urfan-Abbasov,az AZE,DF,az Gabala FK,23,1992,3,270,90,50.0,3.0,3,,3,0,,3,0.60,1,6,-5,-1.67,-0.33,Matches
2,Yassine Abdelali\Yassine-Abdelali,be BEL,MF,be Gent,18,1998,0,,,,,0,,0,0,,1,,,,,,,Matches
3,Anicet Abel\Anicet-Abel,mg MAD,MF,bg Ludogorets,26,1990,2,155,78,86.1,1.7,2,,1,0,,0,0.50,1,2,-1,-0.58,-0.58,Matches
4,Vincent Aboubakar\Vincent-Aboubakar,cm CMR,FW,tr Beşiktaş,24,1992,3,200,67,35.1,2.2,3,,0,0,,0,2.33,4,3,+1,+0.45,-0.77,Matches
5,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,it Sassuolo,28,1988,6,540,90,100.0,6.0,6,,6,0,,0,1.30,9,11,-2,-0.33,,Matches
6,Frank Acheampong\Frank-Acheampong,gh GHA,MFDF,be Anderlecht,22,1993,12,911,76,82.1,10.1,10,,6,2,,0,1.93,20,12,+8,+0.79,+0.34,Matches
7,Vlad Achim\Vlad-Achim,ro ROU,MF,ro Steaua,27,1989,3,81,27,15.0,0.9,0,,0,3,,2,1.33,3,1,+2,+2.22,+3.01,Matches
8,Denis Adamov\Denis-Adamov,ru RUS,GK,ru Krasnodar,18,1998,0,,,,,0,,0,0,,3,,,,,,,Matches
9,Claud Adjapong\Claud-Adjapong,it ITA,MFDF,it Sassuolo,18,1998,3,183,61,33.9,2.0,2,,2,1,,1,0.67,2,4,-2,-0.98,-0.98,Matches
10,Adriano\Adriano,br BRA,DFMF,tr Beşiktaş,31,1984,4,347,87,60.9,3.9,4,,3,0,,0,1.75,8,5,+3,+0.78,-0.43,Matches
11,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,es Athletic Club,35,1981,6,482,80,66.9,5.4,5,,4,1,,0,2.00,12,12,0,0.00,+0.76,Matches
12,Michel Aebischer\Michel-Aebischer,ch SUI,MF,ch Young Boys,19,1997,2,61,31,11.3,0.7,1,,0,1,,2,2.00,0,0,0,0.00,-0.56,Matches
13,Adnan Aganović\Adnan-Aganovic,hr CRO,MF,ro Steaua,28,1987,2,117,59,21.7,1.3,1,,1,1,,3,0.50,0,2,-2,-1.54,-1.54,Matches
