,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Hatem Abd Elhamed\Hatem-Abd-Elhamed,il ISR,DF,sco Celtic,28,1991,4,344,86,47.8,3.8,4,86,2,0,,0,2.50,5,3,+2,+0.52,+0.52,3.8,3.3,+0.6,+0.15,+0.31,Matches
2,Araz Abdullayev\Araz-Abdullayev,az AZE,MFFW,az Qarabağ Ağdam,27,1992,4,146,37,27.0,1.6,1,90,1,3,19,1,1.20,1,6,-5,-3.08,-3.54,1.3,3.1,-1.7,-1.08,-1.94,Matches
3,Anicet Abel\Anicet-Abel,mg MAD,MF,bg Ludogorets,29,1990,7,568,81,78.9,6.3,6,86,5,1,52,0,1.42,10,9,+1,+0.16,+2.53,6.5,10.0,-3.4,-0.54,+0.64,Matches
4,Myenty Abena\Myenty-Abena,sr SUR,DF,sk Slovan Bratislava,24,1994,6,540,90,100.0,6.0,6,90,6,0,,0,1.58,10,13,-3,-0.50,,6.0,11.0,-5.0,-0.84,,Matches
5,Charles Abi\Charles-Abi,fr FRA,FW,fr Saint-Étienne,19,2000,2,33,17,6.1,0.4,0,,0,2,17,0,1.00,0,0,0,0.00,+0.36,0.7,0.1,+0.5,+1.41,+1.47,Matches
6,Pape Abou Cisse\Pape-Abou-Cisse,sn SEN,DF,gr Olympiacos,23,1995,3,267,89,68.5,3.0,2,105,2,1,57,1,1.33,3,3,0,0.00,+0.73,2.8,4.8,-2.0,-0.68,+0.13,Matches
7,Vincent Aboubakar\Vincent-Aboubakar,cm CMR,FW,pt Porto,27,1992,1,90,90,12.5,1.0,1,90,1,0,,2,3.00,2,1,+1,+1.00,+1.71,2.1,0.6,+1.5,+1.49,+1.39,Matches
8,Zakaria Aboukhlal\Zakaria-Aboukhlal,ma MAR,FW,nl AZ Alkmaar,19,2000,1,14,14,1.9,0.2,0,,0,1,14,6,3.00,0,0,0,0.00,-0.64,1.1,0.0,+1.1,+7.11,+6.58,Matches
9,David Abraham\David-Abraham,ar ARG,DF,de Eint Frankfurt,33,1986,9,810,90,90.0,9.0,9,90,9,0,,0,1.33,13,17,-4,-0.44,-1.44,12.7,14.4,-1.7,-0.19,-0.87,Matches
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,it Lazio,31,1988,6,540,90,100.0,6.0,6,90,6,0,,0,1.00,6,9,-3,-0.50,,6.3,7.4,-1.1,-0.18,,Matches
