,,,,,,,,,Goals,,,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,34-092,1987,3.0,9,0,0,2,0,7.9,0.42,-1.1,-0.36,12,32,37.5,77,20,31.2,34.9,22,36.4,32.6,29,2,6.9,1,0.33,13.2,Matches
2,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,eng Premier League,26-046,1995,0.2,0,0,0,0,0,0.1,0.04,+0.1,+0.50,0,3,0.0,10,2,30.0,31.8,1,0.0,30.0,4,0,0.0,0,0.00,17.5,Matches
3,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,28-185,1992,25.0,26,4,1,3,0,29.8,0.33,+3.8,+0.15,90,197,45.7,734,118,21.5,30.4,119,32.8,35.6,145,13,9.0,35,1.40,19.2,Matches
4,Saturnin Allagbé\Saturnin-Allagbe,bj BEN,GK,Dijon,fr Ligue 1,27-134,1993,5.0,10,0,1,0,0,6.1,0.30,-1.9,-0.48,20,53,37.7,103,20,40.8,35.1,27,40.7,34.9,35,0,0.0,5,1.25,16.4,Matches
5,Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Udinese,it Serie A,32-358,1988,2.0,5,0,0,0,0,4.0,0.58,-1.0,-0.48,6,13,46.2,31,5,25.8,32.1,9,55.6,47.4,16,0,0.0,0,0.00,15.2,Matches
6,Ángel\Angel,es ESP,GK,Granada,es La Liga,18-287,2002,1.0,2,1,0,1,0,2.7,0.22,+0.7,+0.69,10,24,41.7,13,0,76.9,50.1,17,82.4,55.0,10,0,0.0,1,1.00,14.3,Matches
7,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,eng Premier League,28-037,1993,30.0,38,6,0,2,1,40.9,0.29,+6.9,+0.24,139,355,39.2,583,122,40.8,35.0,195,60.0,44.5,285,31,10.9,16,0.55,13.7,Matches
8,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26-184,1994,4.0,6,0,0,0,0,5.3,0.29,-0.7,-0.17,29,57,50.9,105,20,38.1,33.7,33,51.5,40.4,33,4,12.1,0,0.00,14.4,Matches
9,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,31-281,1989,29.0,32,5,0,3,2,26.8,0.25,-2.2,-0.08,164,368,44.6,814,159,32.2,34.5,215,49.3,43.3,351,39,11.1,15,0.52,13.4,Matches
10,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,24-077,1997,29.0,43,6,0,6,1,38.5,0.26,-3.5,-0.12,203,487,41.7,756,144,46.4,39.2,209,65.1,47.3,301,26,8.6,13,0.45,12.7,Matches
11,Édgar Badía\Edgar-Badia,es ESP,GK,Elche,es La Liga,29-052,1992,29.0,43,4,0,4,0,42.1,0.30,+0.1,0.00,255,499,51.1,816,133,40.3,36.1,269,63.2,43.2,288,22,7.6,18,0.64,13.1,Matches
12,Stefan Bajic\Stefan-Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19-103,2001,1.0,4,0,0,0,0,1.8,0.44,-2.2,-2.23,3,17,17.6,29,9,37.9,34.8,7,85.7,50.9,12,2,16.7,0,0.00,13.6,Matches
13,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,de Bundesliga,30-307,1990,26.0,46,5,0,3,2,43.4,0.34,-0.6,-0.02,166,401,41.4,912,146,35.7,33.9,176,42.6,36.8,234,9,3.8,32,1.23,15.4,Matches
14,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,fr Ligue 1,28-017,1993,31.0,42,6,0,9,0,38.5,0.24,-2.5,-0.08,99,279,35.5,734,136,27.0,30.1,245,33.1,33.2,291,21,7.2,11,0.37,12.0,Matches
