Player,Nation,Pos,Squad,Comp,Born,goals_allowed,penalties_alllowed,free_kicks_allowed,corners_allowed,own_goals,PSxG,PSxG_per_SoT,PSxG_difference,long_passes_cmp,long_passes_attempted,long_pass_completion,passes_attempted,throws_attempted,launch_percentage,avg_pass_length,goal_kicks_attempted,goal_kicks_long_percentage,goal_kick_len,crosses_attempted,crosses_stopped,stop_percentage,defensive_actions,AvgDist,Season
Antonio Adán,es ESP,GK,Betis,es La Liga,1987,53,3,0.0,6.0,4.0,38.5,0.28,-10.5,177.0,459.0,38.6,905.0,95.0,41.1,36.3,130.0,66.9,48.8,289.0,30.0,10.4,18.0,14.7,2018
René Adler,de GER,GK,Mainz 05,de Bundesliga,1985,18,1,0.0,5.0,0.0,18.6,0.36,0.6,84.0,218.0,38.5,296.0,40.0,48.0,40.7,90.0,84.4,61.3,130.0,9.0,6.9,12.0,15.9,2018
Adrián,es ESP,GK,West Ham,eng Premier League,1987,29,1,1.0,8.0,1.0,26.5,0.28,-1.5,118.0,355.0,33.2,309.0,31.0,77.0,52.8,121.0,96.7,65.0,224.0,14.0,6.3,17.0,14.7,2018
Alisson,br BRA,GK,Roma,it Serie A,1992,28,3,0.0,2.0,0.0,38.8,0.26,10.8,245.0,443.0,55.3,994.0,198.0,35.7,35.2,181.0,48.6,45.3,306.0,25.0,8.2,49.0,17.5,2018
Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,1986,29,1,0.0,4.0,1.0,26.5,0.34,-1.5,96.0,255.0,37.6,435.0,32.0,43.2,37.6,83.0,80.7,58.0,143.0,15.0,10.5,12.0,14.5,2018
Jon Ander Serantes,es ESP,GK,Leganés,es La Liga,1989,2,0,0.0,0.0,0.0,2.5,0.28,0.5,5.0,24.0,20.8,21.0,1.0,85.7,61.5,6.0,100.0,77.5,9.0,2.0,22.2,0.0,15.5,2018
Nícolas Andrade,br BRA,GK,Hellas Verona,it Serie A,1988,71,6,4.0,9.0,2.0,75.3,0.3,6.3,371.0,904.0,41.0,995.0,222.0,59.2,44.5,362.0,87.0,59.9,466.0,48.0,10.3,22.0,13.9,2018
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,1984,8,2,0.0,2.0,0.0,9.8,0.25,1.8,69.0,131.0,52.7,241.0,10.0,46.5,38.9,31.0,61.3,44.8,88.0,12.0,13.6,7.0,16.4,2018
Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,1993,25,1,2.0,6.0,0.0,26.2,0.23,1.2,48.0,95.0,50.5,504.0,90.0,13.9,24.3,80.0,31.3,34.4,299.0,24.0,8.0,31.0,16.8,2018
Kepa Arrizabalaga,es ESP,GK,Athletic Club,es La Liga,1994,43,1,3.0,5.0,3.0,42.9,0.3,2.9,280.0,587.0,47.7,728.0,67.0,64.0,46.9,134.0,90.3,64.1,271.0,24.0,8.9,14.0,15.3,2018
Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,1989,30,3,1.0,3.0,0.0,32.5,0.32,2.5,102.0,282.0,36.2,360.0,86.0,52.2,41.5,109.0,86.2,61.3,284.0,24.0,8.5,16.0,14.3,2018
Mariano Barbosa,ar ARG,GK,Villarreal,es La Liga,1984,14,1,0.0,2.0,0.0,13.6,0.27,-0.4,35.0,123.0,28.5,190.0,40.0,34.7,34.7,63.0,90.5,62.4,150.0,15.0,10.0,3.0,13.7,2018
Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,1990,48,3,1.0,9.0,3.0,41.2,0.26,-3.8,219.0,620.0,35.3,1175.0,173.0,40.8,35.9,230.0,61.3,48.7,311.0,20.0,6.4,37.0,15.6,2018
Asmir Begović,ba BIH,GK,Bournemouth,eng Premier League,1987,61,2,2.0,8.0,0.0,54.6,0.32,-6.4,178.0,523.0,34.0,693.0,171.0,50.1,41.9,198.0,88.9,62.8,434.0,34.0,7.8,11.0,13.2,2018
Vid Belec,si SVN,GK,Sampdoria,it Serie A,1990,5,1,0.0,1.0,0.0,5.6,0.31,0.6,9.0,24.0,37.5,70.0,11.0,27.1,26.6,16.0,31.3,36.2,21.0,2.0,9.5,3.0,13.3,2018
Vid Belec,si SVN,GK,Benevento,it Serie A,1990,32,3,1.0,1.0,2.0,24.3,0.31,-0.7,63.0,183.0,34.4,259.0,68.0,48.6,40.4,102.0,55.9,46.5,133.0,10.0,7.5,5.0,12.2,2018
Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,1983,0,0,0.0,0.0,0.0,1.5,0.24,1.5,9.0,22.0,40.9,35.0,9.0,40.0,33.7,12.0,66.7,53.8,25.0,1.0,4.0,2.0,14.7,2018
Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,1993,36,3,1.0,0.0,2.0,35.6,0.28,1.6,64.0,201.0,31.8,394.0,84.0,26.6,30.3,127.0,75.6,54.4,320.0,17.0,5.3,6.0,13.0,2018
Etrit Berisha,al ALB,GK,Atalanta,it Serie A,1989,34,1,2.0,2.0,0.0,27.3,0.26,-6.7,196.0,438.0,44.7,587.0,156.0,42.9,37.8,214.0,86.9,58.9,249.0,14.0,5.6,15.0,14.3,2018
