 ,,,,,,,,,,Goals,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Adrián\Adrian,es ESP,GK,eng Liverpool,34-091,1987,1.0,0,0,0,0,0,1.4,0.46,+1.4,+1.38,11,23,47.8,27,3,63.0,40.5,8,75.0,49.3,15,2,13.3,0,0.00,10.5,Matches
2,Alisson\Alisson,br BRA,GK,eng Liverpool,28-184,1992,5.0,2,0,0,0,0,4.8,0.32,+2.8,+0.56,38,75,50.7,174,19,32.2,35.0,40,47.5,42.7,34,1,2.9,5,1.00,16.8,Matches
3,Mikkel Andersen\Mikkel-Andersen,dk DEN,GK,dk Midtjylland,32-108,1988,2.0,4,1,0,0,0,2.7,0.40,-1.3,-0.64,23,52,44.2,83,13,51.8,37.7,12,75.0,54.1,12,1,8.3,1,0.50,14.3,Matches
4,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,eng Chelsea,26-183,1994,1.0,1,0,0,0,0,0.4,0.22,-0.6,-0.55,0,2,0.0,20,1,10.0,26.2,5,0.0,16.2,5,0,0.0,0,0.00,8.0,Matches
5,Yassine Bounou\Yassine-Bounou,ma MAR,GK,es Sevilla,29-364,1991,5.0,6,2,0,0,0,7.1,0.26,+1.1,+0.21,30,50,60.0,118,18,32.2,32.1,24,50.0,39.5,31,2,6.5,3,0.60,15.6,Matches
6,Denys Boyko\Denys-Boyko,ua UKR,GK,ua Dynamo Kyiv,33-065,1988,1.0,2,0,0,0,0,1.3,0.32,-0.7,-0.72,4,8,50.0,35,8,14.3,25.6,5,60.0,47.6,6,0,0.0,1,1.00,12.2,Matches
7,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,it Juventus,43-066,1978,1.0,0,0,0,0,0,1.4,0.20,+1.4,+1.40,7,11,63.6,15,5,46.7,34.7,13,30.8,30.2,4,0,0.0,0,0.00,8.0,Matches
8,Roman Bürki\Roman-Burki,ch SUI,GK,de Dortmund,30-141,1990,4.0,1,1,0,0,0,4.5,0.40,+3.5,+0.88,16,43,37.2,111,18,32.4,33.6,24,29.2,35.8,25,4,16.0,0,0.00,13.3,Matches
9,Heorhiy Bushchan\Heorhiy-Bushchan,ua UKR,GK,ua Dynamo Kyiv,26-308,1994,4.0,9,1,0,1,0,9.1,0.41,+0.1,+0.03,23,51,45.1,84,11,40.5,35.8,32,53.1,45.2,37,3,8.1,0,0.00,12.4,Matches
10,Diogo Costa\Diogo-Costa,pt POR,GK,pt Porto,21-197,1999,1.0,0,0,0,0,0,0.0,0.01,0.0,+0.01,4,28,14.3,37,4,56.8,46.6,8,87.5,61.8,8,0,0.0,1,1.00,14.3,Matches
11,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,es Real Madrid,28-328,1992,8.0,10,0,1,0,1,9.7,0.41,+0.7,+0.09,23,66,34.8,222,34,23.9,32.1,48,27.1,30.6,46,2,4.3,8,1.00,15.0,Matches
12,Dénes Dibusz\Denes-Dibusz,hu HUN,GK,hu Ferencváros,30-139,1990,6.0,17,3,0,0,1,13.4,0.32,-2.6,-0.44,40,87,46.0,196,29,36.7,33.8,42,35.7,33.1,44,1,2.3,2,0.33,11.4,Matches
13,Ederson\Ederson,br BRA,GK,eng Manchester City,27-230,1993,7.0,1,0,0,0,0,1.9,0.19,+0.9,+0.13,28,57,49.1,183,20,24.6,31.2,24,50.0,43.8,25,0,0.0,6,0.86,17.8,Matches
14,David de Gea\David-de-Gea,es ESP,GK,eng Manchester Utd,30-148,1990,5.0,8,0,1,1,1,6.5,0.32,-0.5,-0.10,28,56,50.0,90,18,44.4,37.7,38,42.1,35.5,39,1,2.6,2,0.40,13.1,Matches
15,Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,it Atalanta,26-017,1995,3.0,1,0,0,1,0,1.2,0.21,+0.2,+0.08,40,66,60.6,66,5,71.2,49.8,19,100.0,61.4,29,3,10.3,2,0.67,16.1,Matches
16,Alfred Gomis\Alfred-Gomis,sn SEN,GK,fr Rennes,27-211,1993,4.0,7,2,0,0,0,6.8,0.30,-0.2,-0.05,32,77,41.6,117,20,50.4,39.2,34,52.9,42.9,45,2,4.4,0,0.00,11.2,Matches
17,Yevgeni Gorodov\Yevgeni-Gorodov,ru RUS,GK,ru Krasnodar,35-112,1985,2.0,3,1,0,0,0,3.4,0.20,+0.4,+0.18,21,51,41.2,53,5,71.7,47.0,19,68.4,48.3,17,1,5.9,0,0.00,8.1,Matches
18,Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,de RB Leipzig,30-333,1990,8.0,16,3,1,1,1,14.4,0.33,-0.6,-0.07,40,99,40.4,264,45,33.7,33.3,41,24.4,25.9,52,3,5.8,9,1.13,14.5,Matches
19,Mert Günok\Mert-Gunok,tr TUR,GK,tr Başakşehir,32-034,1989,6.0,18,2,0,2,0,12.6,0.31,-5.4,-0.89,48,110,43.6,142,30,57.7,45.4,43,65.1,48.3,47,1,2.1,11,1.83,14.9,Matches
20,Samir Handanović\Samir-Handanovic,si SVN,GK,it Inter,36-264,1984,6.0,9,2,0,1,1,8.1,0.30,+0.1,+0.01,22,38,57.9,155,22,21.9,28.8,23,17.4,23.3,30,3,10.0,5,0.83,16.5,Matches
21,Jesper Hansen\Jesper-Hansen,dk DEN,GK,dk Midtjylland,36-004,1985,4.0,9,0,0,0,0,9.3,0.31,+0.3,+0.07,44,119,37.0,160,10,55.0,41.5,37,83.8,57.1,33,5,15.2,4,1.00,16.1,Matches
22,Dean Henderson\Dean-Henderson,eng ENG,GK,eng Manchester Utd,24-023,1997,1.0,2,0,0,0,0,0.9,0.29,-1.1,-1.12,1,3,33.3,13,5,23.1,35.5,6,0.0,18.3,5,0,0.0,0,0.00,12.5,Matches
23,Marwin Hitz\Marwin-Hitz,ch SUI,GK,de Dortmund,33-198,1987,4.0,8,1,0,1,1,5.8,0.24,-1.2,-0.30,15,54,27.8,75,9,53.3,44.0,25,56.0,46.8,57,5,8.8,1,0.25,13.9,Matches
24,Ethan Horvath\Ethan-Horvath,us USA,GK,be Club Brugge,25-299,1995,1.0,1,0,0,0,1,0.5,0.15,+0.5,+0.46,10,26,38.5,24,1,75.0,54.3,11,72.7,57.5,11,4,36.4,0,0.00,12.5,Matches
25,Caoimhín Kelleher\Caoimhin-Kelleher,ie IRL,GK,eng Liverpool,22-132,1998,2.0,1,1,0,0,0,2.0,0.13,+1.0,+0.50,20,44,45.5,72,17,52.8,39.7,22,27.3,30.5,28,0,0.0,2,1.00,13.6,Matches
