 ,,,,,,,,,,Goals,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Stephan Andersen\Stephan-Andersen,dk DEN,GK,dk FC Copenhagen,36,1981,5.0,4,0,0,1,0,3.0,0.19,-1.0,-0.20,41,139,29.5,171,16,63.2,51.4,36,86.1,68.4,33,3,9.1,4,0.80,15.7,Matches
2,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,eng Chelsea,23,1994,13.3,8,0,0,1,0,8.6,0.30,-2.4,-0.18,81,137,59.1,358,47,26.8,30.8,81,50.6,45.4,98,10,10.2,3,0.23,14.3,Matches
3,Scott Bain\Scott-Bain,sco SCO,GK,sco Celtic,26,1991,2.0,3,0,0,1,0,4.8,0.44,+1.8,+0.90,7,19,36.8,55,6,23.6,29.8,14,42.9,38.5,17,0,0.0,2,1.00,23.2,Matches
4,Frank Boeckx\Frank-Boeckx,be BEL,GK,be Anderlecht,31,1986,1.0,0,0,0,0,0,0.4,0.19,+0.4,+0.38,7,10,70.0,21,5,23.8,32.0,8,62.5,48.6,10,0,0.0,0,0.00,13.7,Matches
5,Landry Bonnefoi\Landry-Bonnefoi,fr FRA,GK,lu F91 Dudelange,34,1983,4.0,12,0,0,2,3,9.3,0.28,+0.3,+0.09,28,70,40.0,91,25,50.5,41.7,36,66.7,49.5,46,2,4.3,0,0.00,11.1,Matches
6,Denys Boyko\Denys-Boyko,ua UKR,GK,ua Dynamo Kyiv,30,1988,9.0,16,0,2,5,0,14.4,0.30,-1.6,-0.18,57,171,33.3,211,44,48.8,41.1,91,74.7,58.4,95,9,9.5,4,0.44,14.1,Matches
7,Yanick Brecher\Yanick-Brecher,ch SUI,GK,ch Zürich,25,1993,7.0,10,0,0,3,0,7.5,0.22,-2.5,-0.35,57,151,37.7,216,46,50.0,41.7,68,63.2,53.9,80,9,11.3,5,0.71,15.4,Matches
8,Jorge Broun\Jorge-Broun,ar ARG,GK,bg Ludogorets,32,1986,1.0,1,0,0,0,0,0.8,0.82,-0.2,-0.18,14,21,66.7,21,9,61.9,41.5,8,100.0,54.0,9,0,0.0,1,1.00,16.4,Matches
9,Heorhiy Bushchan\Heorhiy-Bushchan,ua UKR,GK,ua Dynamo Kyiv,24,1994,1.0,1,0,0,1,0,1.0,0.20,0.0,0.00,8,15,53.3,32,3,37.5,36.0,5,60.0,51.2,3,1,33.3,0,0.00,16.4,Matches
10,Willy Caballero\Willy-Caballero,ar ARG,GK,eng Chelsea,36,1981,2.0,2,0,0,0,1,1.4,0.46,+0.4,+0.18,11,19,57.9,37,5,32.4,32.7,9,77.8,52.2,10,0,0.0,2,1.00,15.9,Matches
11,Petr Čech\Petr-Cech,cz CZE,GK,eng Arsenal,36,1982,11.0,11,1,0,1,1,11.0,0.31,+1.0,+0.09,67,211,31.8,240,38,59.2,47.6,87,79.3,63.0,84,5,6.0,4,0.36,14.6,Matches
