,,,,,,,,,,Goals,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Igor Akinfeev\Igor-Akinfeev,ru RUS,GK,ru CSKA Moscow,33,1986,5.0,9,1,0,0,0,8.9,0.37,-0.1,-0.01,35,81,43.2,109,16,53.2,47.2,29,79.3,61.9,35,0,0.0,2,0.40,17.7,Matches
2,Bobby Allain\Bobby-Allain,fr FRA,GK,gr Olympiacos,27,1991,1.0,1,1,0,0,0,1.8,0.31,+0.8,+0.81,6,13,46.2,25,7,28.0,33.8,7,85.7,55.4,2,0,0.0,0,0.00,17.6,Matches
3,Giedrius Arlauskis\Giedrius-Arlauskis,lt LTU,GK,ro CFR Cluj,31,1987,8.0,5,0,0,2,0,7.8,0.24,+2.8,+0.35,79,209,37.8,164,25,79.3,55.8,92,85.9,59.0,86,5,5.8,6,0.75,14.6,Matches
4,David von Ballmoos\David-von-Ballmoos,ch SUI,GK,ch Young Boys,24,1994,6.0,7,1,0,1,0,6.6,0.20,-0.4,-0.07,33,97,34.0,159,35,42.8,37.7,40,72.5,56.3,44,4,9.1,2,0.33,14.3,Matches
5,Noam Baumann\Noam-Baumann,ch SUI,GK,ch Lugano,23,1996,5.0,4,1,0,0,0,4.1,0.35,+0.1,+0.02,16,53,30.2,98,19,23.5,30.9,44,68.2,49.0,42,0,0.0,2,0.40,12.6,Matches
6,Asmir Begović\Asmir-Begovic,ba BIH,GK,az Qarabağ Ağdam,32,1987,5.0,10,0,1,2,1,6.0,0.30,-3.0,-0.60,35,91,38.5,84,12,65.5,46.9,46,78.3,59.9,38,1,2.6,2,0.40,14.8,Matches
7,Vid Belec\Vid-Belec,si SVN,GK,cy APOEL,29,1990,7.0,11,0,0,2,0,11.4,0.33,+0.4,+0.06,46,131,35.1,114,12,65.8,50.4,66,84.8,60.3,54,0,0.0,2,0.29,13.2,Matches
8,Marco Bizot\Marco-Bizot,nl NED,GK,nl AZ Alkmaar,28,1991,8.0,11,3,0,0,0,8.4,0.22,-2.6,-0.33,32,107,29.9,208,39,38.5,36.5,71,38.0,35.1,50,7,14.0,6,0.75,15.3,Matches
9,Arnaud Bodart\Arnaud-Bodart,be BEL,GK,be Standard Liège,21,1998,3.0,4,0,1,0,0,5.6,0.30,+1.6,+0.55,25,57,43.9,67,12,58.2,44.9,29,62.1,51.9,29,0,0.0,5,1.67,17.3,Matches
10,Pépé Bonet\Pepe-Bonet,fr FRA,GK,fr Rennes,16,2003,0.9,1,0,1,0,0,0.8,0.26,-0.2,-0.23,7,13,53.8,11,1,36.4,36.3,11,81.8,52.8,11,1,9.1,0,0.00,14.0,Matches
11,Yassine Bounou\Yassine-Bounou,ma MAR,GK,es Sevilla,28,1991,10.0,6,2,0,1,0,9.4,0.27,+3.4,+0.34,37,81,45.7,165,45,35.2,34.2,59,39.0,37.7,39,3,7.7,5,0.50,13.9,Matches
12,Denys Boyko\Denys-Boyko,ua UKR,GK,ua Dynamo Kyiv,31,1988,1.0,0,0,0,0,0,0.1,0.07,+0.1,+0.15,10,19,52.6,24,6,62.5,45.7,5,80.0,62.6,4,0,0.0,0,0.00,14.0,Matches
13,Heorhiy Bushchan\Heorhiy-Bushchan,ua UKR,GK,ua Dynamo Kyiv,25,1994,5.0,7,0,0,1,0,6.1,0.38,-0.9,-0.19,34,73,46.6,106,20,47.2,42.1,33,69.7,49.4,44,3,6.8,2,0.40,16.4,Matches
14,Uğurcan Çakır\Ugurcan-Cakir,tr TUR,GK,tr Trabzonspor,23,1996,3.0,5,0,0,1,0,4.5,0.50,-0.5,-0.18,23,53,43.4,66,13,47.0,45.2,31,71.0,60.1,21,2,9.5,3,1.00,15.8,Matches
15,Eduardo Carvalho\Eduardo-Carvalho,pt POR,GK,pt Braga,36,1982,3.0,6,0,0,0,1,3.2,0.27,-1.8,-0.59,17,30,56.7,63,12,41.3,35.5,15,26.7,25.9,26,2,7.7,0,0.00,13.8,Matches
16,Koen Casteels\Koen-Casteels,be BEL,GK,de Wolfsburg,27,1992,5.0,6,1,0,1,0,7.3,0.32,+1.3,+0.26,40,75,53.3,167,19,34.1,35.4,31,58.1,48.1,33,1,3.0,1,0.20,13.2,Matches
17,Leandro Chichizola\Leandro-Chichizola,ar ARG,GK,es Getafe,29,1990,5.0,4,0,0,0,0,3.7,0.34,-0.3,-0.05,45,116,38.8,127,13,68.5,53.8,32,90.6,75.4,21,3,14.3,8,1.60,16.5,Matches
18,David Da Costa\David-Da-Costa,ch SUI,GK,ch Lugano,33,1986,1.0,1,0,0,0,0,1.1,0.22,+0.1,+0.12,4,26,15.4,11,1,63.6,44.5,21,90.5,62.6,22,1,4.5,0,0.00,6.5,Matches
19,Johan Dahlin\Johan-Dahlin,se SWE,GK,se Malmö,32,1986,8.0,11,0,0,1,2,9.0,0.29,0.0,0.00,57,166,34.3,195,37,63.1,47.5,63,68.3,54.4,66,1,1.5,1,0.13,12.7,Matches
20,Dénes Dibusz\Denes-Dibusz,hu HUN,GK,hu Ferencváros,28,1990,6.0,7,0,1,2,0,9.0,0.35,+2.0,+0.34,38,93,40.9,149,21,36.2,35.0,60,65.0,48.9,71,2,2.8,1,0.17,13.3,Matches
21,Renan dos Santos\Renan-dos-Santos,br BRA,GK,bg Ludogorets,30,1989,1.0,1,0,0,0,0,1.7,0.34,+0.7,+0.72,5,9,55.6,27,9,18.5,30.1,13,30.8,39.0,8,0,0.0,0,0.00,13.4,Matches
22,Douglas\Douglas,br BRA,GK,pt Vitória,36,1983,2.0,2,1,0,0,0,2.8,0.40,+0.8,+0.42,17,40,42.5,56,10,42.9,38.8,24,66.7,49.7,10,1,10.0,1,0.50,16.3,Matches
23,Nenad Erić\Nenad-Eric,kz KAZ,GK,kz Astana FK,37,1982,5.3,13,0,0,1,0,10.7,0.28,-2.3,-0.43,34,82,41.5,102,22,47.1,39.1,57,59.6,47.4,29,2,6.9,2,0.38,14.1,Matches
24,Fraser Forster\Fraser-Forster,eng ENG,GK,sco Celtic,31,1988,7.0,8,1,0,1,0,8.5,0.26,+0.5,+0.07,41,136,30.1,147,27,59.2,45.6,53,92.5,69.4,53,4,7.5,6,0.86,15.6,Matches
25,David de Gea\David-de-Gea,es ESP,GK,eng Manchester Utd,28,1990,2.0,2,0,0,0,0,1.5,0.21,-0.5,-0.25,5,22,22.7,32,6,37.5,36.5,22,45.5,37.9,18,1,5.6,1,0.50,17.2,Matches
26,Craig Gordon\Craig-Gordon,sco SCO,GK,sco Celtic,36,1982,1.0,2,0,0,1,0,2.2,0.32,+0.2,+0.22,8,12,66.7,16,6,25.0,27.6,13,61.5,45.8,10,0,0.0,1,1.00,16.8,Matches
27,Lee Grant\Lee-Grant,eng ENG,GK,eng Manchester Utd,36,1983,1.0,2,0,0,0,1,0.5,0.13,-0.5,-0.47,4,11,36.4,14,7,35.7,28.1,12,50.0,39.7,9,0,0.0,0,0.00,15.0,Matches
28,Dominik Greif\Dominik-Greif,sk SVK,GK,sk Slovan Bratislava,22,1997,6.0,13,3,0,1,2,12.4,0.30,+1.4,+0.23,33,122,27.0,115,28,60.0,46.6,69,76.8,56.4,76,2,2.6,4,0.67,13.7,Matches
29,Mert Günok\Mert-Gunok,tr TUR,GK,tr Başakşehir,30,1989,10.3,16,2,0,1,1,17.9,0.33,+2.9,+0.28,93,214,43.5,282,45,58.9,46.1,87,55.2,48.8,79,6,7.6,4,0.39,11.6,Matches
30,Samir Handanović\Samir-Handanovic,si SVN,GK,it Inter,35,1984,4.0,4,0,0,1,1,1.8,0.18,-1.2,-0.29,20,37,54.1,136,8,22.8,28.1,15,40.0,35.4,39,2,5.1,0,0.00,8.8,Matches
31,André Hansen\Andre-Hansen,no NOR,GK,no Rosenborg,29,1989,5.0,10,0,0,3,1,5.7,0.23,-3.3,-0.65,57,125,45.6,153,21,54.9,43.9,53,77.4,56.2,31,0,0.0,5,1.00,15.5,Matches
32,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,de Leverkusen,29,1989,5.0,5,0,0,1,0,4.0,0.24,-1.0,-0.20,47,94,50.0,210,28,41.0,35.6,21,38.1,34.5,35,2,5.7,3,0.60,14.9,Matches
33,Plamen Iliev\Plamen-Iliev,bg BUL,GK,bg Ludogorets,27,1991,7.0,13,2,0,2,0,12.6,0.27,-0.4,-0.06,56,165,33.9,180,34,60.0,46.7,69,82.6,59.6,68,3,4.4,2,0.29,10.7,Matches
34,Karl-Johan Johnsson\Karl-Johan-Johnsson,se SWE,GK,dk FC Copenhagen,29,1990,11.3,8,3,0,0,1,13.1,0.25,+6.1,+0.54,93,294,31.6,318,38,65.4,48.8,102,84.3,63.4,107,8,7.5,8,0.71,13.7,Matches
35,Jonathan Joubert\Jonathan-Joubert,lu LUX,GK,lu F91 Dudelange,39,1979,6.0,18,3,1,0,0,16.8,0.33,-1.2,-0.20,36,108,33.3,116,17,56.0,41.1,53,81.1,54.1,45,1,2.2,2,0.33,11.1,Matches
36,Thomas Kaminski\Thomas-Kaminski,be BEL,GK,be Gent,26,1992,8.0,9,0,0,1,1,7.0,0.29,-1.0,-0.13,73,165,44.2,187,33,60.4,43.9,67,77.6,56.7,93,6,6.5,4,0.50,14.2,Matches
37,Erce Kardeşler\Erce-Kardesler,tr TUR,GK,tr Trabzonspor,25,1994,3.0,6,0,0,2,1,5.1,0.38,+0.1,+0.04,13,45,28.9,87,17,37.9,34.7,24,50.0,44.4,19,3,15.8,0,0.00,14.4,Matches
38,Loris Karius\Loris-Karius,de GER,GK,tr Beşiktaş,26,1993,5.0,11,0,0,2,0,9.6,0.39,-1.4,-0.28,25,80,31.3,131,26,42.7,37.3,44,54.5,47.6,54,5,9.3,5,1.00,16.5,Matches
39,Filip Kljajić\Filip-Kljajic,rs SRB,GK,rs Partizan,28,1990,0.2,1,0,0,0,0,1.1,0.53,+0.1,+0.27,2,3,66.7,6,1,33.3,32.0,1,100.0,71.0,2,0,0.0,0,0.00,,Matches
40,Alexander Kofler\Alexander-Kofler,at AUT,GK,at Wolfsberger AC,32,1986,6.0,8,2,0,1,0,10.1,0.27,+2.1,+0.35,39,138,28.3,174,27,62.6,47.8,49,59.2,47.4,56,2,3.6,3,0.50,14.4,Matches
41,Stanislav Kritsyuk\Stanislav-Kritsyuk,ru RUS,GK,ru Krasnodar,28,1990,3.0,4,0,0,1,0,2.3,0.20,-1.7,-0.58,18,50,36.0,80,21,43.8,37.7,29,51.7,46.8,33,3,9.1,0,0.00,13.4,Matches
42,Bernd Leno\Bernd-Leno,de GER,GK,eng Arsenal,27,1992,2.3,2,0,0,2,0,2.7,0.38,+0.7,+0.29,7,14,50.0,46,11,19.6,27.5,17,29.4,32.4,20,1,5.0,1,0.43,15.0,Matches
43,Diego López\Diego-Lopez,es ESP,GK,es Espanyol,37,1981,5.0,3,1,0,0,1,3.5,0.18,+1.5,+0.31,28,80,35.0,100,10,53.0,44.1,30,90.0,60.2,32,0,0.0,2,0.40,12.5,Matches
44,Pau López\Pau-Lopez,es ESP,GK,it Roma,24,1994,7.3,7,1,0,0,1,5.7,0.19,-0.3,-0.04,64,118,54.2,236,37,38.1,34.4,72,38.9,34.4,70,3,4.3,9,1.23,15.4,Matches
45,Agustín Marchesín\Agustin-Marchesin,ar ARG,GK,pt Porto,31,1988,8.0,14,2,0,1,0,11.8,0.34,-2.2,-0.27,96,169,56.8,237,34,53.6,41.0,59,71.2,51.6,67,8,11.9,6,0.75,16.7,Matches
46,Nick Marsman\Nick-Marsman,nl NED,GK,nl Feyenoord,28,1990,2.0,5,0,0,0,1,3.5,0.44,-0.5,-0.27,2,16,12.5,41,11,24.4,30.7,14,42.9,44.0,22,0,0.0,0,0.00,11.5,Matches
47,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,eng Arsenal,26,1992,6.0,7,0,0,1,0,6.8,0.26,-0.2,-0.03,26,70,37.1,115,30,39.1,38.8,61,41.0,39.2,50,5,10.0,1,0.17,12.5,Matches
48,Matheus\Matheus,br BRA,GK,pt Braga,27,1992,4.0,5,0,1,1,0,5.9,0.28,+0.9,+0.22,17,49,34.7,129,25,27.9,34.3,30,43.3,41.8,37,5,13.5,4,1.00,14.3,Matches
49,Luís Maximiano\Luis-Maximiano,pt POR,GK,pt Sporting CP,20,1999,3.9,7,3,1,2,0,5.8,0.19,-1.2,-0.32,33,83,39.8,91,15,62.6,43.8,35,74.3,50.2,43,3,7.0,1,0.25,13.0,Matches
50,Allan McGregor\Allan-McGregor,sco SCO,GK,sco Rangers,37,1982,10.0,12,1,0,1,1,10.0,0.27,-1.0,-0.10,76,203,37.4,227,35,62.6,45.6,99,61.6,47.7,103,5,4.9,4,0.40,13.6,Matches
51,Edouard Mendy\Edouard-Mendy,sn SEN,GKMF,fr Rennes,27,1992,3.0,6,1,0,0,0,3.6,0.24,-2.4,-0.78,18,31,58.1,73,10,38.4,36.4,17,17.6,27.5,18,2,11.1,3,0.99,17.2,Matches
52,Simon Mignolet\Simon-Mignolet,be BEL,GK,be Club Brugge,31,1988,2.0,6,1,0,0,0,5.0,0.29,-1.0,-0.49,18,39,46.2,72,7,43.1,36.7,16,50.0,41.9,14,1,7.1,1,0.50,12.5,Matches
53,Vanja Milinković-Savić\Vanja-Milinkovic-Savic,rs SRB,GK,be Standard Liège,22,1997,3.0,6,0,0,2,0,4.8,0.29,-1.2,-0.39,22,73,30.1,77,10,55.8,48.3,43,69.8,59.2,45,2,4.4,1,0.33,13.3,Matches
54,Antonio Mirante\Antonio-Mirante,it ITA,GK,it Roma,36,1983,1.7,2,0,0,0,1,2.0,0.28,+1.0,+0.58,15,27,55.6,71,12,32.4,31.9,11,36.4,37.3,16,4,25.0,0,0.00,10.6,Matches
55,Aleksandr Mokin\Aleksandr-Mokin,kz KAZ,GK,kz Astana FK,38,1981,0.7,6,2,0,0,0,4.9,0.43,-1.1,-1.51,1,8,12.5,8,3,37.5,43.8,19,26.3,32.9,8,0,0.0,0,0.00,11.3,Matches
56,Jessy Moulin\Jessy-Moulin,fr FRA,GK,fr Saint-Étienne,33,1986,2.0,2,0,0,0,0,2.1,0.23,+0.1,+0.03,17,37,45.9,71,14,38.0,37.1,15,66.7,48.7,8,0,0.0,1,0.50,14.2,Matches
57,Đorđe Nikolić\Djordje-Nikolic,rs SRB,GK,ch Basel,22,1997,4.0,4,1,0,1,0,4.5,0.27,+0.5,+0.13,27,70,38.6,90,18,44.4,39.4,42,71.4,57.4,45,3,6.7,0,0.00,13.1,Matches
58,Jonas Omlin\Jonas-Omlin,ch SUI,GK,ch Basel,25,1994,7.0,4,2,1,0,0,6.6,0.25,+2.6,+0.37,41,104,39.4,194,28,33.0,36.4,80,50.0,45.2,61,4,6.6,4,0.57,14.0,Matches
59,André Onana\Andre-Onana,cm CMR,GK,nl Ajax,23,1996,1.0,1,0,0,0,0,0.9,0.89,-0.1,-0.11,5,12,41.7,46,4,23.9,30.4,7,14.3,23.6,9,0,0.0,4,4.00,20.5,Matches
60,Daniele Padelli\Daniele-Padelli,it ITA,GK,it Inter,33,1985,2.0,1,0,0,0,0,1.3,0.32,+0.3,+0.14,1,10,10.0,34,8,17.6,27.2,11,36.4,31.8,19,0,0.0,0,0.00,11.1,Matches
61,Yuriy Pankiv\Yuriy-Pankiv,ua UKR,GK,ua FC Oleksandriya,34,1984,6.0,10,2,0,0,0,8.2,0.27,-1.8,-0.30,49,105,46.7,137,21,49.6,42.8,53,69.8,55.7,57,4,7.0,3,0.50,13.5,Matches
62,Rui Patrício\Rui-Patricio,pt POR,GK,eng Wolves,31,1988,10.0,10,1,0,2,0,10.2,0.29,+0.2,+0.02,60,135,44.4,150,34,48.7,41.2,78,79.5,55.3,95,5,5.3,0,0.00,9.9,Matches
63,Pavao Pervan\Pavao-Pervan,at AUT,GK,de Wolfsburg,31,1987,5.0,7,0,0,2,0,3.5,0.25,-3.5,-0.71,30,79,38.0,131,20,45.8,37.3,34,55.9,46.3,37,2,5.4,2,0.40,14.4,Matches
64,Ilya Pomazun\Ilya-Pomazun,ru RUS,GK,ru CSKA Moscow,22,1996,1.0,0,0,0,0,0,1.5,0.38,+1.5,+1.52,7,28,25.0,25,3,76.0,57.5,9,100.0,66.6,8,1,12.5,1,1.00,15.4,Matches
65,Andrés Prieto\Andres-Prieto,es ESP,GK,es Espanyol,25,1993,3.0,7,0,0,1,0,6.2,0.51,-0.8,-0.28,17,44,38.6,59,8,54.2,43.0,17,70.6,57.8,15,1,6.7,5,1.67,19.9,Matches
66,Silvio Proto\Silvio-Proto,be BEL,GK,it Lazio,36,1983,2.0,2,0,0,1,0,1.7,0.18,-0.3,-0.17,9,21,42.9,57,11,21.1,30.9,25,36.0,34.8,15,1,6.7,0,0.00,12.3,Matches
