Player,Nation,Pos,Born,Rk,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Antonio Adán,es ESP,GK,1987,,,,,,,,,,,,,,,,,,,,,,,
René Adler,de GER,GK,1985,,,,,,,,,,,,,,,,,,,,,,,
Adrián,es ESP,GK,1987,,,,,,,,,,,,,,,,,,,,,,,
Ryan Allsop,eng ENG,GK,1992,,,,,,,,,,,,,,,,,,,,,,,
Sergio Álvarez,es ESP,GK,1986,,,,,,,,,,,,,,,,,,,,,,,
Diego Alves,br BRA,GK,1985,,,,,,,,,,,,,,,,,,,,,,,
Jon Ander Serantes,es ESP,GK,1989,,,,,,,,,,,,,,,,,,,,,,,
Miguel Ángel Moyá,es ESP,GK,1984,,,,,,,,,,,,,,,,,,,,,,,
Markel Areitio,es ESP,GK,1996,,,,,,,,,,,,,,,,,,,,,,,
Alphonse Areola,fr FRA,GK,1993,,,,,,,,,,,,,,,,,,,,,,,
Kepa Arrizabalaga,es ESP,GK,1994,,,,,,,,,,,,,,,,,,,,,,,
Sergio Asenjo,es ESP,GK,1989,,,,,,,,,,,,,,,,,,,,,,,
Emil Audero,it ITA,GK,1997,,,,,,,,,,,,,,,,,,,,,,,
Loic Badiashile,fr FRA,GK,1998,,,,,,,,,,,,,,,,,,,,,,,
Diego Barrios,es ESP,GK,1994,,,,,,,,,,,,,,,,,,,,,,,
Oliver Baumann,de GER,GK,1990,,,,,,,,,,,,,,,,,,,,,,,
Asmir Begović,ba BIH,GK,1987,,,,,,,,,,,,,,,,,,,,,,,
Diego Benaglio,ch SUI,GK,1983,,,,,,,,,,,,,,,,,,,,,,,
Walter Benítez,ar ARG,GK,1993,,,,,,,,,,,,,,,,,,,,,,,
Etrit Berisha,al ALB,GK,1989,,,,,,,,,,,,,,,,,,,,,,,
Albano Bizzarri,ar ARG,GK,1977,,,,,,,,,,,,,,,,,,,,,,,
Rubén Blanco,es ESP,GK,1995,,,,,,,,,,,,,,,,,,,,,,,
Artur Boruc,pl POL,GK,1980,,,,,,,,,,,,,,,,,,,,,,,
Denys Boyko,ua UKR,GK,1988,,,,,,,,,,,,,,,,,,,,,,,
Claudio Bravo,cl CHI,GK,1983,,,,,,,,,,,,,,,,,,,,,,,
Alberto Brignoli,it ITA,GK,1991,,,,,,,,,,,,,,,,,,,,,,,
Gianluigi Buffon,it ITA,GK,1978,,,,,,,,,,,,,,,,,,,,,,,
Roman Bürki,ch SUI,GK,1990,,,,,,,,,,,,,,,,,,,,,,,
Jack Butland,eng ENG,GK,1993,,,,,,,,,,,,,,,,,,,,,,,
Willy Caballero,ar ARG,GK,1981,,,,,,,,,,,,,,,,,,,,,,,
Rafael Cabral,br BRA,GK,1990,,,,,,,,,,,,,,,,,,,,,,,
Yoan Cardinale,fr FRA,GK,1994,,,,,,,,,,,,,,,,,,,,,,,
Cédric Carrasso,fr FRA,GK,1981,,,,,,,,,,,,,,,,,,,,,,,
Kiko Casilla,es ESP,GK,1986,,,,,,,,,,,,,,,,,,,,,,,
Koen Casteels,be BEL,GK,1992,,,,,,,,,,,,,,,,,,,,,,,
Joel Castro Pereira,pt POR,GK,1996,,,,,,,,,,,,,,,,,,,,,,,
Petr Čech,cz CZE,GK,1982,,,,,,,,,,,,,,,,,,,,,,,
Nereo Champagne,ar ARG,GK,1985,,,,,,,,,,,,,,,,,,,,,,,
Paul Charruau,fr FRA,GK,1993,,,,,,,,,,,,,,,,,,,,,,,
Sergei Chernik,by BLR,GK,1988,,,,,,,,,,,,,,,,,,,,,,,
Jasper Cillessen,nl NED,GK,1989,,,,,,,,,,,,,,,,,,,,,,,
Fabio Coltorti,ch SUI,GK,1980,,,,,,,,,,,,,,,,,,,,,,,
Andrea Consigli,it ITA,GK,1987,,,,,,,,,,,,,,,,,,,,,,,
Alex Cordaz,it ITA,GK,1983,,,,,,,,,,,,,,,,,,,,,,,
Angelo da Costa Júnior,br BRA,GK,1983,,,,,,,,,,,,,,,,,,,,,,,
Benoît Costil,fr FRA,GK,1987,,,,,,,,,,,,,,,,,,,,,,,
Thibaut Courtois,be BEL,GK,1992,,,,,,,,,,,,,,,,,,,,,,,
Luca Crosta,it ITA,GK,1998,,,,,,,,,,,,,,,,,,,,,,,
Iván Cuéllar,es ESP,GK,1984,,,,,,,,,,,,,,,,,,,,,,,
Morgan De Sanctis,it ITA,GK,1977,,,,,,,,,,,,,,,,,,,,,,,
Paul Delecroix,fr FRA,GK,1988,,,,,,,,,,,,,,,,,,,,,,,
Thomas Didillon,fr FRA,GK,1995,,,,,,,,,,,,,,,,,,,,,,,
Jaume Doménech,es ESP,GK,1990,,,,,,,,,,,,,,,,,,,,,,,
Gianluigi Donnarumma,it ITA,GK,1999,,,,,,,,,,,,,,,,,,,,,,,
Bartłomiej Drągowski,pl POL,GK,1997,,,,,,,,,,,,,,,,,,,,,,,
Matthieu Dreyer,fr FRA,GK,1989,,,,,,,,,,,,,,,,,,,,,,,
Jaroslav Drobný,cz CZE,GK,1979,,,,,,,,,,,,,,,,,,,,,,,
Maxime Dupé,fr FRA,GK,1993,,,,,,,,,,,,,,,,,,,,,,,
Vincent Enyeama,ng NGA,GK,1982,,,,,,,,,,,,,,,,,,,,,,,
Michael Esser,de GER,GK,1987,,,,,,,,,,,,,,,,,,,,,,,
Łukasz Fabiański,pl POL,GK,1985,,,,,,,,,,,,,,,,,,,,,,,
Ralf Fährmann,de GER,GK,1988,,,,,,,,,,,,,,,,,,,,,,,
Adam Federici,au AUS,GK,1985,,,,,,,,,,,,,,,,,,,,,,,
Álvaro Fernández,es ESP,GK,1998,,,,,,,,,,,,,,,,,,,,,,,
Andrés Fernández,es ESP,GK,1986,,,,,,,,,,,,,,,,,,,,,,,
Mario Fernández,es ESP,GK,1988,,,,,,,,,,,,,,,,,,,,,,,
Marco Festa,it ITA,GK,1992,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Fiorillo,it ITA,GK,1990,,,,,,,,,,,,,,,,,,,,,,,
Fraser Forster,eng ENG,GK,1988,,,,,,,,,,,,,,,,,,,,,,,
Ben Foster,eng ENG,GK,1983,,,,,,,,,,,,,,,,,,,,,,,
Andrea Fulignati,it ITA,GK,1994,,,,,,,,,,,,,,,,,,,,,,,
Gabriel,br BRA,GK,1992,,,,,,,,,,,,,,,,,,,,,,,
David de Gea,es ESP,GK,1990,,,,,,,,,,,,,,,,,,,,,,,
Dani Giménez,es ESP,GK,1983,,,,,,,,,,,,,,,,,,,,,,,
Shay Given,ie IRL,GK,1976,,,,,,,,,,,,,,,,,,,,,,,
Mauro Goicoechea,uy URU,GK,1988,,,,,,,,,,,,,,,,,,,,,,,
Pierluigi Gollini,it ITA,GK,1995,,,,,,,,,,,,,,,,,,,,,,,
Heurelho Gomes,br BRA,GK,1981,,,,,,,,,,,,,,,,,,,,,,,
Mathieu Gorgelin,fr FRA,GK,1990,,,,,,,,,,,,,,,,,,,,,,,
Lee Grant,eng ENG,GK,1983,,,,,,,,,,,,,,,,,,,,,,,
Théo Guivarch,fr FRA,GK,1995,,,,,,,,,,,,,,,,,,,,,,,
Péter Gulácsi,hu HUN,GK,1990,,,,,,,,,,,,,,,,,,,,,,,
Brad Guzan,us USA,GK,1984,,,,,,,,,,,,,,,,,,,,,,,
Samir Handanović,si SVN,GK,1984,,,,,,,,,,,,,,,,,,,,,,,
Martin Hansen,dk DEN,GK,1990,,,,,,,,,,,,,,,,,,,,,,,
Joe Hart,eng ENG,GK,1987,,,,,,,,,,,,,,,,,,,,,,,
Tom Heaton,eng ENG,GK,1986,,,,,,,,,,,,,,,,,,,,,,,
Wayne Hennessey,wal WAL,GK,1987,,,,,,,,,,,,,,,,,,,,,,,
Iago Herrerín,es ESP,GK,1988,,,,,,,,,,,,,,,,,,,,,,,
Daniel Heuer Fernandes,pt POR,GK,1992,,,,,,,,,,,,,,,,,,,,,,,
Marwin Hitz,ch SUI,GK,1987,,,,,,,,,,,,,,,,,,,,,,,
Timo Horn,de GER,GK,1993,,,,,,,,,,,,,,,,,,,,,,,
Lukáš Hrádecký,fi FIN,GK,1989,,,,,,,,,,,,,,,,,,,,,,,
Jannik Huth,de GER,GK,1994,,,,,,,,,,,,,,,,,,,,,,,
Gorka Iraizoz,es ESP,GK,1981,,,,,,,,,,,,,,,,,,,,,,,
Eldin Jakupović,ch SUI,GK,1984,,,,,,,,,,,,,,,,,,,,,,,
Rune Jarstein,no NOR,GK,1984,,,,,,,,,,,,,,,,,,,,,,,
Karl-Johan Johnsson,se SWE,GK,1990,,,,,,,,,,,,,,,,,,,,,,,
