,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Adrián\Adrian,es ESP,GK,eng Liverpool,34-091,1987,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
2,Alisson\Alisson,br BRA,GK,eng Liverpool,28-184,1992,5,5,450,5.0,2,0.40,15,13,86.7,4,0,1,4,80.0,0,0,0,0,,Matches
3,Mikkel Andersen\Mikkel-Andersen,dk DEN,GK,dk Midtjylland,32-108,1988,2,2,180,2.0,4,2.00,5,2,40.0,0,0,2,0,0.0,1,1,0,0,0.0,Matches
4,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,eng Chelsea,26-183,1994,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,Matches
5,Yassine Bounou\Yassine-Bounou,ma MAR,GK,es Sevilla,29-364,1991,5,5,450,5.0,6,1.20,20,16,80.0,2,2,1,2,40.0,3,2,1,0,33.3,Matches
6,Denys Boyko\Denys-Boyko,ua UKR,GK,ua Dynamo Kyiv,33-065,1988,1,1,90,1.0,2,2.00,4,2,50.0,0,1,0,0,0.0,0,0,0,0,,Matches
7,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,it Juventus,43-066,1978,1,1,90,1.0,0,0.00,7,7,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
8,Roman Bürki\Roman-Burki,ch SUI,GK,de Dortmund,30-141,1990,4,4,360,4.0,1,0.25,9,9,100.0,3,1,0,3,75.0,1,1,0,0,0.0,Matches
9,Heorhiy Bushchan\Heorhiy-Bushchan,ua UKR,GK,ua Dynamo Kyiv,26-308,1994,4,4,360,4.0,9,2.25,21,13,61.9,1,0,3,1,25.0,1,1,0,0,0.0,Matches
10,Diogo Costa\Diogo-Costa,pt POR,GK,pt Porto,21-197,1999,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
