,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Alisson\Alisson,br BRA,GK,it Roma,23,1992,10,10,900,10.0,13,1.30,56,43,76.8,5,3,2,3,30.0,0,0,0,0,,Matches
2,Robert Almer\Robert-Almer,at AUT,GK,at Austria Wien,32,1984,2,2,115,1.3,1,0.78,3,2,66.7,0,1,0,1,50.0,0,0,0,0,,Matches
3,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,es Celta Vigo,29,1986,10,10,930,10.3,8,0.77,41,33,80.5,5,3,2,3,30.0,0,0,0,0,,Matches
4,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,es Villarreal,27,1989,3,3,270,3.0,6,2.00,15,9,66.7,1,1,1,0,0.0,1,1,0,0,0.0,Matches
5,Walter Benítez\Walter-Benitez,ar ARG,GK,fr Nice,23,1993,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,0,0,0,0,,Matches
6,Dmytro Bezotosnyi\Dmytro-Bezotosnyi,ua UKR,GK,az Gabala FK,32,1983,6,6,540,6.0,14,2.33,47,33,70.2,0,0,6,0,0.0,0,0,0,0,,Matches
7,Marco Bizot\Marco-Bizot,nl NED,GK,be Genk,25,1991,5,5,450,5.0,9,1.80,20,11,70.0,3,0,2,2,40.0,3,3,0,0,0.0,Matches
8,Rubén Blanco\Ruben-Blanco,es ESP,GK,es Celta Vigo,21,1995,4,4,360,4.0,6,1.50,16,10,62.5,1,2,1,1,25.0,0,0,0,0,,Matches
9,Frank Boeckx\Frank-Boeckx,be BEL,GK,be Anderlecht,29,1986,1,1,90,1.0,1,1.00,3,2,100.0,1,0,0,0,0.0,2,1,0,1,0.0,Matches
10,Petr Bolek\Petr-Bolek,cz CZE,GK,cz Viktoria Plzeň,32,1984,1,1,90,1.0,1,1.00,3,2,100.0,0,1,0,0,0.0,1,1,0,0,0.0,Matches
11,Željko Brkić\Zeljko-Brkic,rs SRB,GK,gr PAOK,30,1986,1,1,90,1.0,2,2.00,5,3,60.0,1,0,0,0,0.0,0,0,0,0,,Matches
12,Yoan Cardinale\Yoan-Cardinale,fr FRA,GK,fr Nice,22,1994,5,5,450,5.0,10,2.00,29,19,72.4,0,1,4,1,20.0,2,2,0,0,0.0,Matches
13,José Carlos Marafona\Jose-Carlos-Marafona,pt POR,GK,pt Braga,29,1987,2,2,180,2.0,6,3.00,8,2,25.0,0,0,2,0,0.0,0,0,0,0,,Matches
14,Andrea Consigli\Andrea-Consigli,it ITA,GK,it Sassuolo,29,1987,5,5,450,5.0,9,1.80,27,18,66.7,1,2,2,1,20.0,0,0,0,0,,Matches
