Player,Nation,Pos,Secondary_Pos,Squad,Comp,Season,Born,90s,,Goals,Shots,SoT,SoT_Pct,Sh_per_90,SoT_per_90,Goals_per_Shot,Goals_per_SoT,avg_dist_of_shots_from_goal,shots_from_fk,pk_made,pk_att,xG,npxG,npxG_per_Shot,G_minus_xG,npG_minus_xG,,passes_completed,passes_attempted,pass_comp_pct,tot_dist_traveled_by_comp_passes,progressive_distance,short_passes_comp,short_pass_att,short_pass_comp_pct,med_passes_comp,med_pass_att,med_pass_comp_pct,long_passes_comp,long_pass_att,long_pass_comp_pct,assists,xA,A_minus_xA,assisted_shots,comp_passes_leading_to_final_third,comp_passes_into_18_yd_box,comp_crosses_into_18_yd_box,prog_passes,,live_ball_passes,dead_ball_passes,fk_pass_attempts,pass_tb,passes_under_pressure,pass_sw,crosses,corner_kick_passes,inswing_corner_kicks,outswing_corner_kicks,straight_corner_kicks,ground_passes,low_passes,high_passes,left_foot_pass_attempts,right_foot_pass_attempts,head_pass_attempts,throw_ins,other_body_part_pass_attempts,offside_passes,passes_out_of_bounds,passes_intercepted,passes_blocked,,shot_creating_actions,shot_creating_actions_per_90,live_pass_sca,dead_pass_sca,dribble_sca,shots_sca,fouls_drawn_sca,def_actions_sca,goal_creating_actions,gca_per_90,live_pass_gca,dead_pass_gca,dribble_gca,shots_gca,fouls_drawn_gca,def_actions_gca,og_gca,,tackles,tackles_won,tackles_in_def_3rd,tackles_in_mid_3rd,tackles_in_att_3rd,dribblers_tackled,attempts_to_tackle_dribblers,pct_of_dribblers_tackled,number_of_times_dribbled_past,pressures_attempted,succ_pressures,succ_pressure_pct,pressures_in_def_3rd,pressures_in_mid_3rd,pressures_in_att_3rd,blocks,shots_blocked,sot_blocked,passes_minus_Blocked,interceptions,players_tackled_plus_interceptions,clearances,errors_leading_to_shot_attempts,,touches,touches_in_def_pen,touches_in_def_3rd,touches_in_mid_3rd,touches_in_att_3rd,touches_in_att_pen,live_ball_touches,succ_dribbles,dribbles_att,dribble_succ_pct,num_players_dribbled_past,nutmegs,carries,tot_dist_carried,prog_dist_carried,prog_carries,att_3rd_carries,carries_into_18yd_box,carries_failed,carries_lost_the_ball,targeted_receptions,succ_receptions,reception_pct,prog_receptions,,yellow_cards,red_cards,2nd_yellow_cards,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,pks_won,pks_conceded,own_goals,loose_balls_recovered,aerials_won,aerials_lost,aerials_won_pct
Patrick van Aanholt,nl NED,DF,,Crystal Palace,eng Premier League,,1990,27.9,,3,26,5,19.2,0.93,0.18,0.08,0.4,21,3,1,1,2.4,1.6,0.06,0.6,0.4,,1227,1558,78.8,21251,9280,578,647,89.3,521,634,82.2,112,221,50.7,2,3.2,-1.2,32,86,25,5,129,,1175,383,62,0,222,35,44,45,23,15,3,930,322,306,997,256,21,275,3,8,14,36,47,,62,2.23,32,23,3,2,2,0,5,0.18,3,1,1,0,0,0,0,,51,32,33,16,2,22,54,40.7,32,267,74,27.7,159,71,37,57,13,1,44,23,74,67,3,,1839,97,531,883,531,50,1458,18,36,50,18,2,1000,5308,2935,158,46,12,21,16,1079,994,92.1,57,,0,0,0,9,8,2,44,23,32,0,0,1,243,12,17,41.4
Max Aarons,eng ENG,DF,,Norwich City,eng Premier League,,2000,36,,0,14,4,28.6,0.39,0.11,0,0,17.8,0,0,0,0.5,0.5,0.04,-0.5,-0.5,,1316,1684,78.1,20293,6834,733,820,89.4,475,596,79.7,78,174,44.8,1,3.4,-2.4,24,43,32,13,77,,1356,328,27,1,290,10,54,0,0,0,0,1018,391,275,219,1102,45,301,2,0,33,22,70,,55,1.53,42,2,3,3,4,1,3,0.08,1,1,0,0,1,0,0,,64,36,40,17,7,21,45,46.7,24,487,132,27.1,283,142,62,100,30,2,70,20,84,86,0,,2133,178,804,902,594,52,1821,49,94,52.1,55,2,1321,7912,4384,204,56,23,39,48,1399,1244,88.9,69,,7,0,0,29,49,3,54,20,36,1,0,0,281,23,42,35.4
Yunis Abdelhamid,ma MAR,DF,,Reims,fr Ligue 1,,1987,28,,3,19,5,26.3,0.68,0.18,0.16,0.6,14.2,0,0,0,1.3,1.3,0.07,1.7,1.7,,1328,1515,87.7,29513,9041,331,355,93.2,715,777,92,273,360,75.8,0,0.1,-0.1,2,45,3,0,80,,1437,78,75,1,184,49,1,0,0,0,0,1142,141,232,1008,411,66,3,3,3,21,25,12,,16,0.57,11,0,0,4,1,0,1,0.04,1,0,0,0,0,0,0,,61,37,43,16,2,14,28,50,14,299,111,37.1,189,97,13,43,19,0,24,24,85,166,1,,1856,256,1131,801,61,27,1782,21,26,80.8,21,0,1201,7283,4029,57,9,0,12,8,1266,1236,97.6,27,,0,0,0,21,20,0,1,24,37,0,1,0,226,86,42,67.2
Suleiman Abdullahi,ng NGA,FW,MF,Union Berlin,de Bundesliga,,1996,1.7,,1,6,3,50,3.44,1.72,0.17,0.33,17.2,0,0,0,1.3,1.3,0.21,-0.3,-0.3,,18,40,45,316,132,12,20,60,4,12,33.3,2,3,66.7,0,0.2,-0.2,1,2,2,1,3,,40,0,0,0,8,2,7,0,0,0,0,21,9,10,8,23,5,0,0,0,1,1,6,,2,1.15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,0,0,1,3,33.3,2,25,9,36,9,11,5,3,1,0,2,1,2,2,0,,62,1,9,22,33,10,62,2,4,50,3,1,37,169,91,5,1,2,6,2,77,39,50.6,11,,1,0,0,0,0,3,7,1,1,0,0,0,15,6,11,35.3
Mehdi Abeid,dz ALG,MF,,Nantes,fr Ligue 1,,1992,20.2,,1,33,7,21.2,1.63,0.35,0.03,0.14,25,3,0,0,1.6,1.6,0.05,-0.6,-0.6,,801,957,83.7,14638,3850,365,395,92.4,337,369,91.3,93,172,54.1,2,1.4,0.6,26,85,6,4,59,,864,93,42,1,157,50,18,47,16,16,7,684,113,160,104,788,42,4,8,3,23,11,12,,46,2.28,27,14,1,2,1,1,4,0.2,2,1,0,1,0,0,0,,60,41,24,34,2,24,62,38.7,38,417,114,27.3,121,233,63,18,3,0,15,17,77,22,0,,1176,22,211,754,283,20,1091,12,22,54.5,12,0,782,3969,1963,71,21,2,14,26,854,759,88.9,42,,5,0,0,55,43,1,18,17,41,0,1,0,194,14,19,42.4
Charles Abi,fr FRA,FW,,Saint-Étienne,fr Ligue 1,,2000,6.9,,0,5,0,0,0.72,0,0,,14.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,,74,132,56.1,1085,199,38,66,57.6,23,37,62.2,4,8,50,0,1.1,-1.1,5,5,2,0,8,,120,12,0,1,53,1,4,0,0,0,0,69,38,25,78,16,11,0,5,1,3,3,9,,12,1.73,8,0,0,0,4,0,1,0.14,0,0,0,0,1,0,0,,10,8,3,5,2,3,11,27.3,8,181,53,29.3,5,86,90,1,0,0,1,4,14,5,0,,208,7,18,108,95,23,196,16,21,76.2,16,0,136,574,279,14,0,4,25,12,309,142,46,57,,2,0,0,16,10,7,4,4,8,1,0,0,25,27,39,40.9
David Abraham,ar ARG,DF,,Eint Frankfurt,de Bundesliga,,1986,18.8,,2,7,4,57.1,0.37,0.21,0.29,0.5,7.7,0,0,0,1.4,1.4,0.2,0.6,0.6,,742,896,82.8,16639,6079,199,231,86.1,388,438,88.6,149,211,70.6,0,0.1,-0.1,2,75,7,0,100,,843,53,23,0,136,33,5,0,0,0,0,580,134,182,111,673,48,30,6,1,20,16,8,,11,0.59,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,30,22,18,10,2,16,34,47.1,18,200,75,37.5,109,78,13,32,15,1,17,16,46,87,1,,1073,108,482,588,87,11,1022,9,11,81.8,11,1,662,3916,2242,73,21,1,6,2,639,619,96.9,10,,2,1,0,14,12,0,5,16,22,0,0,0,224,51,32,61.4
Tammy Abraham,eng ENG,FW,,Chelsea,eng Premier League,,1997,24.6,,15,88,35,39.8,3.58,1.42,0.17,0.43,11.1,0,0,0,14.1,14.1,0.16,0.9,0.9,,288,412,69.9,4213,811,159,222,71.6,77,101,76.2,26,35,74.3,3,2.5,0.5,18,16,5,0,31,,360,52,0,0,149,5,10,0,0,0,0,259,81,72,31,306,17,0,17,1,6,8,26,,50,2.03,33,0,6,6,2,3,10,0.41,4,0,3,2,1,0,0,,14,10,4,5,5,4,16,25,12,430,130,30.2,19,170,241,23,5,0,18,5,19,26,0,,739,31,59,354,352,165,688,21,36,58.3,22,0,427,1627,826,51,12,14,71,47,1076,495,46,227,,2,0,0,17,24,23,10,5,10,1,0,1,95,67,110,37.9
Amir Abrashi,al ALB,MF,,Freiburg,de Bundesliga,,1990,7.4,,0,5,2,40,0.68,0.27,0,0,20.2,0,0,0,0.4,0.4,0.07,-0.4,-0.4,,298,342,87.1,4705,1028,148,165,89.7,123,130,94.6,16,25,64,0,0.1,-0.1,4,19,5,3,21,,324,18,12,0,61,1,5,0,0,0,0,262,45,35,25,298,9,1,2,0,4,5,11,,10,1.36,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,23,13,11,11,1,7,17,41.2,10,164,41,25,68,82,14,19,3,0,16,8,31,15,1,,438,21,141,256,64,3,423,7,10,70,7,0,291,1344,504,18,7,1,8,8,288,261,90.6,10,,3,0,0,17,12,0,5,8,13,0,0,0,84,12,9,57.1
Francesco Acerbi,it ITA,DF,,Lazio,it Serie A,,1988,35.1,,2,17,7,41.2,0.48,0.2,0.12,0.29,13.4,0,0,0,2,2,0.12,0,0,,1809,2011,90,41350,12495,519,558,93,884,937,94.3,390,481,81.1,2,1.6,0.4,7,138,14,3,119,,1926,85,64,3,215,102,24,1,0,0,0,1428,229,354,1543,324,76,20,5,1,27,8,20,,27,0.77,24,0,1,1,1,0,3,0.09,3,0,0,0,0,0,0,,52,33,36,10,6,13,26,50,13,320,115,35.9,213,81,26,61,30,0,31,28,80,165,2,,2365,370,1206,1158,202,34,2287,15,17,88.2,15,0,1559,11372,6125,161,32,0,8,7,1641,1600,97.5,31,,4,0,0,25,41,5,24,28,33,1,0,0,357,72,35,67.3
