Player,Nation,Born,Season,Squad,Comp,Pos,Secondary_Pos,90s
Patrick van Aanholt,nl NED,1990.0,2018.0,Crystal Palace,eng Premier League,DF,,24.3
Rolando Aarons,eng ENG,1995.0,2018.0,Newcastle Utd,eng Premier League,FW,MF,1.5
Rolando Aarons,eng ENG,1995.0,2018.0,Hellas Verona,it Serie A,MF,FW,5.7
Ignazio Abate,it ITA,1986.0,2018.0,Milan,it Serie A,DF,,11.7
Aymen Abdennour,tn TUN,1989.0,2018.0,Marseille,fr Ligue 1,DF,,5.6
Aly Abeid,mr MTN,1997.0,2018.0,Levante,es La Liga,DF,,0.8
Mehdi Abeid,dz ALG,1992.0,2018.0,Dijon,fr Ligue 1,MF,,13.1
David Abraham,ar ARG,1986.0,2018.0,Eint Frankfurt,de Bundesliga,DF,,25.6
Tammy Abraham,eng ENG,1997.0,2018.0,Swansea City,eng Premier League,FW,MF,19.2
Amir Abrashi,al ALB,1990.0,2018.0,Freiburg,de Bundesliga,MF,,9.4
Francesco Acerbi,it ITA,1988.0,2018.0,Sassuolo,it Serie A,DF,,38.0
Afriyie Acquah,gh GHA,1992.0,2018.0,Torino,it Serie A,MF,,10.6
Charlie Adam,sco SCO,1985.0,2018.0,Stoke City,eng Premier League,MF,,4.6
Aday,es ESP,1987.0,2018.0,Girona,es La Liga,DF,MF,20.4
Khaled Adénon,bj BEN,1985.0,2018.0,Amiens,fr Ligue 1,DF,,32.5
Claud Adjapong,it ITA,1998.0,2018.0,Sassuolo,it Serie A,DF,MF,13.6
Ali Adnan Kadhim,iq IRQ,1993.0,2018.0,Udinese,it Serie A,DF,MF,18.6
Aritz Aduriz,es ESP,1981.0,2018.0,Athletic Club,es La Liga,FW,,23.9
Ibrahim Afellay,nl NED,1986.0,2018.0,Stoke City,eng Premier League,MF,,1.8
Benik Afobe,cd COD,1993.0,2018.0,Bournemouth,eng Premier League,FW,MF,6.8
Martin Agirregabiria,es ESP,1996.0,2018.0,Alavés,es La Liga,DF,,20.3
Imanol Agirretxe,es ESP,1987.0,2018.0,Real Sociedad,es La Liga,FW,,2.6
Sergio Agüero,ar ARG,1988.0,2018.0,Manchester City,eng Premier League,FW,,21.8
Ruben Aguilar,fr FRA,1993.0,2018.0,Montpellier,fr Ligue 1,DF,MF,27.3
Matías Aguirregaray,uy URU,1989.0,2018.0,Las Palmas,es La Liga,DF,,12.8
Jean-Eudes Aholou,ci CIV,1994.0,2018.0,Strasbourg,fr Ligue 1,MF,,33.4
Ailton,br BRA,1995.0,2018.0,Stuttgart,de Bundesliga,DF,FW,1.2
Youssef Aït Bennasser,ma MAR,1996.0,2018.0,Caen,fr Ligue 1,MF,,22.8
Arlind Ajeti,al ALB,1993.0,2018.0,Crotone,it Serie A,DF,MF,14.1
Manuel Akanji,ch SUI,1995.0,2018.0,Dortmund,de Bundesliga,DF,,10.0
Nathan Aké,nl NED,1995.0,2018.0,Bournemouth,eng Premier League,DF,,37.3
Ager Aketxe,es ESP,1993.0,2018.0,Athletic Club,es La Liga,MF,,0.5
Chadrac Akolo,cd COD,1995.0,2018.0,Stuttgart,de Bundesliga,FW,MF,12.2
Kevin Akpoguma,ng NGA,1995.0,2018.0,Hoffenheim,de Bundesliga,DF,,18.8
David Alaba,at AUT,1992.0,2018.0,Bayern Munich,de Bundesliga,DF,,17.2
Lucas Alario,ar ARG,1992.0,2018.0,Leverkusen,de Bundesliga,FW,,17.2
David Alba,es ESP,1999.0,2018.0,Getafe,es La Liga,DF,,0.7
Jordi Alba,es ESP,1989.0,2018.0,Barcelona,es La Liga,DF,,30.5
Raúl Albentosa,es ESP,1988.0,2018.0,La Coruña,es La Liga,DF,,19.4
Luis Alberto,es ESP,1992.0,2018.0,Lazio,it Serie A,MF,FW,29.7
Raúl Albiol,es ESP,1985.0,2018.0,Napoli,it Serie A,DF,,30.5
Miiko Albornoz,cl CHI,1990.0,2018.0,Hannover 96,de Bundesliga,DF,,7.8
Marc Albrighton,eng ENG,1989.0,2018.0,Leicester City,eng Premier League,MF,FW,28.2
Paco Alcácer,es ESP,1993.0,2018.0,Barcelona,es La Liga,FW,MF,7.8
Pedro Alcalá,es ESP,1989.0,2018.0,Girona,es La Liga,DF,,7.6
Thiago Alcántara,es ESP,1991.0,2018.0,Bayern Munich,de Bundesliga,MF,FW,13.9
David Alcibiade,fr FRA,1991.0,2018.0,Nantes,fr Ligue 1,DF,,2.3
Toby Alderweireld,be BEL,1989.0,2018.0,Tottenham,eng Premier League,DF,,13.1
Steve Aldo One,cm CMR,1995.0,2018.0,La Coruña,es La Liga,DF,,1.0
Álex Alegría,es ESP,1992.0,2018.0,Levante,es La Liga,FW,,6.9
Iván Alejo,es ESP,1995.0,2018.0,Eibar,es La Liga,FW,MF,12.5
Alexander,ar ARG,1988.0,2018.0,Leganés,es La Liga,FW,MF,11.7
Trent Alexander-Arnold,eng ENG,1998.0,2018.0,Liverpool,eng Premier League,DF,,17.5
Alexis,es ESP,1985.0,2018.0,Alavés,es La Liga,DF,,24.3
Allan,br BRA,1991.0,2018.0,Napoli,it Serie A,MF,,31.7
Joe Allen,wal WAL,1990.0,2018.0,Stoke City,eng Premier League,MF,,34.9
Dele Alli,eng ENG,1996.0,2018.0,Tottenham,eng Premier League,MF,FW,32.9
José Alonso Lara,es ESP,2000.0,2018.0,Sevilla,es La Liga,FW,,0.1
Júnior Alonso,py PAR,1993.0,2018.0,Lille,fr Ligue 1,DF,,30.9
Marcos Alonso,es ESP,1990.0,2018.0,Chelsea,eng Premier League,DF,MF,31.7
Ricky Álvarez,ar ARG,1988.0,2018.0,Sampdoria,it Serie A,MF,FW,3.0
Yeray Álvarez,es ESP,1995.0,2018.0,Athletic Club,es La Liga,DF,,7.5
Dani Alves,br BRA,1983.0,2018.0,Paris S-G,fr Ligue 1,DF,,22.9
Ibrahim Amadou,fr FRA,1993.0,2018.0,Lille,fr Ligue 1,MF,DF,26.7
Eloi Amagat,es ESP,1985.0,2018.0,Girona,es La Liga,FW,MF,0.2
Morgan Amalfitano,fr FRA,1985.0,2018.0,Rennes,fr Ligue 1,MF,,8.3
Romain Amalfitano,fr FRA,1989.0,2018.0,Dijon,fr Ligue 1,MF,,30.0
Daniel Amartey,gh GHA,1994.0,2018.0,Leicester City,eng Premier League,DF,,5.4
Jordi Amat,es ESP,1992.0,2018.0,Betis,es La Liga,DF,MF,22.7
Amath,sn SEN,1996.0,2018.0,Getafe,es La Liga,MF,FW,31.5
Jordan Amavi,fr FRA,1994.0,2018.0,Marseille,fr Ligue 1,DF,,24.4
Stephan Ambrosius,de GER,1998.0,2018.0,Hamburger SV,de Bundesliga,DF,,0.5
Kelvin Amian,fr FRA,1998.0,2018.0,Toulouse,fr Ligue 1,DF,,35.0
Nadiem Amiri,de GER,1996.0,2018.0,Hoffenheim,de Bundesliga,MF,FW,19.4
Ethan Ampadu,wal WAL,2000.0,2018.0,Chelsea,eng Premier League,DF,,0.1
Nordin Amrabat,ma MAR,1987.0,2018.0,Watford,eng Premier League,FW,,2.2
Nordin Amrabat,ma MAR,1987.0,2018.0,Leganés,es La Liga,FW,MF,18.0
Joachim Andersen,dk DEN,1996.0,2018.0,Sampdoria,it Serie A,DF,,6.1
Felipe Anderson,br BRA,1993.0,2018.0,Lazio,it Serie A,MF,FW,12.9
Florin Andone,ro ROU,1993.0,2018.0,La Coruña,es La Liga,FW,,18.2
Benjamin André,fr FRA,1990.0,2018.0,Rennes,fr Ligue 1,MF,,33.5
Marco Andreolli,it ITA,1986.0,2018.0,Cagliari,it Serie A,DF,,20.3
Yoann Andreu,fr FRA,1989.0,2018.0,Angers,fr Ligue 1,DF,,23.0
Miguel Ángel Guerrero,es ESP,1990.0,2018.0,Leganés,es La Liga,FW,,16.1
Miguel Ángel Rubio,es ESP,1998.0,2018.0,Getafe,es La Liga,DF,,0.3
José Ángel,es ESP,1989.0,2018.0,Eibar,es La Liga,DF,,26.9
Gabriele Angella,it ITA,1989.0,2018.0,Udinese,it Serie A,DF,,9.9
Cristian Ansaldi,ar ARG,1986.0,2018.0,Torino,it Serie A,DF,MF,20.8
Luca Antei,it ITA,1992.0,2018.0,Benevento,it Serie A,DF,,6.6
Mirco Antenucci,it ITA,1984.0,2018.0,SPAL,it Serie A,FW,,28.6
Waldemar Anton,de GER,1996.0,2018.0,Hannover 96,de Bundesliga,DF,MF,25.3
Luca Antonelli,it ITA,1987.0,2018.0,Milan,it Serie A,DF,MF,1.6
Michail Antonio,eng ENG,1990.0,2018.0,West Ham,eng Premier League,FW,MF,15.0
Mirko Antonucci,it ITA,1999.0,2018.0,Roma,it Serie A,FW,,0.3
Vitorino Antunes,pt POR,1987.0,2018.0,Getafe,es La Liga,DF,,31.1
Dennis Aogo,de GER,1987.0,2018.0,Stuttgart,de Bundesliga,MF,DF,21.7
Houssem Aouar,fr FRA,1998.0,2018.0,Lyon,fr Ligue 1,MF,FW,27.0
Alberto Aquilani,it ITA,1984.0,2018.0,Las Palmas,es La Liga,MF,,14.4
Mauro Arambarri,uy URU,1995.0,2018.0,Getafe,es La Liga,MF,,23.6
Guilherme Arana,br BRA,1997.0,2018.0,Sevilla,es La Liga,DF,,2.1
Charles Aránguiz,cl CHI,1989.0,2018.0,Leverkusen,de Bundesliga,MF,,25.6
Luiz Araújo,br BRA,1996.0,2018.0,Lille,fr Ligue 1,FW,MF,22.4
Sergio Araujo,ar ARG,1992.0,2018.0,Las Palmas,es La Liga,FW,MF,0.4
Anaitz Arbilla,es ESP,1987.0,2018.0,Eibar,es La Liga,DF,,26.8
Scott Arfield,ca CAN,1988.0,2018.0,Burnley,eng Premier League,FW,MF,14.8
Samuel Armenteros,se SWE,1990.0,2018.0,Benevento,it Serie A,FW,,4.8
Yoël Armougom,fr FRA,1998.0,2018.0,Caen,fr Ligue 1,MF,DF,1.5
José Arnaiz,es ESP,1995.0,2018.0,Barcelona,es La Liga,MF,,0.1
Marko Arnautović,at AUT,1989.0,2018.0,West Ham,eng Premier League,FW,MF,25.7
