Player,Nation,Born,Season,Squad,Comp,shot_creating_actions,shot_creating_actions_per_90,live_pass_sca,dead_pass_sca,dribble_sca,shots_sca,fouls_drawn_sca,def_actions_sca,goal_creating_actions,gca_per_90,live_pass_gca,dead_pass_gca,dribble_gca,shots_gca,fouls_drawn_gca,def_actions_gca,og_gca
Patrick van Aanholt,nl NED,1990.0,2018.0,Crystal Palace,eng Premier League,41.0,1.69,23.0,11.0,4.0,1.0,1.0,1.0,3.0,0.12,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Rolando Aarons,eng ENG,1995.0,2018.0,Newcastle Utd,eng Premier League,1.0,0.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rolando Aarons,eng ENG,1995.0,2018.0,Hellas Verona,it Serie A,3.0,0.52,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ignazio Abate,it ITA,1986.0,2018.0,Milan,it Serie A,26.0,2.22,22.0,2.0,0.0,2.0,0.0,0.0,4.0,0.34,3.0,0.0,0.0,1.0,0.0,0.0,0.0
Aymen Abdennour,tn TUN,1989.0,2018.0,Marseille,fr Ligue 1,1.0,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aly Abeid,mr MTN,1997.0,2018.0,Levante,es La Liga,3.0,3.46,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mehdi Abeid,dz ALG,1992.0,2018.0,Dijon,fr Ligue 1,15.0,1.15,11.0,1.0,0.0,2.0,0.0,1.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
David Abraham,ar ARG,1986.0,2018.0,Eint Frankfurt,de Bundesliga,16.0,0.63,12.0,1.0,0.0,3.0,0.0,0.0,2.0,0.08,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Tammy Abraham,eng ENG,1997.0,2018.0,Swansea City,eng Premier League,32.0,1.67,20.0,0.0,6.0,3.0,2.0,1.0,2.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Amir Abrashi,al ALB,1990.0,2018.0,Freiburg,de Bundesliga,12.0,1.27,10.0,0.0,0.0,0.0,2.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Francesco Acerbi,it ITA,1988.0,2018.0,Sassuolo,it Serie A,28.0,0.74,25.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afriyie Acquah,gh GHA,1992.0,2018.0,Torino,it Serie A,15.0,1.45,11.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Adam,sco SCO,1985.0,2018.0,Stoke City,eng Premier League,20.0,4.39,9.0,3.0,2.0,2.0,3.0,1.0,1.0,0.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Aday,es ESP,1987.0,2018.0,Girona,es La Liga,51.0,2.51,39.0,2.0,2.0,3.0,5.0,0.0,3.0,0.15,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Khaled Adénon,bj BEN,1985.0,2018.0,Amiens,fr Ligue 1,7.0,0.22,4.0,1.0,0.0,0.0,1.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Claud Adjapong,it ITA,1998.0,2018.0,Sassuolo,it Serie A,23.0,1.7,16.0,0.0,2.0,2.0,2.0,1.0,3.0,0.22,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Ali Adnan Kadhim,iq IRQ,1993.0,2018.0,Udinese,it Serie A,33.0,1.78,24.0,8.0,0.0,0.0,1.0,0.0,5.0,0.27,4.0,0.0,0.0,0.0,1.0,0.0,0.0
Aritz Aduriz,es ESP,1981.0,2018.0,Athletic Club,es La Liga,32.0,1.34,18.0,1.0,3.0,4.0,5.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahim Afellay,nl NED,1986.0,2018.0,Stoke City,eng Premier League,1.0,0.54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benik Afobe,cd COD,1993.0,2018.0,Bournemouth,eng Premier League,8.0,1.34,5.0,0.0,1.0,1.0,1.0,0.0,1.0,0.17,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Martin Agirregabiria,es ESP,1996.0,2018.0,Alavés,es La Liga,21.0,1.03,16.0,4.0,1.0,0.0,0.0,0.0,4.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Imanol Agirretxe,es ESP,1987.0,2018.0,Real Sociedad,es La Liga,3.0,1.21,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.81,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Sergio Agüero,ar ARG,1988.0,2018.0,Manchester City,eng Premier League,76.0,3.48,57.0,0.0,7.0,7.0,3.0,2.0,11.0,0.5,9.0,0.0,1.0,0.0,0.0,1.0,0.0
Ruben Aguilar,fr FRA,1993.0,2018.0,Montpellier,fr Ligue 1,60.0,2.2,45.0,7.0,1.0,3.0,3.0,1.0,6.0,0.22,5.0,0.0,0.0,1.0,0.0,0.0,0.0
Matías Aguirregaray,uy URU,1989.0,2018.0,Las Palmas,es La Liga,18.0,1.4,16.0,0.0,0.0,1.0,1.0,0.0,1.0,0.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jean-Eudes Aholou,ci CIV,1994.0,2018.0,Strasbourg,fr Ligue 1,32.0,0.96,24.0,0.0,0.0,5.0,3.0,0.0,7.0,0.21,4.0,0.0,0.0,1.0,2.0,0.0,0.0
Ailton,br BRA,1995.0,2018.0,Stuttgart,de Bundesliga,2.0,1.71,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Youssef Aït Bennasser,ma MAR,1996.0,2018.0,Caen,fr Ligue 1,50.0,2.19,40.0,1.0,2.0,1.0,5.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Arlind Ajeti,al ALB,1993.0,2018.0,Crotone,it Serie A,11.0,0.78,7.0,0.0,0.0,1.0,1.0,2.0,2.0,0.14,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Manuel Akanji,ch SUI,1995.0,2018.0,Dortmund,de Bundesliga,6.0,0.6,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Aké,nl NED,1995.0,2018.0,Bournemouth,eng Premier League,21.0,0.56,17.0,0.0,1.0,0.0,2.0,1.0,4.0,0.11,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Ager Aketxe,es ESP,1993.0,2018.0,Athletic Club,es La Liga,3.0,7.94,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Chadrac Akolo,cd COD,1995.0,2018.0,Stuttgart,de Bundesliga,28.0,2.28,22.0,0.0,1.0,3.0,1.0,1.0,2.0,0.16,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Kevin Akpoguma,ng NGA,1995.0,2018.0,Hoffenheim,de Bundesliga,14.0,0.75,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0
David Alaba,at AUT,1992.0,2018.0,Bayern Munich,de Bundesliga,42.0,2.44,35.0,4.0,1.0,2.0,0.0,0.0,3.0,0.17,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Alario,ar ARG,1992.0,2018.0,Leverkusen,de Bundesliga,38.0,2.22,25.0,0.0,5.0,1.0,5.0,2.0,7.0,0.41,4.0,0.0,1.0,0.0,1.0,1.0,0.0
David Alba,es ESP,1999.0,2018.0,Getafe,es La Liga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordi Alba,es ESP,1989.0,2018.0,Barcelona,es La Liga,57.0,1.87,53.0,0.0,0.0,2.0,1.0,1.0,12.0,0.39,10.0,0.0,0.0,2.0,0.0,0.0,0.0
Raúl Albentosa,es ESP,1988.0,2018.0,La Coruña,es La Liga,7.0,0.36,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Alberto,es ESP,1992.0,2018.0,Lazio,it Serie A,163.0,5.48,99.0,49.0,9.0,3.0,2.0,1.0,26.0,0.87,14.0,8.0,3.0,0.0,1.0,0.0,0.0
