Player,Nation,Pos,Secondary_Pos,Squad,Comp,Season,Born,90s,,Goals,Shots,SoT,SoT_Pct,Sh_per_90,SoT_per_90,Goals_per_Shot,Goals_per_SoT,avg_dist_of_shots_from_goal,shots_from_fk,pk_made,pk_att,xG,npxG,npxG_per_Shot,G_minus_xG,npG_minus_xG,,passes_completed,passes_attempted,pass_comp_pct,tot_dist_traveled_by_comp_passes,progressive_distance,short_passes_comp,short_pass_att,short_pass_comp_pct,med_passes_comp,med_pass_att,med_pass_comp_pct,long_passes_comp,long_pass_att,long_pass_comp_pct,assists,xA,A_minus_xA,assisted_shots,comp_passes_leading_to_final_third,comp_passes_into_18_yd_box,comp_crosses_into_18_yd_box,prog_passes,,live_ball_passes,dead_ball_passes,fk_pass_attempts,pass_tb,passes_under_pressure,pass_sw,crosses,corner_kick_passes,inswing_corner_kicks,outswing_corner_kicks,straight_corner_kicks,ground_passes,low_passes,high_passes,left_foot_pass_attempts,right_foot_pass_attempts,head_pass_attempts,throw_ins,other_body_part_pass_attempts,offside_passes,passes_out_of_bounds,passes_intercepted,passes_blocked,,shot_creating_actions,shot_creating_actions_per_90,live_pass_sca,dead_pass_sca,dribble_sca,shots_sca,fouls_drawn_sca,def_actions_sca,goal_creating_actions,gca_per_90,live_pass_gca,dead_pass_gca,dribble_gca,shots_gca,fouls_drawn_gca,def_actions_gca,og_gca,,tackles,tackles_won,tackles_in_def_3rd,tackles_in_mid_3rd,tackles_in_att_3rd,dribblers_tackled,attempts_to_tackle_dribblers,pct_of_dribblers_tackled,number_of_times_dribbled_past,pressures_attempted,succ_pressures,succ_pressure_pct,pressures_in_def_3rd,pressures_in_mid_3rd,pressures_in_att_3rd,blocks,shots_blocked,sot_blocked,passes_minus_Blocked,interceptions,players_tackled_plus_interceptions,clearances,errors_leading_to_shot_attempts,,touches,touches_in_def_pen,touches_in_def_3rd,touches_in_mid_3rd,touches_in_att_3rd,touches_in_att_pen,live_ball_touches,succ_dribbles,dribbles_att,dribble_succ_pct,num_players_dribbled_past,nutmegs,carries,tot_dist_carried,prog_dist_carried,prog_carries,att_3rd_carries,carries_into_18yd_box,carries_failed,carries_lost_the_ball,targeted_receptions,succ_receptions,reception_pct,prog_receptions,,yellow_cards,red_cards,2nd_yellow_cards,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,pks_won,pks_conceded,own_goals,loose_balls_recovered,aerials_won,aerials_lost,aerials_won_pct
Tammy Abraham,eng ENG,FW,,Chelsea,UCL,2020,1997,6.3,,3,21,9,42.9,3.34,1.43,0.14,0.33,8.5,0,0,0,4.5,4.5,0.21,-1.5,-1.5,,77,114,67.5,1120,147,44,58,75.9,20,35,57.1,6,9,66.7,1,0.4,0.6,6,3,1,0,3,,98,16,0,0,22,3,3,0,0,0,0,65,30,19,4,84,9,0,8,0,3,3,7,,16,2.54,9,0,0,5,2,0,1,0.16,0,0,0,1,0,0,0,,5,4,0,4,1,2,6,33.3,4,140,47,33.6,2,58,80,8,3,0,5,1,6,10,0,,201,12,16,104,86,39,186,5,12,41.7,6,0,114,418,191,7,3,3,19,10,262,140,53.4,51,,0,0,0,12,4,6,3,1,4,0,0,1,15,23,12,65.7
Tyler Adams,us USA,DF,MF,RB Leipzig,UCL,2020,1999,0.9,,1,2,1,50,2.2,1.1,0.5,1,15,0,0,0,0.2,0.2,0.08,0.8,0.8,,67,81,82.7,1044,243,39,42,92.9,20,23,87,5,9,55.6,0,0,0,0,3,0,0,3,,74,7,1,0,13,1,1,0,0,0,0,59,14,8,13,59,2,6,0,0,1,5,4,,3,3.29,2,0,0,1,0,0,1,1.1,0,0,0,1,0,0,0,,1,0,1,0,0,0,2,0,2,28,5,17.9,4,15,9,2,1,0,1,1,2,3,0,,91,4,22,49,24,2,84,2,2,100,2,0,65,264,109,10,2,0,1,0,67,66,98.5,6,,0,0,0,4,1,0,1,1,0,0,0,0,11,1,1,50
Arijan Ademi,mk MKD,MF,DF,Dinamo Zagreb,UCL,2020,1991,5.7,,1,2,1,50,0.35,0.17,0.5,1,4,0,0,0,0.7,0.7,0.35,0.3,0.3,,145,165,87.9,2333,452,73,80,91.3,58,67,86.6,10,12,83.3,1,1,0,4,5,1,0,5,,158,7,5,0,26,1,1,0,0,0,0,130,21,14,18,129,13,0,2,0,2,2,0,,8,1.39,6,0,2,0,0,0,3,0.52,3,0,0,0,0,0,0,,7,4,4,3,0,4,14,28.6,10,155,25,16.1,71,71,13,8,1,0,7,2,9,12,0,,215,15,68,127,35,11,208,9,9,100,9,0,133,700,402,18,4,2,5,4,152,131,86.2,15,,3,0,0,10,3,3,1,2,4,0,0,0,41,3,4,42.9
Sergio Agüero,ar ARG,FW,,Manchester City,UCL,2020,1988,2.2,,2,9,5,55.6,4.13,2.3,0.11,0.2,12.1,0,1,1,2.5,1.7,0.19,-0.5,-0.7,,32,50,64,409,42,23,29,79.3,9,15,60,0,0,,0,0,0,1,2,1,0,1,,49,1,0,1,13,0,4,0,0,0,0,33,12,5,6,39,2,0,1,0,1,3,5,,4,1.84,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,33,9,27.3,1,14,18,1,0,0,1,1,1,1,0,,78,1,6,28,48,22,76,5,9,55.6,6,0,56,221,116,9,3,3,4,7,119,62,52.1,27,,0,0,0,1,2,0,4,1,0,0,0,0,11,2,3,40
Manuel Akanji,ch SUI,DF,,Dortmund,UCL,2020,1995,5.8,,0,3,0,0,0.52,0,0,,24,0,0,0,0.1,0.1,0.03,-0.1,-0.1,,342,388,88.1,6313,1787,149,160,93.1,155,167,92.8,34,56,60.7,0,0,0,0,17,1,0,19,,374,14,12,0,50,11,0,0,0,0,0,322,26,40,67,301,13,2,2,1,5,5,1,,2,0.34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,2,8,1,0,2,7,28.6,5,62,18,29,40,20,2,6,4,0,2,13,22,16,0,,442,42,215,238,19,3,431,3,4,75,3,0,324,1902,987,26,6,0,4,1,335,334,99.7,2,,0,0,0,3,6,0,0,13,2,0,0,0,48,10,6,62.5
David Alaba,at AUT,DF,,Bayern Munich,UCL,2020,1992,7.5,,0,5,1,20,0.67,0.13,0,0,28,2,0,0,0.2,0.2,0.04,-0.2,-0.2,,536,593,90.4,11256,3623,159,170,93.5,289,305,94.8,83,105,79,0,1.1,-1.1,4,51,7,1,45,,579,14,9,2,70,11,4,0,0,0,0,493,38,62,500,68,13,5,0,0,5,3,7,,9,1.2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,9,4,6,3,0,6,9,66.7,3,46,9,19.6,27,17,2,7,3,1,4,2,11,18,0,,638,55,293,360,40,3,622,2,2,100,2,0,494,2804,1485,37,4,1,0,1,520,513,98.7,4,,0,0,0,4,2,0,4,2,4,0,0,1,69,8,3,72.7
Lucas Alario,ar ARG,FW,,Leverkusen,UCL,2020,1992,2.4,,0,7,2,28.6,2.94,0.84,0,0,13.1,0,0,0,0.5,0.5,0.07,-0.5,-0.5,,40,47,85.1,596,69,24,27,88.9,11,13,84.6,3,4,75,0,0,0,2,4,0,0,2,,42,5,0,0,17,0,1,0,0,0,0,33,11,3,5,38,2,0,0,0,0,0,1,,4,1.68,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,1,0,1,64,11,17.2,4,32,28,0,0,0,0,3,4,1,0,,70,2,5,34,33,11,65,2,3,66.7,2,0,52,292,80,4,1,0,6,4,105,53,50.5,20,,0,0,0,5,3,3,1,3,1,0,0,0,6,4,7,36.4
Jordi Alba,es ESP,DF,,Barcelona,UCL,2020,1989,3.9,,0,1,0,0,0.25,0,0,,27,0,0,0,0,0,0.01,0,0,,194,231,84,3369,1011,79,92,85.9,95,104,91.3,15,23,65.2,1,1.1,-0.1,6,8,3,1,13,,202,29,12,1,23,5,6,0,0,0,0,164,41,26,172,32,7,17,2,0,2,3,9,,9,2.29,9,0,0,0,0,0,1,0.25,1,0,0,0,0,0,0,,3,2,0,1,2,2,5,40,3,43,10,23.3,24,13,6,13,3,0,10,7,10,6,0,,271,17,77,142,66,6,245,1,3,33.3,1,0,162,562,286,8,3,0,1,5,202,181,89.6,10,,2,0,0,1,7,0,6,7,2,0,0,0,32,3,6,33.3
Paco Alcácer,es ESP,FW,,Dortmund,UCL,2020,1993,1.3,,0,4,0,0,3.19,0,0,,13.7,1,0,0,0.6,0.6,0.16,-0.6,-0.6,,17,24,70.8,271,55,7,10,70,9,10,90,1,2,50,1,0.4,0.6,4,3,1,0,3,,22,2,0,0,7,1,1,0,0,0,0,13,6,5,2,19,1,1,1,0,1,1,1,,4,3.19,4,0,0,0,0,0,1,0.8,1,0,0,0,0,0,0,,1,1,0,0,1,0,1,0,1,19,6,31.6,0,3,16,1,0,0,1,2,3,2,0,,34,3,4,15,15,7,31,1,1,100,1,0,19,62,12,1,0,0,1,0,44,20,45.5,8,,0,0,0,0,0,1,1,2,1,0,0,0,3,0,3,0
Thiago Alcántara,es ESP,MF,,Bayern Munich,UCL,2020,1991,9.1,,0,7,1,14.3,0.77,0.11,0,0,15,0,0,0,1.8,1.8,0.26,-1.8,-1.8,,760,832,91.3,16249,4067,247,273,90.5,358,373,96,145,173,83.8,2,1.5,0.5,16,94,11,0,74,,807,25,20,7,148,42,2,2,0,0,0,593,111,128,39,755,23,2,3,1,12,12,6,,34,3.74,29,2,1,0,0,2,8,0.88,7,1,0,0,0,0,0,,35,32,9,21,5,8,22,36.4,14,175,77,44,40,106,29,8,1,0,7,16,51,8,0,,920,21,207,608,160,10,899,17,19,89.5,17,0,652,2995,1482,71,13,1,7,6,703,686,97.6,13,,2,0,0,20,9,0,2,16,32,0,0,0,135,13,4,76.5
