Player,Nation,Pos,Secondary_Pos,Born
Ismael Aaneba,fr FRA,DF,,1999
Patrick van Aanholt,nl NED,DF,,1990
Ignazio Abate,it ITA,DF,,1986
Issah Abbas,gh GHA,FW,,1998
Yunis Abdelhamid,ma MAR,DF,,1987
Mehdi Abeid,dz ALG,MF,,1992
Charles Abi,fr FRA,FW,MF,2000
David Abraham,ar ARG,DF,,1986
Amir Abrashi,al ALB,MF,,1990
Francesco Acerbi,it ITA,DF,,1988
Afriyie Acquah,gh GHA,MF,,1992
Tyler Adams,us USA,MF,,1999
Aday,es ESP,DF,MF,1987
Khaled Adénon,bj BEN,DF,,1985
Claud Adjapong,it ITA,MF,DF,1998
Yacine Adli,fr FRA,MF,FW,2000
Ali Adnan Kadhim,iq IRQ,MF,DF,1993
Aritz Aduriz,es ESP,FW,,1981
Luis Advíncula,pe PER,DF,,1990
Martin Agirregabiria,es ESP,DF,,1996
Nayef Aguerd,ma MAR,DF,,1996
Sergio Agüero,ar ARG,FW,,1988
Ruben Aguilar,fr FRA,DF,MF,1993
Juan Aguilera,es ESP,MF,,1985
Emmanuel Agyemang-Badu,gh GHA,MF,,1990
Jean-Eudes Aholou,ci CIV,MF,,1994
Antonis Aidonis,de GER,DF,,2001
Ola Aina,ng NGA,DF,MF,1996
Youssef Aït Bennasser,ma MAR,MF,,1996
Youssef Aït Bennasser,ma MAR,MF,,1996
Rayan Aït Nouri,fr FRA,DF,,2001
Ludovic Ajorque,re REU,FW,,1994
Manuel Akanji,ch SUI,DF,,1995
Carlos Akapo,gq EQG,DF,,1993
Nathan Aké,nl NED,DF,,1995
Sergio Akieme,es ESP,DF,,1997
Chadrac Akolo,cd COD,MF,FW,1995
Kevin Akpoguma,ng NGA,DF,,1995
Kevin Akpoguma,ng NGA,DF,,1995
David Alaba,at AUT,DF,,1992
Sofiane Alakouch,fr FRA,DF,,1998
Lucas Alario,ar ARG,FW,,1992
Jordi Alba,es ESP,DF,,1989
Luis Alberto,es ESP,MF,FW,1992
Raúl Albiol,es ESP,DF,,1985
Miiko Albornoz,cl CHI,DF,MF,1990
Marc Albrighton,eng ENG,FW,MF,1989
Paco Alcácer,es ESP,FW,,1993
Pedro Alcalá,es ESP,DF,,1989
Thiago Alcántara,es ESP,MF,,1991
Rubén Alcaraz,es ESP,MF,,1991
Toby Alderweireld,be BEL,DF,,1989
Álex Alegría,es ESP,FW,MF,1992
Alexis Alegue,fr FRA,FW,,1996
Iván Alejo,es ESP,MF,FW,1995
Carles Aleñá,es ESP,MF,,1998
Alexander,ar ARG,DF,,1988
Trent Alexander-Arnold,eng ENG,DF,,1998
Rachid Alioui,ma MAR,FW,,1992
Allan,br BRA,MF,DF,1997
Allan,br BRA,MF,,1991
Dele Alli,eng ENG,MF,FW,1996
Miguel Almirón,py PAR,FW,MF,1994
Júnior Alonso,py PAR,DF,MF,1993
Marcos Alonso,es ESP,DF,,1990
Mickaël Alphonse,GPE,DF,,1989
Sergio Álvarez,es ESP,MF,DF,1992
Yeray Álvarez,es ESP,DF,,1995
Bruno Alves,pt POR,DF,,1981
Dani Alves,br BRA,MF,DF,1983
Alfons Amade,de GER,MF,,1999
Ibrahim Amadou,fr FRA,MF,DF,1993
Romain Amalfitano,fr FRA,MF,FW,1989
Daniel Amartey,gh GHA,DF,,1994
Jordi Amat,es ESP,DF,,1992
Amath,sn SEN,MF,FW,1996
Jordan Amavi,fr FRA,DF,,1994
Kelvin Amian,fr FRA,DF,,1998
Nadiem Amiri,de GER,MF,FW,1996
Yanis Ammour,fr FRA,MF,,1999
Luke Amos,eng ENG,MF,,1997
Joachim Andersen,dk DEN,DF,,1996
Felipe Anderson,br BRA,FW,MF,1993
Florin Andone,ro ROU,FW,,1993
Benjamin André,fr FRA,MF,,1990
Marco Andreolli,it ITA,DF,,1986
Marco Andreolli,it ITA,DF,,1986
Yoann Andreu,fr FRA,DF,,1989
José Ángel,es ESP,DF,,1989
Cristian Ansaldi,ar ARG,DF,MF,1986
Mirco Antenucci,it ITA,FW,,1984
Waldemar Anton,de GER,DF,,1996
Luca Antonelli,it ITA,DF,MF,1987
Mauro Antonio Burruchaga,ar ARG,MF,,1998
Michail Antonio,eng ENG,FW,MF,1990
Antoñito,es ESP,DF,MF,1987
Vitorino Antunes,pt POR,DF,,1987
Anuar,ma MAR,MF,,1995
Dennis Aogo,de GER,MF,,1987
Houssem Aouar,fr FRA,MF,,1998
Emmanuel Apeh,ng NGA,MF,,1996
Mauro Arambarri,uy URU,MF,,1995
Guilherme Arana,br BRA,MF,DF,1997
Charles Aránguiz,cl CHI,MF,,1989
Luiz Araújo,br BRA,FW,MF,1996
Néstor Araujo,mx MEX,DF,,1991
Anaitz Arbilla,es ESP,DF,,1987
Joaquín Ardaiz,uy URU,FW,,1999
Santiago Arias,co COL,DF,,1992
Lorenzo Ariaudo,it ITA,DF,,1989
Nicolò Armini,it ITA,DF,,2001
Yoël Armougom,fr FRA,DF,MF,1998
Stuart Armstrong,sco SCO,MF,FW,1992
José Arnaiz,es ESP,DF,MF,1995
Marko Arnautović,at AUT,FW,,1989
Maximilian Arnold,de GER,MF,,1994
Harry Arter,ie IRL,MF,,1989
Kwadwo Asamoah,gh GHA,DF,,1988
Takuma Asano,jp JPN,MF,FW,1994
Santiago Ascacíbar,ar ARG,MF,,1997
Marco Asensio,es ESP,FW,,1996
Iago Aspas,es ESP,FW,,1987
Simon Asta,de GER,DF,,2001
Christian Atsu,gh GHA,MF,FW,1992
Youcef Attal,dz ALG,DF,MF,1996
Pierre-Emerick Aubameyang,ga GAB,FW,,1989
Jean-Kévin Augustin,fr FRA,FW,,1997
Ludwig Augustinsson,se SWE,DF,,1994
Serge Aurier,ci CIV,DF,MF,1992
Charlie Austin,eng ENG,FW,,1989
Ezequiel Ávila,ar ARG,FW,MF,1994
Jordan Ayew,gh GHA,FW,,1991
Kaan Ayhan,tr TUR,DF,,1994
Floyd Ayité,tg TOG,FW,MF,1988
César Azpilicueta,es ESP,DF,,1989
Abdoulaye Ba,sn SEN,DF,,1991
Florian Baak,de GER,MF,,1999
Ludovic Baal,gf GUF,DF,,1986
Khouma Babacar,sn SEN,FW,,1993
Ryan Babel,nl NED,FW,,1986
Carlos Bacca,co COL,FW,,1986
Juninho Bacuna,cw CUW,MF,DF,1997
Leandro Bacuna,cw CUW,MF,DF,1991
Milan Badelj,hr CRO,MF,,1989
Holger Badstuber,de GER,DF,,1989
Stéphane Bahoken,cm CMR,FW,,1992
Daniel Baier,de GER,MF,,1984
Leon Bailey,jm JAM,FW,MF,1997
Eric Bailly,ci CIV,DF,,1994
Leighton Baines,eng ENG,DF,,1984
Marvin Bakalorz,de GER,MF,,1989
Tiemoué Bakayoko,fr FRA,MF,,1994
Ridle Baku,de GER,MF,,1998
Fabián Balbuena,py PAR,DF,,1991
Keita Baldé,sn SEN,FW,MF,1995
Gareth Bale,wal WAL,FW,,1989
Mikel Balenziaga,es ESP,DF,,1988
Andrija Balić,hr CRO,FW,MF,1997
Fodé Ballo-Touré,sn SEN,DF,,1997
Fodé Ballo-Touré,sn SEN,DF,,1997
Florent Balmont,fr FRA,MF,,1980
Leon Balogun,ng NGA,DF,,1988
Mario Balotelli,it ITA,FW,,1990
Mario Balotelli,it ITA,FW,,1990
Abdoulaye Bamba,ci CIV,DF,,1990
Jonathan Bamba,fr FRA,FW,MF,1996
Sol Bamba,ci CIV,DF,,1985
Yacine Bammou,ma MAR,FW,MF,1991
Éver Banega,ar ARG,MF,,1988
Mattia Bani,it ITA,DF,,1993
Léo Baptistão,br BRA,FW,MF,1992
Antonín Barák,cz CZE,MF,FW,1994
Federico Barba,it ITA,DF,,1993
Danilo Barbosa,br BRA,MF,,1996
Enis Bardhi,mk MKD,MF,,1995
Phil Bardsley,sco SCO,DF,,1985
Nicolò Barella,it ITA,MF,FW,1997
Philipp Bargfrede,de GER,MF,DF,1989
Antonino Barillà,it ITA,MF,,1988
Ross Barkley,eng ENG,MF,,1993
Aymen Barkok,ma MAR,MF,,1998
Ashley Barnes,eng ENG,FW,,1989
Harvey Barnes,eng ENG,FW,MF,1997
Antonio Barragán,es ESP,DF,MF,1987
Antonio Barreca,it ITA,DF,,1995
Antonio Barreca,it ITA,DF,,1995
Leandro Barreiro Martins,lu LUX,MF,,2000
Ander Barrenetxea,es ESP,FW,MF,2001
Édgar Barreto,py PAR,MF,,1984
Musa Barrow,gm GAM,FW,MF,1998
Fin Bartels,de GER,FW,,1987
Marc Bartra,es ESP,DF,,1991
Andrea Barzagli,it ITA,DF,,1981
Daniele Baselli,it ITA,MF,,1992
Toma Bašić,hr CRO,MF,,1996
Thomas Basila,fr FRA,DF,,1999
Borja Bastón,es ESP,FW,,1992
Alessandro Bastoni,it ITA,DF,,1999
Bastos,ao ANG,DF,,1991
Michy Batshuayi,be BEL,FW,,1993
Michy Batshuayi,be BEL,FW,,1993
Robert Bauer,de GER,DF,,1995
Timo Baumgartl,de GER,DF,,1996
Julian Baumgartlinger,at AUT,MF,,1988
Christoph Baumgartner,at AUT,MF,,1999
Jon Bautista,es ESP,FW,,1995
Paul Baysse,fr FRA,DF,,1988
Paul Baysse,fr FRA,DF,,1988
Noah Joel Sarenren Bazee,ng NGA,FW,,1996
