Player,Nation,Pos,Secondary_Pos,Born
Patrick van Aanholt,nl NED,DF,MF,1990.0
Ignazio Abate,it ITA,DF,,1986.0
Yunis Abdelhamid,ma MAR,DF,,1987.0
Aymen Abdennour,tn TUN,DF,,1989.0
Mehdi Abeid,dz ALG,MF,,1992.0
David Abraham,ar ARG,DF,,1986.0
Amir Abrashi,al ALB,MF,,1990.0
Francesco Acerbi,it ITA,DF,,1988.0
Geoffrey Acheampong,gh GHA,MF,,1997.0
Maxwell Acosty,gh GHA,MF,FW,1991.0
Afriyie Acquah,gh GHA,MF,,1992.0
Charlie Adam,sco SCO,MF,,1985.0
Jordan Adéoti,bj BEN,DF,,1989.0
Claud Adjapong,it ITA,DF,FW,1998.0
Ali Adnan Kadhim,iq IRQ,DF,FW,1993.0
Albert Adomah,gh GHA,DF,FW,1987.0
Luiz Adriano,br BRA,DF,FW,1987.0
Aritz Aduriz,es ESP,DF,FW,1981.0
Ibrahim Afellay,nl NED,MF,,1986.0
Akram Afif,qa QAT,MF,,1996.0
Benik Afobe,cd COD,FW,,1993.0
Sergio Agüero,ar ARG,FW,,1988.0
Dan Agyei,eng ENG,FW,,1997.0
Emmanuel Agyemang-Badu,gh GHA,MF,,1990.0
Ola Aina,ng NGA,DF,MF,1996.0
Youssef Aït Bennasser,ma MAR,MF,,1996.0
Rachid Aït-Atmane,dz ALG,MF,,1993.0
Arlind Ajeti,al ALB,DF,,1993.0
Nathan Aké,nl NED,DF,,1995.0
Jean-Daniel Akpa-Akpro,ci CIV,DF,MF,1992.0
David Alaba,at AUT,DF,,1992.0
Javi Álamo,es ESP,FW,MF,1988.0
Jordi Alba,es ESP,DF,,1989.0
Raúl Albentosa,es ESP,DF,,1988.0
Luis Alberto,es ESP,MF,FW,1992.0
Raúl Albiol,es ESP,DF,,1985.0
Marc Albrighton,eng ENG,MF,,1989.0
Paco Alcácer,es ESP,FW,,1993.0
Thiago Alcántara,es ESP,MF,,1991.0
Toby Alderweireld,be BEL,DF,,1989.0
Haitam Aleesami,no NOR,MF,DF,1991.0
Álex Alegría,es ESP,FW,,1992.0
Alexis Alegue,fr FRA,FW,,1996.0
Carles Aleñá,es ESP,MF,,1998.0
Romain Alessandrini,fr FRA,FW,MF,1989.0
Alexander,ar ARG,MF,,1988.0
Trent Alexander-Arnold,eng ENG,MF,DF,1998.0
Alexis,es ESP,DF,,1985.0
Jérémie Aliadière,fr FRA,FW,,1983.0
Sami Allagui,tn TUN,FW,MF,1986.0
Allan,br BRA,MF,,1997.0
Allan,br BRA,MF,,1991.0
Joe Allen,wal WAL,MF,,1990.0
Dele Alli,eng ENG,MF,,1996.0
Júnior Alonso,py PAR,DF,,1993.0
Marcos Alonso,es ESP,MF,,1990.0
Xabi Alonso,es ESP,MF,,1981.0
Halil Altıntop,tr TUR,MF,,1982.0
Hamit Altıntop,tr TUR,MF,,1982.0
Ricky Álvarez,ar ARG,MF,,1988.0
Sergio Álvarez,es ESP,MF,,1992.0
Víctor Álvarez,es ESP,DF,,1993.0
Yeray Álvarez,es ESP,DF,,1995.0
Bruno Alves,pt POR,DF,,1981.0
Dani Alves,br BRA,DF,MF,1983.0
Ibrahim Amadou,fr FRA,MF,,1993.0
Morgan Amalfitano,fr FRA,MF,,1985.0
Morgan Amalfitano,fr FRA,MF,FW,1985.0
Romain Amalfitano,fr FRA,MF,,1989.0
Daniel Amartey,gh GHA,MF,,1994.0
Jordi Amat,es ESP,DF,,1992.0
Kelvin Amian,fr FRA,DF,,1998.0
Nadiem Amiri,de GER,MF,FW,1996.0
Fernando Amorebieta,ve VEN,DF,,1985.0
Nordin Amrabat,ma MAR,MF,FW,1987.0
Felipe Anderson,br BRA,FW,MF,1993.0
Florin Andone,ro ROU,FW,,1993.0
Benjamin André,fr FRA,MF,,1990.0
Marco Andreolli,it ITA,DF,,1986.0
Yoann Andreu,fr FRA,DF,,1989.0
Victorien Angban,ci CIV,MF,,1996.0
Miguel Ángel Guerrero,es ESP,FW,,1990.0
José Ángel,es ESP,DF,,1989.0
Gabriele Angella,it ITA,DF,MF,1989.0
Benjamin Angoua,ci CIV,DF,,1986.0
Victor Anichebe,ng NGA,FW,MF,1988.0
