,Player,Nation,Born
0,Patrick van Aanholt,nl NED,1990.0
1,Rolando Aarons,eng ENG,1995.0
3,Ignazio Abate,it ITA,1986.0
4,Aymen Abdennour,tn TUN,1989.0
5,Aly Abeid,mr MTN,1997.0
6,Mehdi Abeid,dz ALG,1992.0
7,David Abraham,ar ARG,1986.0
8,Tammy Abraham,eng ENG,1997.0
9,Amir Abrashi,al ALB,1990.0
10,Francesco Acerbi,it ITA,1988.0
11,Afriyie Acquah,gh GHA,1992.0
12,Charlie Adam,sco SCO,1985.0
13,Aday,es ESP,1987.0
14,Khaled Adénon,bj BEN,1985.0
15,Claud Adjapong,it ITA,1998.0
16,Ali Adnan Kadhim,iq IRQ,1993.0
17,Aritz Aduriz,es ESP,1981.0
18,Ibrahim Afellay,nl NED,1986.0
19,Benik Afobe,cd COD,1993.0
20,Martin Agirregabiria,es ESP,1996.0
21,Imanol Agirretxe,es ESP,1987.0
22,Sergio Agüero,ar ARG,1988.0
23,Ruben Aguilar,fr FRA,1993.0
24,Matías Aguirregaray,uy URU,1989.0
25,Jean-Eudes Aholou,ci CIV,1994.0
26,Ailton,br BRA,1995.0
27,Youssef Aït Bennasser,ma MAR,1996.0
28,Arlind Ajeti,al ALB,1993.0
29,Manuel Akanji,ch SUI,1995.0
30,Nathan Aké,nl NED,1995.0
31,Ager Aketxe,es ESP,1993.0
32,Chadrac Akolo,cd COD,1995.0
33,Kevin Akpoguma,ng NGA,1995.0
34,David Alaba,at AUT,1992.0
35,Lucas Alario,ar ARG,1992.0
36,David Alba,es ESP,1999.0
37,Jordi Alba,es ESP,1989.0
38,Raúl Albentosa,es ESP,1988.0
39,Luis Alberto,es ESP,1992.0
40,Raúl Albiol,es ESP,1985.0
41,Miiko Albornoz,cl CHI,1990.0
42,Marc Albrighton,eng ENG,1989.0
43,Paco Alcácer,es ESP,1993.0
44,Pedro Alcalá,es ESP,1989.0
45,Thiago Alcántara,es ESP,1991.0
46,David Alcibiade,fr FRA,1991.0
47,Toby Alderweireld,be BEL,1989.0
48,Steve Aldo One,cm CMR,1995.0
49,Álex Alegría,es ESP,1992.0
50,Iván Alejo,es ESP,1995.0
51,Alexander,ar ARG,1988.0
52,Trent Alexander-Arnold,eng ENG,1998.0
53,Alexis,es ESP,1985.0
54,Allan,br BRA,1991.0
55,Joe Allen,wal WAL,1990.0
56,Dele Alli,eng ENG,1996.0
57,José Alonso Lara,es ESP,2000.0
58,Júnior Alonso,py PAR,1993.0
59,Marcos Alonso,es ESP,1990.0
60,Ricky Álvarez,ar ARG,1988.0
61,Yeray Álvarez,es ESP,1995.0
62,Dani Alves,br BRA,1983.0
63,Ibrahim Amadou,fr FRA,1993.0
64,Eloi Amagat,es ESP,1985.0
65,Morgan Amalfitano,fr FRA,1985.0
66,Romain Amalfitano,fr FRA,1989.0
67,Daniel Amartey,gh GHA,1994.0
68,Jordi Amat,es ESP,1992.0
69,Amath,sn SEN,1996.0
70,Jordan Amavi,fr FRA,1994.0
71,Stephan Ambrosius,de GER,1998.0
72,Kelvin Amian,fr FRA,1998.0
73,Nadiem Amiri,de GER,1996.0
74,Ethan Ampadu,wal WAL,2000.0
75,Nordin Amrabat,ma MAR,1987.0
77,Joachim Andersen,dk DEN,1996.0
78,Felipe Anderson,br BRA,1993.0
79,Florin Andone,ro ROU,1993.0
80,Benjamin André,fr FRA,1990.0
81,Marco Andreolli,it ITA,1986.0
82,Yoann Andreu,fr FRA,1989.0
83,Miguel Ángel Guerrero,es ESP,1990.0
84,Miguel Ángel Rubio,es ESP,1998.0
85,José Ángel,es ESP,1989.0
86,Gabriele Angella,it ITA,1989.0
87,Cristian Ansaldi,ar ARG,1986.0
88,Luca Antei,it ITA,1992.0
89,Mirco Antenucci,it ITA,1984.0
