Player,Nation,Pos,Born
Antonio Adán,es ESP,GK,1987
René Adler,de GER,GK,1985
Adrián,es ESP,GK,1987
Alisson,br BRA,GK,1992
Sergio Álvarez,es ESP,GK,1986
Jon Ander Serantes,es ESP,GK,1989
Nícolas Andrade,br BRA,GK,1988
Miguel Ángel Moyá,es ESP,GK,1984
Alphonse Areola,fr FRA,GK,1993
Kepa Arrizabalaga,es ESP,GK,1994
Sergio Asenjo,es ESP,GK,1989
Mariano Barbosa,ar ARG,GK,1984
Oliver Baumann,de GER,GK,1990
Asmir Begović,ba BIH,GK,1987
Vid Belec,si SVN,GK,1990
Vid Belec,si SVN,GK,1990
Diego Benaglio,ch SUI,GK,1983
Walter Benítez,ar ARG,GK,1993
Etrit Berisha,al ALB,GK,1989
Quentin Beunardeau,fr FRA,GK,1994
Albano Bizzarri,ar ARG,GK,1977
Rubén Blanco,es ESP,GK,1995
Landry Bonnefoi,fr FRA,GK,1983
Jean-Christophe Bouet,fr FRA,GK,1983
Yassine Bounou,ma MAR,GK,1991
Claudio Bravo,cl CHI,GK,1983
Alberto Brignoli,it ITA,GK,1991
Gianluigi Buffon,it ITA,GK,1978
Roman Bürki,ch SUI,GK,1990
Ludovic Butelle,fr FRA,GK,1983
Jack Butland,eng ENG,GK,1993
Willy Caballero,ar ARG,GK,1981
Yoan Cardinale,fr FRA,GK,1994
Kiko Casilla,es ESP,GK,1986
Koen Casteels,be BEL,GK,1992
Petr Čech,cz CZE,GK,1982
Nereo Champagne,ar ARG,GK,1985
Leandro Chichizola,ar ARG,GK,1990
Jasper Cillessen,nl NED,GK,1989
Andrea Consigli,it ITA,GK,1987
Alex Cordaz,it ITA,GK,1983
Angelo da Costa Júnior,br BRA,GK,1983
Benoît Costil,fr FRA,GK,1987
Thibaut Courtois,be BEL,GK,1992
Alessio Cragno,it ITA,GK,1994
Luca Crosta,it ITA,GK,1998
Iván Cuéllar,es ESP,GK,1984
Karl Darlow,eng ENG,GK,1990
Abdoulaye Diallo,sn SEN,GK,1992
Thomas Didillon,fr FRA,GK,1995
Marko Dmitrović,rs SRB,GK,1992
Jaume Doménech,es ESP,GK,1990
Gianluigi Donnarumma,it ITA,GK,1999
Bartłomiej Drągowski,pl POL,GK,1997
Martin Dúbravka,sk SVK,GK,1989
Maxime Dupé,fr FRA,GK,1993
Ederson,br BRA,GK,1993
Rob Elliot,ie IRL,GK,1986
Michael Esser,de GER,GK,1987
Łukasz Fabiański,pl POL,GK,1985
Ralf Fährmann,de GER,GK,1988
Andrés Fernández,es ESP,GK,1986
Raúl Fernández,es ESP,GK,1988
Fraser Forster,eng ENG,GK,1988
Ben Foster,eng ENG,GK,1983
Paulo Gazzaniga,ar ARG,GK,1992
David de Gea,es ESP,GK,1990
Rafał Gikiewicz,pl POL,GK,1987
Dani Giménez,es ESP,GK,1983
Pierluigi Gollini,it ITA,GK,1995
Heurelho Gomes,br BRA,GK,1981
Alfred Gomis,sn SEN,GK,1993
Mathieu Gorgelin,fr FRA,GK,1990
Lee Grant,eng ENG,GK,1983
Vicente Guaita,es ESP,GK,1987
Péter Gulácsi,hu HUN,GK,1990
Régis Gurtner,fr FRA,GK,1986
Ben Hamer,eng ENG,GK,1987
Samir Handanović,si SVN,GK,1984
Joe Hart,eng ENG,GK,1987
Tom Heaton,eng ENG,GK,1986
Wayne Hennessey,wal WAL,GK,1987
Iago Herrerín,es ESP,GK,1988
Marwin Hitz,ch SUI,GK,1987
Timo Horn,de GER,GK,1993
Lukáš Hrádecký,fi FIN,GK,1989
Gorka Iraizoz,es ESP,GK,1981
Eldin Jakupović,ch SUI,GK,1984
Rune Jarstein,no NOR,GK,1984
Karl-Johan Johnsson,se SWE,GK,1990
Bingourou Kamara,sn SEN,GK,1996
Loris Karius,de GER,GK,1993
Orestis Karnezis,gr GRE,GK,1985
Eiji Kawashima,jp JPN,GK,1983
Hervé Koffi,bf BFA,GK,1996
Tomáš Koubek,cz CZE,GK,1992
Maksym Koval,ua UKR,"GK,MF",1992
Thomas Kraft,de GER,GK,1988
Alban Lafont,fr FRA,GK,1999
Eugenio Lamanna,it ITA,GK,1989
Benjamin Lecomte,fr FRA,GK,1991
Bernd Leno,de GER,GK,1992
Alexandre Letellier,fr FRA,GK,1990
Raúl Lizoain,es ESP,GK,1991
Hugo Lloris,fr FRA,GK,1986
Anthony Lopes,pt POR,GK,1990
Diego López,es ESP,GK,1981
Pau López,es ESP,GK,1994
Pedro López,es ESP,GK,1995
Jonas Lössl,dk DEN,GK,1989
Andreas Luthe,de GER,GK,1987
Raïs M'Bolhi,dz ALG,GK,1986
Mike Maignan,fr FRA,GK,1995
Steve Mandanda,fr FRA,GK,1985
Gabriele Marchegiani,it ITA,GK,1996
Emiliano Martínez,ar ARG,GK,1992
Christian Mathenia,de GER,GK,1992
Alex McCarthy,eng ENG,GK,1989
Alex Meret,it ITA,GK,1997
Mathieu Michel,fr FRA,GK,1991
Simon Mignolet,be BEL,GK,1988
Vanja Milinković-Savić,rs SRB,GK,1997
Antonio Mirante,it ITA,GK,1983
Jessy Moulin,fr FRA,GK,1986
Florian Müller,de GER,GK,1997
Yvon Mvogo,ch SUI,GK,1994
Boaz Myhill,wal WAL,GK,1982
Keylor Navas,cr CRC,GK,1986
Neto,br BRA,GK,1989
Manuel Neuer,de GER,GK,1986
Alexander Nübel,de GER,GK,1996
Jan Oblak,si SVN,GK,1993
Oier Olazábal,es ESP,GK,1989
David Ospina,co COL,GK,1988
Alexandre Oukidja,dz ALG,GK,1988
Ramazan Özcan,at AUT,GK,1984
Fernando Pacheco,es ESP,GK,1992
Costel Pantilimon,ro ROU,GK,1987
Jiří Pavlenka,cz CZE,GK,1992
Gianluca Pegolo,it ITA,GK,1981
Yohann Pelé,fr FRA,GK,1982
Mattia Perin,it ITA,GK,1992
Jordan Pickford,eng ENG,GK,1994
Carlo Pinsoglio,it ITA,GK,1990
Julian Pollersbeck,de GER,GK,1994
Nick Pope,eng ENG,GK,1992
Andrés Prieto,es ESP,GK,1993
Jérôme Prior,fr FRA,GK,1995
Christian Puggioni,it ITA,GK,1981
Christian Puggioni,it ITA,GK,1981
Rafael,br BRA,GK,1982
Toño Ramírez,es ESP,GK,1986
Pepe Reina,es ESP,GK,1982
Baptiste Reynet,fr FRA,GK,1990
Sergio Rico,es ESP,GK,1993
Asier Riesgo,es ESP,GK,1983
Roberto,es ESP,GK,1986
Sergio Romero,ar ARG,GK,1987
Francesco Rossi,it ITA,GK,1991
Rubén,es ESP,GK,1984
Stéphane Ruffier,fr FRA,GK,1986
Gerónimo Rulli,ar ARG,GK,1992
Mathew Ryan,au AUS,GK,1992
Mamadou Samassa,ml MLI,GK,1990
Brice Samba,cg CGO,GK,1994
Antonio Santurro,it ITA,GK,1992
Kasper Schmeichel,dk DEN,GK,1986
Alexander Schwolow,de GER,GK,1992
Simone Scuffet,it ITA,GK,1996
Luigi Sepe,it ITA,GK,1991
Marco Silvestri,it ITA,GK,1991
Tobias Sippel,de GER,GK,1988
Salvatore Sirigu,it ITA,GK,1987
Antonio Sivera,es ESP,GK,1996
Łukasz Skorupski,pl POL,GK,1991
Yann Sommer,ch SUI,GK,1988
David Soria,es ESP,GK,1993
Stefano Sorrentino,it ITA,GK,1979
Julián Speroni,ar ARG,GK,1979
Marco Sportiello,it ITA,GK,1992
Tom Starke,de GER,GK,1981
Thomas Strakosha,al ALB,GK,1995
Danijel Subašić,hr CRO,GK,1984
Seydou Sy,sn SEN,GK,1995
Wojciech Szczęsny,pl POL,GK,1990
Ciprian Tătărușanu,ro ROU,GK,1986
Marc-André ter Stegen,de GER,GK,1992
Kevin Trapp,de GER,GK,1990
Philipp Tschauner,de GER,GK,1985
Przemysław Tytoń,pl POL,GK,1987
Sven Ulreich,de GER,GK,1988
Francis Uzoho,ng NGA,GK,1998
Koke Vegas,es ESP,GK,1995
Rémy Vercoutre,fr FRA,GK,1980
Emiliano Viviano,it ITA,GK,1985
Michel Vorm,nl NED,GK,1983
Roman Weidenfeller,de GER,GK,1980
Axel Werner,ar ARG,GK,1996
Yoel,es ESP,GK,1988
Erwin Zelazny,fr FRA,GK,1991
Robin Zentner,de GER,GK,1994
Luca Zidane,fr FRA,GK,1998
Ron-Robert Zieler,de GER,GK,1989
