,,,
Player,Nation,Pos,Born
Antonio Adán\Antonio-Adan,es ESP,GK,1987
Adrián\Adrian,es ESP,GK,1987
Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,1995
Enrico Alfonso\Enrico-Alfonso,it ITA,GK,1988
Alisson\Alisson,br BRA,GK,1992
Sergio Álvarez\Sergio-Alvarez,es ESP,GK,1986
Lorenzo Andrenacci\Lorenzo-Andrenacci,it ITA,GK,1995
Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,1984
Alphonse Areola\Alphonse-Areola,fr FRA,GK,1993
Alphonse Areola\Alphonse-Areola,fr FRA,GK,1993
Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,1994
Sergio Asenjo\Sergio-Asenjo,es ESP,GK,1989
Emil Audero\Emil-Audero,it ITA,GK,1997
Stefan Bajic\Stefan-Bajic,fr FRA,GK,2001
Oliver Baumann\Oliver-Baumann,de GER,GK,1990
Asmir Begović\Asmir-Begovic,ba BIH,GK,1987
Walter Benítez\Walter-Benitez,ar ARG,GK,1993
Etrit Berisha\Etrit-Berisha,al ALB,GK,1989
Paul Bernardoni\Paul-Bernardoni,fr FRA,GK,1997
Dimitry Bertaud\Dimitry-Bertaud,fr FRA,GK,1998
Rubén Blanco\Ruben-Blanco,es ESP,GK,1995
Yassine Bounou\Yassine-Bounou,ma MAR,GK,1991
Federico Brancolini\Federico-Brancolini,it ITA,GK,2001
Claudio Bravo\Claudio-Bravo,cl CHI,GK,1983
Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,1978
Roman Bürki\Roman-Burki,ch SUI,GK,1990
Ludovic Butelle\Ludovic-Butelle,fr FRA,GK,1983
Marcin Bułka\Marcin-Bulka,pl POL,GK,1999
Willy Caballero\Willy-Caballero,ar ARG,GK,1981
Matis Carvalho\Matis-Carvalho,pt POR,GK,1999
Koen Casteels\Koen-Casteels,be BEL,GK,1992
Churripi\Churripi,es ESP,GK,1994
Jasper Cillessen\Jasper-Cillessen,nl NED,GK,1989
Yannis Clementia\Yannis-Clementia,fr FRA,GK,1997
Simone Colombi\Simone-Colombi,it ITA,GK,1991
Andrea Consigli\Andrea-Consigli,it ITA,GK,1987
Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,1983
Benoît Costil\Benoit-Costil,fr FRA,GK,1987
Thibaut Courtois\Thibaut-Courtois,be BEL,GK,1992
Alessio Cragno\Alessio-Cragno,it ITA,GK,1994
Iván Cuéllar\Ivan-Cuellar,es ESP,GK,1984
Paul Delecroix\Paul-Delecroix,fr FRA,GK,1988
Lucas Dias\Lucas-Dias,fr FRA,GK,1999
Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,1992
Jaume Doménech\Jaume-Domenech,es ESP,GK,1990
Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,1999
Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,1997
Martin Dúbravka\Martin-Dubravka,sk SVK,GK,1989
Ederson\Ederson,br BRA,GK,1993
Aarón Escandell\Aaron-Escandell,es ESP,GK,1995
Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,1985
Fabricio\Fabricio,es ESP,GK,1987
Ralf Fährmann\Ralf-Fahrmann,de GER,GK,1988
Wladimiro Falcone\Wladimiro-Falcone,it ITA,GK,1995
Aitor Fernández\Aitor-Fernandez,es ESP,GK,1991
Andrés Fernández\Andres-Fernandez,es ESP,GK,1986
Mark Flekken\Mark-Flekken,nl NED,GK,1993
Ben Foster\Ben-Foster,eng ENG,GK,1983
Daniel Fuzato\Daniel-Fuzato,br BRA,GK,1997
Gabriel\Gabriel,br BRA,GK,1992
Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,1992
David de Gea\David-de-Gea,es ESP,GK,1990
Rafał Gikiewicz\Rafal-Gikiewicz,pl POL,GK,1987
Mauro Goicoechea\Mauro-Goicoechea,uy URU,GK,1988
Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,1995
Alfred Gomis\Alfred-Gomis,sn SEN,GK,1993
Vicente Guaita\Vicente-Guaita,es ESP,GK,1987
Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,1990
Angus Gunn\Angus-Gunn,eng ENG,GK,1996
Régis Gurtner\Regis-Gurtner,fr FRA,GK,1986
Samir Handanović\Samir-Handanovic,si SVN,GK,1984
Tom Heaton\Tom-Heaton,eng ENG,GK,1986
Dean Henderson\Dean-Henderson,eng ENG,GK,1997
Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,1987
Sergio Herrera\Sergio-Herrera,es ESP,GK,1993
Iago Herrerín\Iago-Herrerin,es ESP,GK,1988
