Player,Nation,Pos,Born
Antonio Adán,es ESP,GK,1987
Rúnar Alex Rúnarsson,is ISL,GK,1995
Alisson,br BRA,GK,1992
Bobby Allain,fr FRA,GK,1991
Sergio Álvarez,es ESP,GK,1986
Miguel Ángel Moyá,es ESP,GK,1984
Alphonse Areola,fr FRA,GK,1993
Kepa Arrizabalaga,es ESP,GK,1994
Sergio Asenjo,es ESP,GK,1989
Emil Audero,it ITA,GK,1997
Francesco Bardi,it ITA,GK,1992
Oliver Baumann,de GER,GK,1990
Asmir Begović,ba BIH,GK,1987
Diego Benaglio,ch SUI,GK,1983
Walter Benítez,ar ARG,GK,1993
Etrit Berisha,al ALB,GK,1989
Paul Bernardoni,fr FRA,GK,1997
Dimitry Bertaud,fr FRA,GK,1998
Marcus Bettinelli,eng ENG,GK,1992
Rubén Blanco,es ESP,GK,1995
Artur Boruc,pl POL,GK,1980
Zacharie Boucher,fr FRA,GK,1992
Yassine Bounou,ma MAR,GK,1991
Fabian Bredlow,de GER,GK,1995
Gianluigi Buffon,it ITA,GK,1978
Roman Bürki,ch SUI,GK,1990
Ludovic Butelle,fr FRA,GK,1983
David Button,eng ENG,GK,1989
Willy Caballero,ar ARG,GK,1981
Rafael Cabral,br BRA,GK,1990
Marc-Aurèle Caillard,fr FRA,GK,1994
Yoan Cardinale,fr FRA,GK,1994
Koen Casteels,be BEL,GK,1992
Petr Čech,cz CZE,GK,1982
Leandro Chichizola,ar ARG,GK,1990
Jasper Cillessen,nl NED,GK,1989
Joel Coleman,eng ENG,GK,1995
Andrea Consigli,it ITA,GK,1987
Benoît Costil,fr FRA,GK,1987
Thibaut Courtois,be BEL,GK,1992
Alessio Cragno,it ITA,GK,1994
Iván Cuéllar,es ESP,GK,1984
Abdoulaye Diallo,sn SEN,GK,1992
Javier Díaz,es ESP,GK,1997
Stole Dimitrievski,mk MKD,GK,1993
Marko Dmitrović,rs SRB,GK,1992
Jaume Doménech,es ESP,GK,1990
