Player,Nation,Born
Antonio Adán,es ESP,1987
René Adler,de GER,1985
Adrián,es ESP,1987
Ryan Allsop,eng ENG,1992
Sergio Álvarez,es ESP,1986
Diego Alves,br BRA,1985
Jon Ander Serantes,es ESP,1989
Miguel Ángel Moyá,es ESP,1984
Markel Areitio,es ESP,1996
Alphonse Areola,fr FRA,1993
Kepa Arrizabalaga,es ESP,1994
Sergio Asenjo,es ESP,1989
Emil Audero,it ITA,1997
Loic Badiashile,fr FRA,1998
Diego Barrios,es ESP,1994
Oliver Baumann,de GER,1990
Asmir Begović,ba BIH,1987
Diego Benaglio,ch SUI,1983
Walter Benítez,ar ARG,1993
Etrit Berisha,al ALB,1989
Albano Bizzarri,ar ARG,1977
Rubén Blanco,es ESP,1995
Artur Boruc,pl POL,1980
Denys Boyko,ua UKR,1988
Claudio Bravo,cl CHI,1983
Alberto Brignoli,it ITA,1991
Gianluigi Buffon,it ITA,1978
Roman Bürki,ch SUI,1990
Jack Butland,eng ENG,1993
Willy Caballero,ar ARG,1981
Rafael Cabral,br BRA,1990
Yoan Cardinale,fr FRA,1994
Cédric Carrasso,fr FRA,1981
Kiko Casilla,es ESP,1986
Koen Casteels,be BEL,1992
Joel Castro Pereira,pt POR,1996
Petr Čech,cz CZE,1982
Nereo Champagne,ar ARG,1985
Paul Charruau,fr FRA,1993
Sergei Chernik,by BLR,1988
Jasper Cillessen,nl NED,1989
Fabio Coltorti,ch SUI,1980
Andrea Consigli,it ITA,1987
Alex Cordaz,it ITA,1983
Angelo da Costa Júnior,br BRA,1983
Benoît Costil,fr FRA,1987
Thibaut Courtois,be BEL,1992
Luca Crosta,it ITA,1998
Iván Cuéllar,es ESP,1984
Morgan De Sanctis,it ITA,1977
Paul Delecroix,fr FRA,1988
Thomas Didillon,fr FRA,1995
Jaume Doménech,es ESP,1990
Gianluigi Donnarumma,it ITA,1999
Bartłomiej Drągowski,pl POL,1997
Matthieu Dreyer,fr FRA,1989
Jaroslav Drobný,cz CZE,1979
Maxime Dupé,fr FRA,1993
Vincent Enyeama,ng NGA,1982
Michael Esser,de GER,1987
Łukasz Fabiański,pl POL,1985
Ralf Fährmann,de GER,1988
Adam Federici,au AUS,1985
Álvaro Fernández,es ESP,1998
Andrés Fernández,es ESP,1986
Mario Fernández,es ESP,1988
Marco Festa,it ITA,1992
Vincenzo Fiorillo,it ITA,1990
Fraser Forster,eng ENG,1988
Ben Foster,eng ENG,1983
Andrea Fulignati,it ITA,1994
Gabriel,br BRA,1992
David de Gea,es ESP,1990
Dani Giménez,es ESP,1983
Shay Given,ie IRL,1976
Mauro Goicoechea,uy URU,1988
Pierluigi Gollini,it ITA,1995
Heurelho Gomes,br BRA,1981
Mathieu Gorgelin,fr FRA,1990
Lee Grant,eng ENG,1983
Théo Guivarch,fr FRA,1995
Péter Gulácsi,hu HUN,1990
Brad Guzan,us USA,1984
Samir Handanović,si SVN,1984
Martin Hansen,dk DEN,1990
Joe Hart,eng ENG,1987
Tom Heaton,eng ENG,1986
Wayne Hennessey,wal WAL,1987
Iago Herrerín,es ESP,1988
Daniel Heuer Fernandes,pt POR,1992
Marwin Hitz,ch SUI,1987
Timo Horn,de GER,1993
Lukáš Hrádecký,fi FIN,1989
Jannik Huth,de GER,1994
Gorka Iraizoz,es ESP,1981
Eldin Jakupović,ch SUI,1984
Rune Jarstein,no NOR,1984
Karl-Johan Johnsson,se SWE,1990
Geoffrey Jourdren,fr FRA,1986
Carlos Kameni,cm CMR,1984
Loris Karius,de GER,1993
Orestis Karnezis,gr GRE,1985
Eiji Kawashima,jp JPN,1983
Thomas Kessler,de GER,1986
Alban Lafont,fr FRA,1999
Eugenio Lamanna,it ITA,1989
Jean-Louis Leca,fr FRA,1985
Benjamin Lecomte,fr FRA,1991
Bernd Leno,de GER,1992
Benjamin Leroy,fr FRA,1989
Alexandre Letellier,fr FRA,1990
Luca Lezzerini,it ITA,1995
Heinz Lindner,at AUT,1990
Raúl Lizoain,es ESP,1991
Hugo Lloris,fr FRA,1986
Anthony Lopes,pt POR,1990
Diego López,es ESP,1981
Jonas Lössl,dk DEN,1989
Andreas Luthe,de GER,1987
Germán Lux,ar ARG,1982
Mike Maignan,fr FRA,1995
Anthony Maisonnial,fr FRA,1998
Steve Mandanda,fr FRA,1985
Vito Mannone,it ITA,1988
Federico Marchetti,it ITA,1983
Diego Mariño,es ESP,1990
David Marshall,sco SCO,1985
Emiliano Martínez,ar ARG,1992
Christian Mathenia,de GER,1992
Mathieu Michel,fr FRA,1991
Tom Mickel,de GER,1989
Simon Mignolet,be BEL,1988
Antonio Mirante,it ITA,1983
Jessy Moulin,fr FRA,1986
Sven Müller,de GER,1996
Guy N'dy Assembé,cm CMR,1986
Keylor Navas,cr CRC,1986
Neto,br BRA,1989
Manuel Neuer,de GER,1986
Kristoffer Nordfeldt,se SWE,1989
Ørjan Nyland,no NOR,1990
David Oberhauser,fr FRA,1990
Jan Oblak,si SVN,1993
Guillermo Ochoa,mx MEX,1985
Adrián Ortolá,es ESP,1993
David Ospina,co COL,1988
Juan Pablo Carrizo,ar ARG,1984
Fernando Pacheco,es ESP,1992
Daniele Padelli,it ITA,1985
Costel Pantilimon,ro ROU,1987
Alberto Pelagotti,it ITA,1989
Yohann Pelé,fr FRA,1982
Nauzet Pérez,es ESP,1985
Mattia Perin,it ITA,1992
Denis Petrić,rs SRB,1988
Jordan Pickford,eng ENG,1994
Laurent Pionnier,fr FRA,1982
Josip Posavec,hr CRO,1996
Jérôme Prior,fr FRA,1995
Christian Puggioni,it ITA,1981
Rafael,br BRA,1982
Darren Randolph,ie IRL,1987
Pepe Reina,es ESP,1982
Paul Reulet,fr FRA,1994
Baptiste Reynet,fr FRA,1990
Sergio Rico,es ESP,1993
Asier Riesgo,es ESP,1983
Rémy Riou,fr FRA,1987
Roberto,es ESP,1986
Paul Robinson,eng ENG,1979
Joel Robles,es ESP,1990
Davy Roef,be BEL,1994
Sergio Romero,ar ARG,1987
Rubinho,br BRA,1982
Stéphane Ruffier,fr FRA,1986
Gerónimo Rulli,ar ARG,1992
Mathew Ryan,au AUS,1992
Romain Salin,fr FRA,1984
Kasper Schmeichel,dk DEN,1986
Alexander Schwolow,de GER,1992
Simone Scuffet,it ITA,1996
Andrea Seculin,it ITA,1990
Salvatore Sirigu,it ITA,1987
Łukasz Skorupski,pl POL,1991
Yann Sommer,ch SUI,1988
David Soria,es ESP,1993
Stefano Sorrentino,it ITA,1979
Marco Sportiello,it ITA,1992
Tom Starke,de GER,1981
Maarten Stekelenburg,nl NED,1982
Marco Storari,it ITA,1977
Thomas Strakosha,al ALB,1995
Danijel Subašić,hr CRO,1984
Seydou Sy,sn SEN,1995
Wojciech Szczęsny,pl POL,1990
Ciprian Tătărușanu,ro ROU,1986
Marc-André ter Stegen,de GER,1992
Alexis Thébaux,fr FRA,1985
Kevin Trapp,de GER,1990
Przemysław Tytoń,pl POL,1987
Sven Ulreich,de GER,1988
Víctor Valdés,es ESP,1982
Javi Varas,es ESP,1982
Ivan Vargić,hr CRO,1987
Rémy Vercoutre,fr FRA,1980
Iván Villar,es ESP,1997
Thomas Vincensini,fr FRA,1993
Emiliano Viviano,it ITA,1985
Michel Vorm,nl NED,1983
Roman Weidenfeller,de GER,1980
Felix Wiedwald,de GER,1990
Yoel,es ESP,1988
Ron-Robert Zieler,de GER,1989
Rúnar Alex Rúnarsson,is ISL,1995
Alisson,br BRA,1992
Bobby Allain,fr FRA,1991
Francesco Bardi,it ITA,1992
Paul Bernardoni,fr FRA,1997
