,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Igor Akinfeev\Igor-Akinfeev,ru RUS,GK,ru CSKA Moscow,30,1986,6,6,540,6.0,11,1.83,40,29,72.5,0,3,3,0,0.0,0,0,0,0,,Matches
2,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,es Atlético Madrid,32,1984,1,1,90,1.0,2,2.00,5,3,60.0,1,0,0,0,0.0,0,0,0,0,,Matches
3,Alphonse Areola\Alphonse-Areola,fr FRA,GK,fr Paris S-G,23,1993,6,6,540,6.0,7,1.17,13,6,53.8,3,3,0,1,16.7,2,1,1,0,50.0,Matches
4,Milan Borjan\Milan-Borjan,ca CAN,GK,bg Ludogorets,28,1987,1,1,90,1.0,3,3.00,4,1,25.0,0,0,1,0,0.0,0,0,0,0,,Matches
5,Claudio Bravo\Claudio-Bravo,cl CHI,GK,eng Manchester City,33,1983,4,4,323,3.6,5,1.39,12,7,58.3,1,2,1,1,25.0,1,0,1,0,100.0,Matches
6,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,it Juventus,38,1978,12,12,1080,12.0,7,0.58,27,20,74.1,8,3,1,8,66.7,1,0,1,0,100.0,Matches
7,Roman Bürki\Roman-Burki,ch SUI,GK,de Dortmund,25,1990,8,8,720,8.0,10,1.25,27,17,63.0,4,1,3,3,37.5,1,0,0,1,,Matches
8,Ludovic Butelle\Ludovic-Butelle,fr FRA,GK,be Club Brugge,33,1983,6,6,540,6.0,14,2.33,45,31,75.6,0,0,6,0,0.0,5,3,1,1,25.0,Matches
9,Willy Caballero\Willy-Caballero,ar ARG,GK,eng Manchester City,34,1981,5,4,393,4.4,11,2.52,23,12,52.2,2,1,1,0,0.0,1,0,1,0,100.0,Matches
10,Kiko Casilla\Kiko-Casilla,es ESP,GK,es Real Madrid,29,1986,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,0,0,0,0,,Matches
11,Iker Casillas\Iker-Casillas,es ESP,GK,pt Porto,35,1981,8,8,720,8.0,6,0.75,21,15,76.2,3,2,3,3,37.5,1,1,0,0,0.0,Matches
12,Radosław Cierzniak\Radoslaw-Cierzniak,pl POL,GK,pl Legia Warsaw,33,1983,1,1,90,1.0,8,8.00,9,1,11.1,0,0,1,0,0.0,0,0,0,0,,Matches
13,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,es Barcelona,27,1989,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
14,Morgan De Sanctis\Morgan-De-Sanctis,it ITA,GK,fr Monaco,39,1977,1,1,90,1.0,3,3.00,7,4,57.1,0,0,1,0,0.0,1,0,0,1,,Matches
15,Soslan Dzhanayev\Soslan-Dzhanayev,ru RUS,GK,ru Rostov,29,1987,6,6,540,6.0,12,2.00,40,28,72.5,1,2,3,1,16.7,2,1,1,0,50.0,Matches
16,Ederson\Ederson,br BRA,GK,pt Benfica,22,1993,7,7,630,7.0,10,1.43,34,24,73.5,3,2,2,3,42.9,3,1,2,0,66.7,Matches
17,Craig Gordon\Craig-Gordon,sco SCO,GK,sco Celtic,33,1982,5,5,450,5.0,9,1.80,26,17,69.2,0,3,2,0,0.0,1,1,0,0,0.0,Matches
18,Ben Hamer\Ben-Hamer,eng ENG,GK,eng Leicester City,28,1987,1,1,90,1.0,5,5.00,8,3,50.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
19,Bernd Leno\Bernd-Leno,de GER,GK,de Leverkusen,24,1992,7,7,630,7.0,8,1.14,24,16,75.0,1,5,1,3,42.9,2,2,0,0,0.0,Matches
20,Dominik Livaković\Dominik-Livakovic,hr CRO,GK,hr Dinamo Zagreb,21,1995,4,4,360,4.0,8,2.00,34,26,76.5,0,0,4,0,0.0,0,0,0,0,,Matches
21,Hugo Lloris\Hugo-Lloris,fr FRA,GK,eng Tottenham,29,1986,6,6,540,6.0,6,1.00,26,20,76.9,2,1,3,2,33.3,1,0,1,0,100.0,Matches
22,Anthony Lopes\Anthony-Lopes,pt POR,GK,fr Lyon,25,1990,6,6,540,6.0,3,0.50,20,17,90.0,2,2,2,3,50.0,2,1,0,1,0.0,Matches
23,Arkadiusz Malarz\Arkadiusz-Malarz,pl POL,GK,pl Legia Warsaw,36,1980,5,5,450,5.0,16,3.20,46,30,65.2,1,1,3,1,20.0,0,0,0,0,,Matches
24,Keylor Navas\Keylor-Navas,cr CRC,GK,es Real Madrid,29,1986,12,12,1110,12.3,17,1.38,50,33,74.0,8,3,1,1,8.3,5,4,0,1,0.0,Matches
25,Neto\Neto,br BRA,GK,it Juventus,27,1989,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
26,Manuel Neuer\Manuel-Neuer,de GER,GK,de Bayern Munich,30,1986,9,9,840,9.3,11,1.18,48,37,77.1,6,0,3,2,22.2,2,0,1,1,100.0,Matches
27,Jan Oblak\Jan-Oblak,si SVN,GK,es Atlético Madrid,23,1993,11,11,990,11.0,7,0.64,48,41,85.4,7,2,2,6,54.5,1,0,1,0,100.0,Matches
28,Robin Olsen\Robin-Olsen,se SWE,GK,dk FC Copenhagen,26,1990,6,6,540,6.0,2,0.33,16,14,87.5,2,3,1,4,66.7,0,0,0,0,,Matches
29,David Ospina\David-Ospina,co COL,GK,eng Arsenal,27,1988,8,8,720,8.0,16,2.00,40,24,62.5,4,2,2,1,12.5,1,1,0,0,0.0,Matches
30,Ramazan Özcan\Ramazan-Ozcan,at AUT,GK,de Leverkusen,32,1984,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
31,Remko Pasveer\Remko-Pasveer,nl NED,GK,nl PSV Eindhoven,32,1983,1,1,90,1.0,7,7.00,12,5,50.0,0,0,1,1,100.0,1,1,0,0,0.0,Matches
32,Rui Patrício\Rui-Patricio,pt POR,GK,pt Sporting CP,28,1988,6,6,540,6.0,8,1.33,19,11,57.9,1,0,5,1,16.7,0,0,0,0,,Matches
33,Pepe Reina\Pepe-Reina,es ESP,GK,it Napoli,33,1982,8,8,720,8.0,14,1.75,24,10,45.8,3,2,3,1,12.5,1,1,0,0,0.0,Matches
34,Sergio Rico\Sergio-Rico,es ESP,GK,es Sevilla,22,1993,8,8,720,8.0,6,0.75,26,20,80.8,4,2,2,5,62.5,1,1,0,0,0.0,Matches
35,Artur Rudko\Artur-Rudko,ua UKR,GK,ua Dynamo Kyiv,24,1992,5,5,450,5.0,4,0.80,19,15,89.5,1,2,2,2,40.0,2,2,0,0,0.0,Matches
36,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,eng Leicester City,29,1986,8,8,720,8.0,4,0.50,31,27,90.3,4,2,2,5,62.5,3,1,2,0,66.7,Matches
37,Adrian Šemper\Adrian-Semper,hr CRO,GK,hr Dinamo Zagreb,18,1998,2,2,180,2.0,7,3.50,16,9,56.3,0,0,2,0,0.0,0,0,0,0,,Matches
38,Oleksandr Shovkovskiy\Oleksandr-Shovkovskiy,ua UKR,GK,ua Dynamo Kyiv,41,1975,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,,,,,,Matches
39,Yann Sommer\Yann-Sommer,ch SUI,GK,de M'Gladbach,27,1988,6,6,540,6.0,12,2.00,38,26,73.7,1,2,3,1,16.7,2,2,0,0,0.0,Matches
40,Vladislav Stoyanov\Vladislav-Stoyanov,bg BUL,GK,bg Ludogorets,29,1987,5,5,450,5.0,12,2.40,36,24,66.7,0,3,2,1,20.0,0,0,0,0,,Matches
41,Danijel Subašić\Danijel-Subasic,hr CRO,GK,fr Monaco,31,1984,11,11,990,11.0,17,1.55,49,32,67.3,6,2,3,1,9.1,1,1,0,0,0.0,Matches
42,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,es Barcelona,24,1992,9,9,810,9.0,12,1.33,41,29,70.7,5,1,3,4,44.4,1,0,1,0,100.0,Matches
43,Kevin Trapp\Kevin-Trapp,de GER,GK,fr Paris S-G,26,1990,2,2,180,2.0,2,1.00,8,6,100.0,1,0,1,1,50.0,2,2,0,0,0.0,Matches
44,Sven Ulreich\Sven-Ulreich,de GER,GK,de Bayern Munich,27,1988,1,1,90,1.0,1,1.00,4,3,100.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
45,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,ch Basel,27,1989,6,6,540,6.0,12,2.00,30,18,63.3,0,2,4,1,16.7,1,1,0,0,0.0,Matches
46,Dorus de Vries\Dorus-de-Vries,nl NED,GK,sco Celtic,35,1980,1,1,90,1.0,7,7.00,9,2,22.2,0,0,1,0,0.0,0,0,0,0,,Matches
47,Roman Weidenfeller\Roman-Weidenfeller,de GER,GK,de Dortmund,35,1980,2,2,180,2.0,6,3.00,15,9,60.0,1,1,0,0,0.0,0,0,0,0,,Matches
48,Tolga Zengin\Tolga-Zengin,tr TUR,GK,tr Beşiktaş,32,1983,1,1,90,1.0,1,1.00,6,5,83.3,0,1,0,0,0.0,0,0,0,0,,Matches
49,Ron-Robert Zieler\Ron-Robert-Zieler,de GER,GK,eng Leicester City,27,1989,1,1,90,1.0,1,1.00,3,2,66.7,1,0,0,0,0.0,0,0,0,0,,Matches
50,Jeroen Zoet\Jeroen-Zoet,nl NED,GK,nl PSV Eindhoven,25,1991,5,5,450,5.0,9,1.80,27,18,66.7,0,2,3,1,20.0,0,0,0,0,,Matches
