,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Igor Akinfeev\Igor-Akinfeev,ru RUS,GK,ru CSKA Moscow,33,1986,5,5,450,5.0,9,1.80,22,13,63.6,0,2,3,1,20.0,1,1,0,0,0.0,Matches
2,Bobby Allain\Bobby-Allain,fr FRA,GK,gr Olympiacos,27,1991,1,1,90,1.0,1,1.00,3,3,100.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
3,Giedrius Arlauskis\Giedrius-Arlauskis,lt LTU,GK,ro CFR Cluj,31,1987,8,8,720,8.0,5,0.62,33,28,84.8,4,2,2,4,50.0,1,0,0,1,,Matches
4,David von Ballmoos\David-von-Ballmoos,ch SUI,GK,ch Young Boys,24,1994,6,6,540,6.0,7,1.17,28,22,78.6,2,2,2,1,16.7,1,1,0,0,0.0,Matches
5,Noam Baumann\Noam-Baumann,ch SUI,GK,ch Lugano,23,1996,5,5,450,5.0,4,0.80,9,5,66.7,0,2,3,2,40.0,1,1,0,0,0.0,Matches
6,Asmir Begović\Asmir-Begovic,ba BIH,GK,az Qarabağ Ağdam,32,1987,5,5,450,5.0,10,2.00,20,11,50.0,1,1,3,0,0.0,0,0,0,0,,Matches
7,Vid Belec\Vid-Belec,si SVN,GK,cy APOEL,29,1990,7,7,630,7.0,11,1.57,32,21,65.6,3,1,3,2,28.6,1,0,0,1,,Matches
8,Marco Bizot\Marco-Bizot,nl NED,GK,nl AZ Alkmaar,28,1991,8,8,720,8.0,11,1.37,26,18,69.2,2,4,2,3,37.5,3,3,0,0,0.0,Matches
9,Arnaud Bodart\Arnaud-Bodart,be BEL,GK,be Standard Liège,21,1998,3,3,270,3.0,4,1.33,19,15,78.9,1,2,0,0,0.0,0,0,0,0,,Matches
10,Pépé Bonet\Pepe-Bonet,fr FRA,GK,fr Rennes,16,2003,1,0,83,0.9,1,1.08,3,2,66.7,0,0,0,0,,0,0,0,0,,Matches
11,Yassine Bounou\Yassine-Bounou,ma MAR,GK,es Sevilla,28,1991,10,10,900,10.0,6,0.60,27,23,85.2,8,1,1,6,60.0,3,2,1,0,33.3,Matches
12,Denys Boyko\Denys-Boyko,ua UKR,GK,ua Dynamo Kyiv,31,1988,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
13,Heorhiy Bushchan\Heorhiy-Bushchan,ua UKR,GK,ua Dynamo Kyiv,25,1994,5,5,450,5.0,7,1.40,17,10,58.8,0,4,1,1,20.0,0,0,0,0,,Matches
14,Uğurcan Çakır\Ugurcan-Cakir,tr TUR,GK,tr Trabzonspor,23,1996,3,3,270,3.0,5,1.67,9,4,44.4,0,1,2,0,0.0,0,0,0,0,,Matches
15,Eduardo Carvalho\Eduardo-Carvalho,pt POR,GK,pt Braga,36,1982,3,3,270,3.0,6,2.00,9,4,33.3,1,2,0,0,0.0,1,0,1,0,100.0,Matches
16,Koen Casteels\Koen-Casteels,be BEL,GK,de Wolfsburg,27,1992,5,5,450,5.0,6,1.20,18,12,72.2,3,0,2,2,40.0,2,1,1,0,50.0,Matches
17,Leandro Chichizola\Leandro-Chichizola,ar ARG,GK,es Getafe,29,1990,5,5,450,5.0,4,0.80,11,7,63.6,3,0,2,2,40.0,0,0,0,0,,Matches
18,David Da Costa\David-Da-Costa,ch SUI,GK,ch Lugano,33,1986,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Matches
19,Johan Dahlin\Johan-Dahlin,se SWE,GK,se Malmö,32,1986,8,8,720,8.0,11,1.37,32,22,65.6,3,2,3,2,25.0,0,0,0,0,,Matches
20,Dénes Dibusz\Denes-Dibusz,hu HUN,GK,hu Ferencváros,28,1990,6,6,540,6.0,7,1.17,27,20,74.1,1,4,1,2,33.3,0,0,0,0,,Matches
