,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
1,Toni Dovale\Toni-Dovale,es ESP,DFMF,Leganés,es La Liga,26,1990,0,,,,,0,,0,0,,3,,,,,,,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DFMF,Crystal Palace,eng Premier League,25,1990,11,714,65,20.9,7.9,8,,5,3,,1,1.45,7,14,-7,-0.88,-0.68,Matches
3,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DFMF,Sunderland,eng Premier League,25,1990,21,1784,85,52.2,19.8,20,,19,1,,0,0.71,20,39,-19,-0.96,+0.20,Matches
4,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,29,1986,23,1924,84,56.3,21.4,22,,20,1,,3,1.87,34,24,+10,+0.47,+0.35,Matches
5,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Dijon,fr Ligue 1,28,1987,18,1314,73,38.4,14.6,15,,13,3,,9,1.00,18,23,-5,-0.34,-0.04,Matches
6,Aymen Abdennour\Aymen-Abdennour,tn TUN,DF,Valencia,es La Liga,26,1989,13,882,68,25.8,9.8,9,,7,4,,11,0.92,15,19,-4,-0.41,-0.23,Matches
7,Nura Abdullahi\Nura-Abdullahi,ng NGA,DF,Roma,it Serie A,18,1997,0,,,,,0,,0,0,,1,,,,,,,Matches
8,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,fr Ligue 1,23,1992,28,2374,85,69.4,26.4,27,,23,1,,0,1.07,34,39,-5,-0.19,+0.41,Matches
9,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,30,1986,30,2584,86,84.4,28.7,30,,28,0,,0,1.40,32,31,+1,+0.03,+1.55,Matches
10,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,26,1990,20,1320,66,43.1,14.7,16,,10,4,,12,1.40,15,26,-11,-0.75,-0.39,Matches
11,Marco Acatullo\Marco-Acatullo,it ITA,FW,Pescara,it Serie A,18,1998,0,,,,,0,,0,0,,1,,,,,,,Matches
