Player,Nation,Pos,Squad,Comp,Born,matches_played,minutes_played,minutes_per_match_played,minutes_played_percent,90s_played,starts,minutes_per_starts,completed_matches,sub_played,minutes_per_sub,unused_sub,points_per_match,team_goals_scored_while_playing,team_goals_against_while_playing,plus_minus_goals_while_playing,plus_minus_goals_while_playing_per_90,net_goals_playing_per_90,season,expected_team_goals_while_playing,expected_team_goals_against_while_playing,xg_difference_while_playing,xg_difference_while_playing_per_90,net_xg_difference
Toni Dovale,es ESP,DFMF,Leganés,es La Liga,1990.0,0,,,,,0,,0.0,0,,3,,,,,,,2017,,,,,
Patrick van Aanholt,nl NED,DFMF,Crystal Palace,eng Premier League,1990.0,11,714.0,65.0,20.9,7.9,8,,5.0,3,,1,1.45,7.0,14.0,-7.0,-0.88,-0.68,2017,,,,,
Patrick van Aanholt,nl NED,DFMF,Sunderland,eng Premier League,1990.0,21,1784.0,85.0,52.2,19.8,20,,19.0,1,,0,0.71,20.0,39.0,-19.0,-0.96,0.2,2017,,,,,
Ignazio Abate,it ITA,DF,Milan,it Serie A,1986.0,23,1924.0,84.0,56.3,21.4,22,,20.0,1,,3,1.87,34.0,24.0,10.0,0.47,0.35,2017,,,,,
Yunis Abdelhamid,ma MAR,DF,Dijon,fr Ligue 1,1987.0,18,1314.0,73.0,38.4,14.6,15,,13.0,3,,9,1.0,18.0,23.0,-5.0,-0.34,-0.04,2017,,,,,
Aymen Abdennour,tn TUN,DF,Valencia,es La Liga,1989.0,13,882.0,68.0,25.8,9.8,9,,7.0,4,,11,0.92,15.0,19.0,-4.0,-0.41,-0.23,2017,,,,,
Nura Abdullahi,ng NGA,DF,Roma,it Serie A,1997.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,1992.0,28,2374.0,85.0,69.4,26.4,27,,23.0,1,,0,1.07,34.0,39.0,-5.0,-0.19,0.41,2017,,,,,
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,1986.0,30,2584.0,86.0,84.4,28.7,30,,28.0,0,,0,1.4,32.0,31.0,1.0,0.03,1.55,2017,,,,,
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,1990.0,20,1320.0,66.0,43.1,14.7,16,,10.0,4,,12,1.4,15.0,26.0,-11.0,-0.75,-0.39,2017,,,,,
Marco Acatullo,it ITA,FW,Pescara,it Serie A,1998.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,1988.0,38,3420.0,90.0,100.0,38.0,38,,38.0,0,,0,1.21,60.0,61.0,-1.0,-0.03,,2017,,,,,
Geoffrey Acheampong,gh GHA,MF,Bastia,fr Ligue 1,1997.0,2,12.0,6.0,0.4,0.1,0,,0.0,2,,8,0.0,0.0,1.0,-1.0,-7.5,-6.87,2017,,,,,
Maxwell Acosty,gh GHA,MFFW,Crotone,it Serie A,1991.0,11,378.0,34.0,11.1,4.2,3,,1.0,8,,7,1.18,2.0,6.0,-4.0,-0.95,-0.36,2017,,,,,
Afriyie Acquah,gh GHA,MF,Torino,it Serie A,1992.0,20,1077.0,54.0,31.5,12.0,13,,6.0,7,,10,1.5,21.0,24.0,-3.0,-0.25,-0.56,2017,,,,,
Charlie Adam,sco SCO,MF,Stoke City,eng Premier League,1985.0,24,1517.0,63.0,44.4,16.9,17,,7.0,7,,14,1.29,20.0,23.0,-3.0,-0.18,0.39,2017,,,,,
Tosin Adarabioyo,eng ENG,DF,Manchester City,eng Premier League,1997.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Jordan Adéoti,bj BEN,DF,Caen,fr Ligue 1,1989.0,27,2120.0,79.0,62.0,23.6,23,,21.0,4,,5,0.89,25.0,41.0,-16.0,-0.68,0.22,2017,,,,,
Claud Adjapong,it ITA,DFFW,Sassuolo,it Serie A,1998.0,9,510.0,57.0,14.9,5.7,6,,3.0,3,,24,1.22,13.0,16.0,-3.0,-0.53,-0.47,2017,,,,,
