,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
1,Anicet Abel\Anicet-Abel,mg MAD,MF,bg Ludogorets,26,1990,6,540,90,100.0,6.0,6,,6,0,,0,1.33,6,15,-9,-1.50,,Matches
2,Vincent Aboubakar\Vincent-Aboubakar,cm CMR,FW,tr Beşiktaş,24,1992,6,492,82,91.1,5.5,6,,3,0,,0,1.17,8,12,-4,-0.73,+1.14,Matches
3,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,eng Manchester City,18,1997,1,90,90,12.5,1.0,1,,1,0,,0,2.00,1,1,0,0.00,-0.57,Matches
4,Adriano\Adriano,br BRA,MFDF,tr Beşiktaş,31,1984,6,471,79,87.2,5.2,6,,3,0,,0,1.17,7,14,-7,-1.34,-3.95,Matches
5,Sergio Agüero\Sergio-Aguero,ar ARG,FW,eng Manchester City,28,1988,7,541,77,75.1,6.0,6,,4,1,,1,1.75,16,12,+4,+0.67,+0.67,Matches
6,Igor Akinfeev\Igor-Akinfeev,ru RUS,GK,ru CSKA Moscow,30,1986,6,540,90,100.0,6.0,6,,6,0,,0,0.50,5,11,-6,-1.00,,Matches
7,David Alaba\David-Alaba,at AUT,DF,de Bayern Munich,24,1992,9,840,93,90.3,9.3,9,,9,0,,1,2.00,25,11,+14,+1.50,+2.50,Matches
8,Jordi Alba\Jordi-Alba,es ESP,DF,es Barcelona,27,1989,6,436,73,48.4,4.8,6,,4,0,,3,2.17,11,5,+6,+1.24,-0.31,Matches
9,Raúl Albiol\Raul-Albiol,es ESP,DF,it Napoli,30,1985,6,461,77,64.0,5.1,6,,5,0,,0,1.67,6,8,-2,-0.39,-0.74,Matches
10,Marc Albrighton\Marc-Albrighton,eng ENG,MF,eng Leicester City,26,1989,9,750,83,83.3,8.3,8,,6,1,,1,1.78,11,7,+4,+0.48,+2.28,Matches
11,Paco Alcácer\Paco-Alcacer,es ESP,FW,es Barcelona,22,1993,3,176,59,19.6,2.0,2,,1,1,,7,2.33,4,1,+3,+1.53,+0.17,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,de Bayern Munich,25,1991,9,786,87,84.5,8.7,9,,6,0,,0,1.67,22,13,+9,+1.03,-1.47,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,eng Tottenham,27,1989,3,202,67,37.4,2.2,2,,2,1,,0,2.00,3,2,+1,+0.45,+0.71,Matches
14,Mihail Aleksandrov\Mihail-Aleksandrov,bg BUL,MFFW,pl Legia Warsaw,27,1989,2,68,34,12.6,0.8,0,,0,2,,1,1.57,0,2,-2,-2.65,-0.17,Matches
15,Carles Aleñá\Carles-Alena,es ESP,MF,es Barcelona,18,1998,0,,,,,0,,0,0,,2,,,,,,,Matches
16,Allan\Allan,br BRA,MF,it Napoli,25,1991,8,442,55,61.4,4.9,5,,3,3,,0,1.38,9,7,+2,+0.41,+1.38,Matches
17,Dele Alli\Dele-Alli,eng ENG,MF,eng Tottenham,20,1996,6,532,89,98.5,5.9,6,,5,0,,0,1.17,6,6,0,0.00,0.00,Matches
18,André Almeida\Andre-Almeida,pt POR,DFMF,pt Benfica,25,1990,4,273,68,37.9,3.0,3,,3,1,,3,0.75,3,10,-7,-2.31,-3.11,Matches
19,Xabi Alonso\Xabi-Alonso,es ESP,MF,de Bayern Munich,34,1981,7,589,84,63.3,6.5,7,,5,0,,2,1.71,18,6,+12,+1.83,+1.57,Matches
20,Éder Álvarez Balanta\Eder-Alvarez-Balanta,co COL,DF,ch Basel,23,1993,6,540,90,100.0,6.0,6,,6,0,,0,0.33,3,12,-9,-1.50,,Matches
21,Dani Alves\Dani-Alves,br BRA,MFDF,it Juventus,33,1983,12,1001,83,85.6,11.1,11,,10,1,,0,2.25,19,7,+12,+1.08,-1.05,Matches
22,Danny Amankwaa\Danny-Amankwaa,dk DEN,FWMF,dk FC Copenhagen,22,1994,1,6,6,1.1,0.1,0,,0,1,,1,2.33,1,0,+1,+15.00,+14.33,Matches
23,Daniel Amartey\Daniel-Amartey,gh GHA,MF,eng Leicester City,21,1994,8,290,36,32.2,3.2,3,,3,5,,2,2.13,4,0,+4,+1.24,+1.68,Matches
24,Stephan Andersen\Stephan-Andersen,dk DEN,GK,dk FC Copenhagen,34,1981,0,,,,,0,,0,0,,6,,,,,,,Matches
25,André\Andre,br BRA,FW,pt Sporting CP,25,1990,3,47,16,8.7,0.5,0,,0,3,,2,0.00,1,1,0,0.00,+0.55,Matches
26,André André\Andre-Andre,pt POR,MF,pt Porto,26,1989,3,171,57,23.8,1.9,2,,1,1,,3,1.40,1,2,-1,-0.53,-1.18,Matches
27,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,es Atlético Madrid,32,1984,1,90,90,8.3,1.0,1,,1,0,,6,3.00,4,2,+2,+2.00,+1.45,Matches
28,Angeliño\Angelino,es ESP,DFMF,eng Manchester City,19,1997,0,,,,,0,,0,0,,2,,,,,,,Matches
29,Peter Ankersen\Peter-Ankersen,dk DEN,DF,dk FC Copenhagen,25,1990,6,536,89,99.3,6.0,6,,4,0,,0,1.82,7,2,+5,+0.84,+0.84,Matches
30,Domagoj Antolić\Domagoj-Antolic,hr CRO,MF,hr Dinamo Zagreb,26,1990,2,87,44,16.1,1.0,2,,0,0,,0,2.00,0,3,-3,-3.10,-0.72,Matches
31,Mikael Antonsson\Mikael-Antonsson,se SWE,DF,dk FC Copenhagen,35,1981,1,1,1,0.2,0.0,0,,0,1,,5,2.00,0,0,0,0.00,-0.83,Matches
32,Vitorino Antunes\Vitorino-Antunes,pt POR,DF,ua Dynamo Kyiv,29,1987,4,360,90,66.7,4.0,4,,4,0,,2,1.00,8,5,+3,+0.75,+1.25,Matches
33,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,de Leverkusen,27,1989,8,515,64,71.5,5.7,5,,4,3,,0,1.38,6,6,0,0.00,0.00,Matches
34,Alphonse Areola\Alphonse-Areola,fr FRA,GK,fr Paris S-G,23,1993,6,540,90,75.0,6.0,6,,6,0,,2,2.00,13,7,+6,+1.00,+1.50,Matches
35,Santiago Arias\Santiago-Arias,co COL,DF,nl PSV Eindhoven,24,1992,4,332,83,61.5,3.7,4,,3,0,,2,0.50,3,6,-3,-0.81,+0.92,Matches
36,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,sco Celtic,24,1992,5,324,65,60.0,3.6,3,,3,2,,1,1.11,2,6,-4,-1.11,+1.81,Matches
37,Tolgay Arslan\Tolgay-Arslan,de GER,MF,tr Beşiktaş,25,1990,5,334,67,61.9,3.7,5,,1,0,,1,1.20,4,11,-7,-1.89,-2.76,Matches
