,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Tammy Abraham\Tammy-Abraham,eng ENG,FW,eng Chelsea,21,1997,8,566,71,78.6,6.3,7,77,3,1,30,0,1.38,10,11,-1,-0.16,+1.59,12.5,7.0,+5.5,+0.88,+1.81,Matches
2,Tyler Adams\Tyler-Adams,us USA,DFMF,de RB Leipzig,20,1999,3,82,27,9.1,0.9,0,,0,3,27,0,2.00,2,0,+2,+2.20,+1.98,1.0,1.0,+0.1,+0.08,-0.45,Matches
3,Antonio Adán\Antonio-Adan,es ESP,GK,es Atlético Madrid,32,1987,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
4,Arijan Ademi\Arijan-Ademi,mk MKD,MFDF,hr Dinamo Zagreb,28,1991,6,517,86,95.7,5.7,6,86,5,0,,0,1.58,10,12,-2,-0.35,+3.56,5.9,13.4,-7.5,-1.30,+0.39,Matches
5,Adrián\Adrian,es ESP,GK,eng Liverpool,32,1987,3,300,100,40.0,3.3,3,100,3,0,,5,1.00,6,8,-2,-0.60,-1.60,5.9,4.6,+1.3,+0.40,-0.65,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,eng Manchester City,31,1988,3,196,65,24.2,2.2,2,89,1,1,18,2,2.33,6,1,+5,+2.30,+1.27,6.7,1.9,+4.9,+2.25,+0.66,Matches
7,Manuel Akanji\Manuel-Akanji,ch SUI,DF,de Dortmund,24,1995,6,523,87,72.6,5.8,6,87,5,0,,2,1.67,8,7,+1,+0.17,+1.09,9.8,7.8,+2.0,+0.34,+1.20,Matches
8,Yunus Akgün\Yunus-Akgun,tr TUR,FW,tr Galatasaray,19,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
9,Sergio Akieme\Sergio-Akieme,es ESP,DF,es Barcelona,21,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
10,David Alaba\David-Alaba,at AUT,DF,de Bayern Munich,27,1992,8,675,84,68.2,7.5,8,84,7,0,,0,3.00,26,6,+20,+2.67,-1.62,20.4,8.3,+12.1,+1.61,-1.21,Matches
11,Lucas Alario\Lucas-Alario,ar ARG,FW,de Leverkusen,26,1992,5,214,43,39.6,2.4,2,74,0,3,22,1,0.60,0,3,-3,-1.26,-0.99,2.2,2.2,+0.1,+0.03,+0.63,Matches
12,Jordi Alba\Jordi-Alba,es ESP,DF,es Barcelona,30,1989,5,354,71,43.7,3.9,5,71,3,0,,0,1.60,7,10,-3,-0.76,-1.55,6.0,8.8,-2.8,-0.71,-1.02,Matches
13,Paco Alcácer\Paco-Alcacer,es ESP,FW,de Dortmund,25,1993,2,113,57,15.7,1.3,1,86,0,1,27,1,2.00,1,0,+1,+0.80,+1.09,3.1,0.6,+2.5,+1.99,+2.34,Matches
14,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,de Bayern Munich,28,1991,10,819,82,82.7,9.1,9,86,5,1,45,1,3.00,36,7,+29,+3.19,+0.03,28.5,8.8,+19.7,+2.16,+0.99,Matches
15,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,eng Tottenham,30,1989,6,540,90,75.0,6.0,6,90,6,0,,1,0.67,9,18,-9,-1.50,-6.00,8.0,10.5,-2.5,-0.42,-2.38,Matches
16,Carles Aleñá\Carles-Alena,es ESP,MF,es Barcelona,21,1998,1,90,90,11.1,1.0,1,90,1,0,,1,3.00,2,1,+1,+1.00,+1.00,1.2,1.0,+0.2,+0.21,+0.39,Matches
17,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,eng Liverpool,20,1998,7,583,83,77.7,6.5,6,95,6,1,13,0,1.43,10,10,0,0.00,-1.62,11.7,6.8,+4.9,+0.76,-0.13,Matches
18,Alisson\Alisson,br BRA,GK,eng Liverpool,26,1992,5,450,90,60.0,5.0,5,90,5,0,,0,2.00,9,4,+5,+1.00,+1.60,8.5,3.3,+5.2,+1.04,+0.65,Matches
19,Bobby Allain\Bobby-Allain,fr FRA,GK,gr Olympiacos,27,1991,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
20,Allan\Allan,br BRA,MF,it Napoli,28,1991,6,445,74,61.8,4.9,5,87,4,1,11,1,2.00,8,3,+5,+1.01,+1.01,6.7,5.8,+0.9,+0.18,-0.65,Matches
21,Dele Alli\Dele-Alli,eng ENG,MFFW,eng Tottenham,23,1996,7,516,74,71.7,5.7,7,74,1,0,,0,1.43,16,12,+4,+0.70,+2.46,10.7,7.7,+3.0,+0.52,+1.19,Matches
22,André Almeida\Andre-Almeida,pt POR,DF,pt Benfica,28,1990,1,90,90,16.7,1.0,1,90,1,0,,2,1.00,2,2,0,0.00,+0.20,0.7,3.2,-2.5,-2.48,-2.72,Matches
