,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
1,Sibert Himpe\Sibert-Himpe,be BEL,MF,be Zulte Waregem,18,1999,0,,,,,0,,0,0,,1,,,,,,,Matches
2,Ignazio Abate\Ignazio-Abate,it ITA,DFMF,it Milan,30,1986,5,346,69,38.4,3.8,4,,3,1,,1,2.63,10,3,+7,+1.82,+1.82,Matches
3,Hatem Abd Elhamed\Hatem-Abd-Elhamed,il ISR,DF,il Be'er Sheva,26,1991,6,470,78,87.0,5.2,5,,5,1,,0,0.67,3,9,-6,-1.15,-2.43,Matches
4,Aymen Abdennour\Aymen-Abdennour,tn TUN,DF,fr Marseille,27,1989,2,180,90,13.0,2.0,2,,2,0,,6,1.50,2,2,0,0.00,-0.30,Matches
5,Anicet Abel\Anicet-Abel,mg MAD,MF,bg Ludogorets,27,1990,8,713,89,99.0,7.9,8,,7,0,,0,1.30,7,9,-2,-0.25,-0.25,Matches
6,Maxwell Acosty\Maxwell-Acosty,gh GHA,MFFW,hr Rijeka,25,1991,6,329,55,60.9,3.7,4,,0,2,,0,1.17,8,4,+4,+1.09,+3.23,Matches
7,Marcos Acuña\Marcos-Acuna,ar ARG,MF,pt Sporting CP,25,1991,6,402,67,72.4,4.5,4,,2,2,,0,1.67,8,5,+3,+0.67,+1.85,Matches
8,Emmanuel Adebayor\Emmanuel-Adebayor,tg TOG,FW,tr Başakşehir,33,1984,1,65,65,12.0,0.7,1,,0,0,,0,1.00,0,0,0,0.00,+0.19,Matches
9,Samuel Adegbenro\Samuel-Adegbenro,ng NGA,FW,no Rosenborg,21,1995,6,520,87,96.3,5.8,6,,2,0,,0,1.38,5,10,-5,-0.87,-0.87,Matches
10,James Adeniyi\James-Adeniyi,ng NGA,MFFW,al Skënderbeu Korçë,24,1992,5,436,87,80.7,4.8,5,,4,0,,0,1.67,5,8,-3,-0.62,+0.25,Matches
11,Luiz Adriano\Luiz-Adriano,br BRA,FW,ru Spartak Moscow,30,1987,2,180,90,100.0,2.0,2,,2,0,,0,1.50,3,4,-1,-0.50,,Matches
12,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,es Athletic Club,36,1981,10,801,80,89.0,8.9,9,,7,1,,0,1.71,13,12,+1,+0.11,+0.11,Matches
13,Luka Adžić\Luka-Adzic,rs SRB,MF,rs Red Star,18,1998,1,2,2,0.3,0.0,0,,0,1,,7,1.50,0,0,0,0.00,0.00,Matches
14,Michel Aebischer\Michel-Aebischer,ch SUI,MF,ch Young Boys,20,1997,5,355,71,65.7,3.9,4,,3,1,,0,1.00,3,5,-2,-0.51,-0.99,Matches
15,Imanol Agirretxe\Imanol-Agirretxe,es ESP,FW,es Real Sociedad,30,1987,2,92,46,12.8,1.0,1,,0,1,,0,0.50,2,2,0,0.00,-1.29,Matches
16,Hosam Aiesh\Hosam-Aiesh,se SWE,MFFW,se Östersund,22,1995,3,153,51,21.3,1.7,2,,1,1,,1,2.00,4,1,+3,+1.76,+1.92,Matches
17,Astrit Ajdarević\Astrit-Ajdarevic,al ALB,MF,gr AEK Athens,27,1990,4,85,21,11.8,0.9,1,,0,3,,4,1.40,2,2,0,0.00,-0.14,Matches
18,Kristoffer Ajer\Kristoffer-Ajer,no NOR,DF,sco Celtic,19,1998,2,180,90,100.0,2.0,2,,2,0,,0,1.50,1,3,-2,-1.00,,Matches
19,Ager Aketxe\Ager-Aketxe,es ESP,MF,es Athletic Club,23,1993,5,60,12,6.7,0.7,1,,0,4,,1,2.29,1,2,-1,-1.50,-1.71,Matches
20,Igor Akinfeev\Igor-Akinfeev,ru RUS,GK,ru CSKA Moscow,31,1986,6,540,90,100.0,6.0,6,,6,0,,0,1.33,7,9,-2,-0.33,,Matches
21,Chuba Akpom\Chuba-Akpom,eng ENG,FW,eng Arsenal,21,1995,0,,,,,0,,0,0,,6,,,,,,,Matches
22,Eren Albayrak\Eren-Albayrak,tr TUR,DFMF,tr Konyaspor,26,1991,0,,,,,0,,0,0,,3,,,,,,,Matches
23,Luis Alberto\Luis-Alberto,es ESP,MFFW,it Lazio,24,1992,9,644,72,59.6,7.2,8,,4,1,,1,2.44,17,8,+9,+1.26,+1.26,Matches
24,Raúl Albiol\Raul-Albiol,es ESP,DF,it Napoli,31,1985,1,90,90,50.0,1.0,1,,1,0,,1,3.00,2,0,+2,+2.00,+4.00,Matches
25,Alef\Alef,br BRA,MFFW,cy Apollon Limassol,22,1995,5,450,90,83.3,5.0,5,,5,0,,0,1.13,5,11,-6,-1.20,+1.80,Matches
26,Igor Aleksovski\Igor-Aleksovski,mk MKD,GK,mk FK Vardar,22,1995,0,,,,,0,,0,0,,6,,,,,,,Matches
27,Alex\Alex,es ESP,GK,es Atlético Madrid,18,1999,0,,,,,0,,0,0,,1,,,,,,,Matches
28,Ömer Ali Şahiner\Omer-Ali-Sahiner,tr TUR,MFDF,tr Konyaspor,25,1992,6,453,76,83.9,5.0,5,,4,1,,0,1.00,4,6,-2,-0.40,-0.40,Matches
29,Mukhtar Ali\Mukhtar-Ali,sa KSA,MF,nl Vitesse,19,1997,1,12,12,2.2,0.1,0,,0,1,,3,0.00,0,1,-1,-7.50,-6.82,Matches
30,Denis Alibec\Denis-Alibec,ro ROU,FW,ro FCSB,26,1991,3,234,78,32.5,2.6,3,,1,0,,0,1.33,4,3,+1,+0.38,+0.75,Matches
31,Akhmed Alibekov\Akhmed-Alibekov,ua UKR,MF,ua Dynamo Kyiv,19,1998,0,,,,,0,,0,0,,2,,,,,,,Matches
32,Fidan Aliti\Fidan-Aliti,xk KVX,DF,al Skënderbeu Korçë,23,1993,6,374,62,69.3,4.2,3,,3,3,,0,0.83,5,6,-1,-0.24,+1.39,Matches
33,Allan\Allan,br BRA,MF,cy Apollon Limassol,20,1997,4,327,82,60.6,3.6,4,,3,0,,1,0.50,3,7,-4,-1.10,+1.01,Matches
34,Allan\Allan,br BRA,MF,it Napoli,26,1991,2,120,60,66.7,1.3,1,,1,1,,0,1.50,2,2,0,0.00,0.00,Matches
35,André Almeida Pinto\Andre-Almeida-Pinto,pt POR,DF,pt Sporting CP,27,1989,4,390,98,70.3,4.3,4,,4,0,,1,1.75,8,6,+2,+0.46,+1.01,Matches
36,Halil Altıntop\Halil-Altintop,tr TUR,FWMF,cz Slavia Prague,34,1982,0,,,,,0,,0,0,,3,,,,,,,Matches
37,Tomer Altman\Tomer-Altman,il ISR,MF,il Maccabi Tel Aviv,19,1998,0,,,,,0,,0,0,,1,,,,,,,Matches
38,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,es Athletic Club,22,1995,4,314,79,34.9,3.5,4,,3,0,,0,0.75,5,7,-2,-0.57,-1.03,Matches
39,Danny Amankwaa\Danny-Amankwaa,dk DEN,FWMF,dk FC Copenhagen,23,1994,2,25,13,3.5,0.3,0,,0,2,,4,2.00,1,0,+1,+3.60,+3.73,Matches
40,Jordan Amavi\Jordan-Amavi,fr FRA,DFMF,fr Marseille,23,1994,12,1011,84,73.3,11.2,11,,9,1,,2,1.83,16,11,+5,+0.45,+0.69,Matches
41,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,de Hoffenheim,20,1996,3,238,79,44.1,2.6,3,,1,0,,1,1.33,5,3,+2,+0.76,+1.95,Matches
42,Stephan Andersen\Stephan-Andersen,dk DEN,GK,dk FC Copenhagen,35,1981,2,180,90,25.0,2.0,2,,2,0,,6,0.50,1,2,-1,-0.50,-0.67,Matches
43,Felipe Anderson\Felipe-Anderson,br BRA,FW,it Lazio,24,1993,7,369,53,34.2,4.1,3,,2,4,,0,1.43,13,8,+5,+1.22,+0.71,Matches
44,Andreas Andersson\Andreas-Andersson,se SWE,GK,se Östersund,26,1991,0,,,,,0,,0,0,,8,,,,,,,Matches
45,Pål André Helland\Pal-Andre-Helland,no NOR,FW,no Rosenborg,27,1990,3,97,32,18.0,1.1,1,,0,2,,0,0.33,2,1,+1,+0.93,+2.15,Matches
46,Oleksandr Andriyevskyi\Oleksandr-Andriyevskyi,ua UKR,MF,ua Zorya Luhansk,23,1994,6,431,72,79.8,4.8,5,,3,1,,0,1.00,2,6,-4,-0.84,+0.82,Matches
47,Giannis Anestis\Giannis-Anestis,gr GRE,GK,gr AEK Athens,26,1991,5,450,90,62.5,5.0,5,,5,0,,1,1.57,6,5,+1,+0.20,+0.20,Matches
48,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,es Atlético Madrid,33,1984,1,90,90,11.1,1.0,1,,1,0,,1,3.00,4,1,+3,+3.00,+1.38,Matches
49,Marin Aničić\Marin-Anicic,ba BIH,DF,kz FC Astana,27,1989,7,542,77,75.3,6.0,6,,6,1,,0,1.43,12,12,0,0.00,-0.51,Matches
50,Peter Ankersen\Peter-Ankersen,dk DEN,DF,dk FC Copenhagen,26,1990,8,720,90,100.0,8.0,8,,8,0,,0,1.13,8,8,0,0.00,,Matches
51,Gheorghe Anton\Gheorghe-Anton,md MDA,MF,md Sheriff Tiraspol,24,1993,6,509,85,94.3,5.7,6,,4,0,,0,1.38,4,4,0,0.00,0.00,Matches
52,Luca Antonelli\Luca-Antonelli,it ITA,MFDF,it Milan,30,1987,3,196,65,21.8,2.2,2,,1,1,,0,2.50,7,3,+4,+1.84,+1.45,Matches
53,Christos Antoniou\Christos-Antoniou,gr GRE,FW,gr AEK Athens,19,1998,0,,,,,0,,0,0,,1,,,,,,,Matches
54,Nemanja Antonov\Nemanja-Antonov,rs SRB,DF,rs Partizan,22,1995,0,,,,,0,,0,0,,6,,,,,,,Matches
55,Houssem Aouar\Houssem-Aouar,fr FRA,MF,fr Lyon,19,1998,8,460,58,51.1,5.1,4,,2,4,,2,2.38,14,3,+11,+2.15,+2.36,Matches
56,João Araújo\Joao-Araujo,br BRA,FW,bg Ludogorets,29,1988,1,59,59,8.2,0.7,1,,0,0,,5,1.67,0,0,0,0.00,+0.27,Matches
57,Sergio Araujo\Sergio-Araujo,ar ARG,FW,gr AEK Athens,25,1992,8,485,61,67.4,5.4,5,,3,3,,0,1.25,5,4,+1,+0.19,+0.19,Matches
58,Musa Araz\Musa-Araz,ch SUI,MF,tr Konyaspor,23,1994,6,392,65,72.6,4.4,5,,2,1,,0,1.00,4,4,0,0.00,+1.22,Matches
59,Roberto Olabe del Arco\Roberto-Olabe-del-Arco,es ESP,MF,es Atlético Madrid,21,1996,0,,,,,0,,0,0,,4,,,,,,,Matches
60,Frank Arhin\Frank-Arhin,gh GHA,FW,se Östersund,18,1999,2,9,5,1.3,0.1,0,,0,2,,2,2.00,0,0,0,0.00,-0.25,Matches
61,Ari\Ari,ru RUS,FW,ru Loko Moscow,31,1985,2,135,68,15.0,1.5,2,,0,0,,0,3.00,3,2,+1,+0.67,+0.78,Matches
62,Nicolò Armini\Nicolo-Armini,it ITA,DF,it Lazio,16,2001,0,,,,,0,,0,0,,1,,,,,,,Matches
